energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,S_s_up,S_p_up
-6.00000000,17.30062419,2.10462970,13.66025560,0.02360765,0.20962482,0.03620938,0.00000000,0.22360619,2.61003354
-5.99399700,17.43863251,2.05821994,13.82168314,0.02389273,0.20275945,0.03622549,0.00000000,0.22244987,2.61550364
-5.98799400,17.53415640,2.01353864,13.94630273,0.02414825,0.19634595,0.03614649,0.00000000,0.22046569,2.61534113
-5.98199100,17.58740915,1.97083258,14.03393894,0.02437856,0.19037034,0.03598140,0.00000000,0.21771935,2.60970839
-5.97598799,17.59936753,1.93031576,14.08508122,0.02458838,0.18481985,0.03574053,0.00000000,0.21429081,2.59885851
-5.96998499,17.57169338,1.89216508,14.10082640,0.02478254,0.17968212,0.03543511,0.00000000,0.21027123,2.58312178
-5.96398199,17.50663378,1.85651548,14.08280316,0.02496590,0.17494427,0.03507685,0.00000000,0.20575963,2.56288935
-5.95797899,17.40690623,1.82345487,14.03308363,0.02514322,0.17059195,0.03467750,0.00000000,0.20085921,2.53859508
-5.95197599,17.27557594,1.79301976,13.95408730,0.02531902,0.16660840,0.03424849,0.00000000,0.19567385,2.51069689
-5.94597299,17.11593239,1.76519202,13.84848274,0.02549754,0.16297368,0.03380051,0.00000000,0.19030457,2.47965863
-5.93996998,16.93137186,1.73989752,13.71909244,0.02568262,0.15966411,0.03334323,0.00000000,0.18484641,2.44593369
-5.93396698,16.72529191,1.71700695,13.56880522,0.02587769,0.15665202,0.03288504,0.00000000,0.17938580,2.40995110
-5.92796398,16.50100238,1.69633930,13.40050016,0.02608572,0.15390581,0.03243286,0.00000000,0.17399837,2.37210492
-5.92196098,16.26165619,1.67766782,13.21698441,0.02630917,0.15139031,0.03199205,0.00000000,0.16874747,2.33274730
-5.91595798,16.01020131,1.66072842,13.02094660,0.02655000,0.14906756,0.03156641,0.00000000,0.16368334,2.29218519
-5.90995498,15.74935412,1.64523027,12.81492606,0.02680962,0.14689773,0.03115822,0.00000000,0.15884289,2.25068073
-5.90395198,15.48159241,1.63086773,12.60129690,0.02708889,0.14484036,0.03076837,0.00000000,0.15425013,2.20845476
-5.89794897,15.20916530,1.61733334,12.38226526,0.02738810,0.14285565,0.03039657,0.00000000,0.14991708,2.16569285
-5.89194597,14.93411630,1.60433083,12.15987708,0.02770692,0.14090587,0.03004153,0.00000000,0.14584516,2.12255316
-5.88594297,14.65831515,1.59158751,11.93603330,0.02804442,0.13895662,0.02970123,0.00000000,0.14202692,2.07917513
-5.87993997,14.38349386,1.57886538,11.71250928,0.02839900,0.13697805,0.02937321,0.00000000,0.13844791,2.03568841
-5.87393697,14.11128232,1.56597025,11.49097493,0.02876846,0.13494582,0.02905480,0.00000000,0.13508868,1.99222102
