energy_ev,total_up,Au_p_up,Au_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,8.56588036,0.48230810,7.35461884,0.13572026,0.67145491,0.54417299,0.00000000
-5.99399700,8.76107902,0.49508716,7.52967741,0.13981062,0.67889972,0.55080182,0.00000000
-5.98799400,8.97068125,0.50942595,7.71671020,0.14401036,0.68790768,0.55760729,0.00000000
-5.98199100,9.19214049,0.52510277,7.91354996,0.14828056,0.69827402,0.56441983,0.00000000
-5.97598799,9.42252219,0.54186608,8.11770714,0.15257613,0.70975265,0.57105113,0.00000000
-5.96998499,9.65859022,0.55944195,8.32644195,0.15684700,0.72206503,0.57729994,0.00000000
-5.96398199,9.89690479,0.57754215,8.53684613,0.16103956,0.73491019,0.58295864,0.00000000
-5.95797899,10.13392777,0.59587262,8.74593092,0.16509823,0.74797536,0.58782032,0.00000000
-5.95197599,10.36613110,0.61414197,8.95071769,0.16896718,0.76094692,0.59168578,0.00000000
-5.94597299,10.59010377,0.63206968,9.14832741,0.17259204,0.77352105,0.59437054,0.00000000
-5.93996998,10.80265303,0.64939369,9.33606543,0.17592153,0.78541378,0.59571123,0.00000000
-5.93396698,11.00089593,0.66587714,9.51149814,0.17890907,0.79636994,0.59557124,0.00000000
-5.92796398,11.18233791,0.68131403,9.67251889,0.18151407,0.80617079,0.59384541,0.00000000
-5.92196098,11.34493567,0.69553363,9.81740083,0.18370316,0.81464005,0.59046349,0.00000000
-5.91595798,11.48714274,0.70840363,9.94483520,0.18545101,0.82164804,0.58539236,0.00000000
-5.90995498,11.60793673,0.71983192,10.05395444,0.18674094,0.82711411,0.57863691,0.00000000
-5.90395198,11.70682840,0.72976706,10.14433995,0.18756528,0.83100712,0.57023953,0.00000000
-5.89794897,11.78385320,0.73819762,10.21601524,0.18792532,0.83334414,0.56027845,0.00000000
-5.89194597,11.83954691,0.74515032,10.26942570,0.18783115,0.83418761,0.54886481,0.00000000
-5.88594297,11.87490722,0.75068736,10.30540659,0.18730115,0.83364102,0.53613893,0.00000000
-5.87993997,11.89134382,0.75490296,10.32514128,0.18636135,0.83184352,0.52226568,0.00000000
-5.87393697,11.89061936,0.75791928,10.33011178,0.18504461,0.82896355,0.50742936,0.00000000
-5.86793397,11.87478396,0.75988198,10.32204379,0.18338966,0.82519199,0.49182826,0.00000000
-5.86193097,11.84610572,0.76095547,10.30284820,0.18144010,0.82073495,0.47566905,0.00000000
-5.85592796,11.80699945,0.76131794,10.27456104,0.17924335,0.81580656,0.45916134,0.00000000
-5.84992496,11.75995567,0.76115642,10.23928348,0.17684953,0.81062190,0.44251240,0.00000000
-5.84392196,11.70747143,0.76066176,10.19912324,0.17431044,0.80539043,0.42592237,0.00000000
-5.83791896,11.65198459,0.76002367,10.15613880,0.17167843,0.80030992,0.40957995,0.00000000
-5.83191596,11.59581246,0.75942593,10.11228714,0.16900547,0.79556117,0.39365866,0.00000000
-5.82591296,11.54109598,0.75904173,10.06937614,0.16634212,0.79130343,0.37831387,0.00000000
-5.81990995,11.48975019,0.75902924,10.02902223,0.16373667,0.78767079,0.36368038,0.00000000
-5.81390695,11.44342189,0.75952751,9.99261411,0.16123425,0.78476946,0.34987079,0.00000000
-5.80790395,11.40345512,0.76065281,9.96128314,0.15887609,0.78267590,0.33697448,0.00000000
-5.80190095,11.37086528,0.76249544,9.93588119,0.15669883,0.78143595,0.32505731,0.00000000
-5.79589795,11.34632266,0.76511731,9.91696650,0.15473391,0.78106478,0.31416181,0.00000000
-5.78989495,11.33014597,0.76855027,9.90479820,0.15300713,0.78154777,0.30430807,0.00000000
-5.78389195,11.32230635,0.77279546,9.89933997,0.15153826,0.78284213,0.29549503,0.00000000
-5.77788894,11.32244240,0.77782363,9.90027305,0.15034087,0.78487932,0.28770228,0.00000000
-5.77188594,11.32988602,0.78357683,9.90701873,0.14942221,0.78756816,0.28089223,0.00000000
-5.76588294,11.34369891,0.78997111,9.91876993,0.14878334,0.79079852,0.27501261,0.00000000
-5.75987994,11.36271904,0.79690059,9.93453136,0.14841938,0.79444559,0.26999928,0.00000000
-5.75387694,11.38561570,0.80424258,9.95316699,0.14831989,0.79837449,0.26577915,0.00000000
-5.74787394,11.41095168,0.81186376,9.97345364,0.14846947,0.80244520,0.26227333,0.00000000
-5.74187094,11.43725041,0.81962713,9.99413863,0.14884842,0.80651768,0.25940021,0.00000000
-5.73586793,11.46306559,0.82739939,10.01399950,0.14943352,0.81045693,0.25707856,0.00000000
-5.72986493,11.48705056,0.83505868,10.03190342,0.15019893,0.81413795,0.25523050,0.00000000
-5.72386193,11.50802470,0.84250198,10.04686380,0.15111709,0.81745036,0.25378425,0.00000000
-5.71785893,11.52503370,0.84965206,10.05809161,0.15215965,0.82030258,0.25267652,0.00000000
-5.71185593,11.53740137,0.85646349,10.06503923,0.15329837,0.82262537,0.25185466,0.00000000
-5.70585293,11.54477020,0.86292736,10.06743461,0.15450596,0.82437470,0.25127824,0.00000000
-5.69984992,11.54712900,0.86907450,10.06530425,0.15575688,0.82553368,0.25092021,0.00000000
-5.69384692,11.54482606,0.87497682,10.05898374,0.15702791,0.82611365,0.25076748,0.00000000
-5.68784392,11.53856711,0.88074679,10.04911523,0.15829870,0.82615427,0.25082101,0.00000000
-5.68184092,11.52939800,0.88653490,10.03663189,0.15955214,0.82572263,0.25109527,0.00000000
-5.67583792,11.51867264,0.89252511,10.02272975,0.16077452,0.82491145,0.25161724,0.00000000
-5.66983492,11.50800760,0.89892858,10.00882819,0.16195563,0.82383632,0.25242484,0.00000000
-5.66383192,11.49922501,0.90597569,9.99652064,0.16308863,0.82263227,0.25356503,0.00000000
-5.65782891,11.49428631,0.91390691,9.98751738,0.16416984,0.82144957,0.25509144,0.00000000
-5.65182591,11.49521934,0.92296259,9.98358297,0.16519841,0.82044902,0.25706180,0.00000000
-5.64582291,11.50404181,0.93337247,9.98647062,0.16617584,0.81979692,0.25953516,0.00000000
-5.63981991,11.52268412,0.94534493,9.99785621,0.16710551,0.81965983,0.26256908,0.00000000
-5.63381691,11.55291444,0.95905686,10.01927429,0.16799212,0.82019919,0.26621676,0.00000000
-5.62781391,11.59626880,0.97464416,10.05205863,0.16884108,0.82156620,0.27052435,0.00000000
-5.62181091,11.65398858,0.99219372,10.09728913,0.16965797,0.82389683,0.27552849,0.00000000
-5.61580790,11.72696762,1.01173676,10.15574702,0.17044800,0.82730725,0.28125402,0.00000000
-5.60980490,11.81571027,1.03324420,10.22787957,0.17121544,0.83188977,0.28771213,0.00000000
-5.60380190,11.92030176,1.05662403,10.31377528,0.17196324,0.83770928,0.29489885,0.00000000
-5.59779890,12.04039130,1.08172082,10.41315004,0.17269264,0.84480040,0.30279395,0.00000000
-5.59179590,12.17518824,1.10831749,10.52534431,0.17340284,0.85316523,0.31136031,0.00000000
-5.58579290,12.32347078,1.13613915,10.64933121,0.17409087,0.86277185,0.32054363,0.00000000
-5.57978989,12.48360684,1.16485895,10.78373459,0.17475148,0.87355357,0.33027270,0.00000000
-5.57378689,12.65358583,1.19410563,10.92685665,0.17537711,0.88540887,0.34045995,0.00000000
-5.56778389,12.83106033,1.22347257,11.07671363,0.17595799,0.89820214,0.35100250,0.00000000
-5.56178089,13.01339607,1.25252799,11.23107868,0.17648236,0.91176514,0.36178349,0.00000000
-5.55577789,13.19772890,1.28082586,11.38753038,0.17693667,0.92589920,0.37267378,0.00000000
-5.54977489,13.38102691,1.30791719,11.54350568,0.17730598,0.94037819,0.38353401,0.00000000
-5.54377189,13.56015642,1.33336133,11.69635583,0.17757426,0.95495216,0.39421682,0.00000000
-5.53776888,13.73194984,1.35673685,11.84340397,0.17772488,0.96935170,0.40456942,0.00000000
-5.53176588,13.89327424,1.37765176,11.98200308,0.17774103,0.98329292,0.41443635,0.00000000
-5.52576288,14.04109883,1.39575258,12.10959295,0.17760618,0.99648303,0.42366240,0.00000000
-5.51975988,14.17255996,1.41073226,12.22375498,0.17730456,1.00862640,0.43209562,0.00000000
-5.51375688,14.28502241,1.42233657,12.32226369,0.17682161,1.01943099,0.43959049,0.00000000
-5.50775388,14.37613537,1.43036889,12.40313369,0.17614435,1.02861509,0.44601104,0.00000000
-5.50175088,14.44388216,1.43469345,12.46466124,0.17526184,1.03591403,0.45123391,0.00000000
-5.49574787,14.48662236,1.43523685,12.50545934,0.17416545,1.04108695,0.45515132,0.00000000
-5.48974487,14.50312563,1.43198808,12.52448560,0.17284922,1.04392321,0.45767377,0.00000000
-5.48374187,14.49259613,1.42499712,12.52106213,0.17131003,1.04424828,0.45873247,0.00000000
-5.47773887,14.45468717,1.41437229,12.49488706,0.16954785,1.04192907,0.45828137,0.00000000
-5.47173587,14.38950566,1.40027650,12.44603728,0.16756582,1.03687825,0.45629868,0.00000000
-5.46573287,14.29760622,1.38292271,12.37496236,0.16537035,1.02905769,0.45278793,0.00000000
-5.45972986,14.17997525,1.36256877,12.28246992,0.16297116,1.01848057,0.44777835,0.00000000
-5.45372686,14.03800533,1.33951184,12.16970283,0.16038123,1.00521232,0.44132462,0.00000000
-5.44772386,13.87346090,1.31408257,12.03810896,0.15761674,0.98937023,0.43350607,0.00000000
-5.44172086,13.68843614,1.28663929,11.88940449,0.15469694,0.97112161,0.42442506,0.00000000
-5.43571786,13.48530648,1.25756220,11.72553204,0.15164404,0.95068082,0.41420492,0.00000000
-5.42971486,13.26667511,1.22724773,11.54861474,0.14848294,0.92830492,0.40298727,0.00000000
-5.42371186,13.03531622,1.19610301,11.36090797,0.14524100,0.90428837,0.39092881,0.00000000
-5.41770885,12.79411660,1.16454063,11.16475012,0.14194778,0.87895673,0.37819786,0.00000000
-5.41170585,12.54601712,1.13297339,10.96251381,0.13863467,0.85265962,0.36497054,0.00000000
-5.40570285,12.29395583,1.10180921,10.75655904,0.13533450,0.82576327,0.35142680,0.00000000
-5.39969985,12.04081387,1.07144599,10.54918940,0.13208113,0.79864266,0.33774655,0.00000000
-5.39369685,11.78936544,1.04226646,10.34261229,0.12890895,0.77167361,0.32410570,0.00000000
-5.38769385,11.54223265,1.01463284,10.13890395,0.12585236,0.74522508,0.31067259,0.00000000
-5.38169085,11.30184601,0.98888143,9.93997974,0.12294522,0.71965171,0.29760457,0.00000000
-5.37568784,11.07041084,0.96531702,9.74756991,0.12022019,0.69528687,0.28504513,0.00000000
-5.36968484,10.84987979,0.94420729,9.56320078,0.11770814,0.67243646,0.27312132,0.00000000
-5.36368184,10.64193144,0.92577726,9.38818121,0.11543751,0.65137336,0.26194184,0.00000000
-5.35767884,10.44795482,0.91020390,9.22359398,0.11343358,0.63233284,0.25159552,0.00000000
-5.35167584,10.26903959,0.89761124,9.07029168,0.11171789,0.61550888,0.24215046,0.00000000
-5.34567284,10.10597160,0.88806611,8.92889664,0.11030755,0.60105155,0.23365369,0.00000000
-5.33966983,9.95923358,0.88157482,8.79980451,0.10921472,0.58906530,0.22613128,0.00000000
-5.33366683,9.82901076,0.87808099,8.68319120,0.10844608,0.57960841,0.21958907,0.00000000
-5.32766383,9.71520130,0.87746487,8.57902278,0.10800243,0.57269340,0.21401380,0.00000000
-5.32166083,9.61743139,0.87954429,8.48706841,0.10787836,0.56828848,0.20937461,0.00000000
-5.31565783,9.53507502,0.88407743,8.40691594,0.10806214,0.56631994,0.20562499,0.00000000
-5.30965483,9.46727836,0.89076751,8.33799042,0.10853568,0.56667547,0.20270493,0.00000000
-5.30365183,9.41298860,0.89926937,8.27957522,0.10927473,0.56920828,0.20054342,0.00000000
-5.29764882,9.37098699,0.90919793,8.23083584,0.11024918,0.57374197,0.19906096,0.00000000
-5.29164582,9.33992567,0.92013822,8.19084609,0.11142362,0.58007599,0.19817232,0.00000000
-5.28564282,9.31836763,0.93165686,8.15861634,0.11275802,0.58799156,0.19778922,0.00000000
-5.27963982,9.30482890,0.94331446,8.13312320,0.11420862,0.59725791,0.19782294,0.00000000
-5.27363682,9.29782178,0.95467855,8.11333998,0.11572893,0.60763860,0.19818693,0.00000000
-5.26763382,9.29589777,0.96533669,8.09826683,0.11727085,0.61889780,0.19879902,0.00000000
-5.26163082,9.29768857,0.97490891,8.08695960,0.11878590,0.63080628,0.19958355,0.00000000
-5.25562781,9.30194364,0.98305925,8.07855617,0.12022647,0.64314687,0.20047306,0.00000000
-5.24962481,9.30756250,0.98950578,8.07229902,0.12154707,0.65571937,0.20140962,0.00000000
-5.24362181,9.31362037,0.99402855,8.06755288,0.12270556,0.66834456,0.20234575,0.00000000
-5.23761881,9.31938593,0.99647528,8.06381659,0.12366422,0.68086721,0.20324493,0.00000000
-5.23161581,9.32433005,0.99676441,8.06072843,0.12439077,0.69315816,0.20408163,0.00000000
-5.22561281,9.32812539,0.99488535,8.05806444,0.12485914,0.70511514,0.20484090,0.00000000
-5.21960980,9.33063648,0.99089606,8.05573006,0.12505012,0.71666261,0.20551763,0.00000000
-5.21360680,9.33190126,0.98491792,8.05374517,0.12495164,0.72775049,0.20611540,0.00000000
-5.20760380,9.33210482,0.97712827,8.05222374,0.12455900,0.73835195,0.20664507,0.00000000
-5.20160080,9.33154727,0.96775096,8.05134916,0.12387473,0.74846042,0.20712321,0.00000000
-5.19559780,9.33060732,0.95704545,8.05134677,0.12290824,0.75808595,0.20757032,0.00000000
-5.18959480,9.32970413,0.94529486,8.05245545,0.12167534,0.76725124,0.20800914,0.00000000
-5.18359180,9.32925945,0.93279379,8.05489993,0.12019752,0.77598741,0.20846294,0.00000000
-5.17758879,9.32966243,0.91983629,8.05886566,0.11850110,0.78432988,0.20895405,0.00000000
-5.17158579,9.33123917,0.90670474,8.06447768,0.11661638,0.79231451,0.20950247,0.00000000
