energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,2.79586872,0.68295668,0.00000000,1.45528473,1.98630906,0.02287514,0.12964257
-5.99399700,2.76345971,0.67254223,0.00000000,1.35389855,1.97929556,0.02308350,0.13095939
-5.98799400,2.75345416,0.66717585,0.00000000,1.26659026,1.98693705,0.02360515,0.13383190
-5.98199100,2.76747064,0.66723021,0.00000000,1.19477632,2.01030587,0.02445827,0.13835139
-5.97598799,2.80692318,0.67303320,0.00000000,1.13968297,2.05037739,0.02565674,0.14459244
-5.96998499,2.87302780,0.68487106,0.00000000,1.10235099,2.10803738,0.02720958,0.15261146
-5.96398199,2.96680786,0.70299109,0.00000000,1.08364185,2.18408716,0.02912062,0.16244525
-5.95797899,3.08909615,0.72760356,0.00000000,1.08424356,2.27924502,0.03138808,0.17410964
-5.95197599,3.24053166,0.75888200,0.00000000,1.10467464,2.39414212,0.03400442,0.18759814
-5.94597299,3.42154968,0.79696162,0.00000000,1.14528473,2.52931201,0.03695617,0.20288061
-5.93996998,3.63236436,0.84193567,0.00000000,1.20625134,2.68517316,0.04022396,0.21990213
-5.93396698,3.87294393,0.89384945,0.00000000,1.28757194,2.86200460,0.04378266,0.23858194
-5.92796398,4.14297920,0.95269243,0.00000000,1.38905187,3.05991521,0.04760158,0.25881265
-5.92196098,4.44184678,1.01838856,0.00000000,1.51028845,3.27880806,0.05164492,0.28045976
-5.91595798,4.76856941,1.09078545,0.00000000,1.65065261,3.51834148,0.05587225,0.30336156
-5.90995498,5.12177592,1.16964313,0.00000000,1.80926942,3.77788923,0.06023913,0.32732959
-5.90395198,5.49966412,1.25462307,0.00000000,1.98499963,4.05650226,0.06469786,0.35214962
-5.89794897,5.89996985,1.34527843,0.00000000,2.17642400,4.35287504,0.06919827,0.37758330
-5.89194597,6.31994569,1.44104643,0.00000000,2.38183286,4.66531912,0.07368860,0.40337051
-5.88594297,6.75635236,1.54124368,0.00000000,2.59922288,4.99174677,0.07811645,0.42923244
-5.87993997,7.20546556,1.64506514,0.00000000,2.82630284,5.32966693,0.08242968,0.45487538
-5.87393697,7.66310039,1.75158747,0.00000000,3.06051002,5.67619544,0.08657735,0.47999522
-5.86793397,8.12465459,1.85977706,0.00000000,3.29903807,6.02808079,0.09051059,0.50428251
-5.86193097,8.58517083,1.96850290,0.00000000,3.53887693,6.38174575,0.09418341,0.52742809
-5.85592796,9.03941762,2.07655431,0.00000000,3.77686423,6.73334468,0.09755346,0.54912907
-5.84992496,9.48198678,2.18266296,0.00000000,4.00974758,7.07883523,0.10058264,0.56909500
-5.84392196,9.90740503,2.28552889,0.00000000,4.23425567,7.41406240,0.10323761,0.58705408
-5.83791896,10.31025583,2.38384924,0.00000000,4.44717626,7.73485214,0.10549018,0.60275923
-5.83191596,10.68530721,2.47634904,0.00000000,4.64543805,8.03711120,0.10731760,0.61599374
-5.82591296,11.02764069,2.56181260,0.00000000,4.82619327,8.31692912,0.10870267,0.62657628
-5.81990995,11.33277607,2.63911426,0.00000000,4.98689771,8.57067847,0.10963383,0.63436531
-5.81390695,11.59678702,2.70724736,0.00000000,5.12538465,8.79510904,0.11010502,0.63926232
-5.80790395,11.81640258,2.76534998,0.00000000,5.23992957,8.98743216,0.11011555,0.64121418
-5.80190095,11.98909047,2.81272653,0.00000000,5.32930264,9.14539153,0.10966988,0.64021422
-5.79589795,12.11311874,2.84886423,0.00000000,5.39280686,9.26731794,0.10877733,0.63630211
-5.78989495,12.18759338,2.87344388,0.00000000,5.43029989,9.35216558,0.10745171,0.62956255
-5.78389195,12.21247077,2.88634456,0.00000000,5.44219893,9.39952903,0.10571099,0.62012276
-5.77788894,12.18854497,2.88764217,0.00000000,5.42946825,9.40964069,0.10357690,0.60814893
-5.77188594,12.11741101,2.87760211,0.00000000,5.39359021,9.38334938,0.10107454,0.59384178
-5.76588294,12.00140640,2.85666660,0.00000000,5.33652098,9.32208179,0.09823198,0.57743135
-5.75987994,11.84353415,2.82543736,0.00000000,5.26063300,9.22778916,0.09507987,0.55917135
-5.75387694,11.64737101,2.78465455,0.00000000,5.16864662,9.10288205,0.09165104,0.53933320
-5.74787394,11.41696522,2.73517306,0.00000000,5.06355369,8.95015642,0.08798009,0.51819997
-5.74187094,11.15672819,2.67793715,0.00000000,4.94853598,8.77271447,0.08410301,0.49606063
-5.73586793,10.87132427,2.61395450,0.00000000,4.82688138,8.57388347,0.08005675,0.47320462
