energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,4.74043958,1.09341650,0.00000000,2.51907864,3.49555160,0.71825805,0.00000000
-5.99399700,4.82379338,1.10682757,0.00000000,2.53313775,3.57015139,0.72851104,0.00000000
-5.98799400,4.92179272,1.12310513,0.00000000,2.55114639,3.65672676,0.74148827,0.00000000
-5.98199100,5.03319462,1.14205827,0.00000000,2.57300769,3.75414798,0.75699578,0.00000000
-5.97598799,5.15634670,1.16341041,0.00000000,2.59840609,3.86098952,0.77475984,0.00000000
-5.96998499,5.28921881,1.18680600,0.00000000,2.62681334,3.97555789,0.79443093,0.00000000
-5.96398199,5.42944950,1.21182014,0.00000000,2.65750326,4.09592998,0.81559058,0.00000000
-5.95797899,5.57440673,1.23797094,0.00000000,2.68957483,4.22000130,0.83776087,0.00000000
-5.95197599,5.72126117,1.26473417,0.00000000,2.72198307,4.34554264,0.86041649,0.00000000
-5.94597299,5.86706969,1.29155981,0.00000000,2.75357645,4.47026379,0.88299889,0.00000000
-5.93996998,6.00886649,1.31788985,0.00000000,2.78313978,4.59188181,0.90493227,0.00000000
-5.93396698,6.14375823,1.34317676,0.00000000,2.80944072,4.70819169,0.92564065,0.00000000
-5.92796398,6.26901966,1.36690188,0.00000000,2.83127825,4.81713642,0.94456558,0.00000000
-5.92196098,6.38218561,1.38859302,0.00000000,2.84753111,4.91687360,0.96118363,0.00000000
-5.91595798,6.48113550,1.40784053,0.00000000,2.85720417,5.00583576,0.97502306,0.00000000
-5.90995498,6.56416651,1.42431121,0.00000000,2.85947074,5.08278163,0.98567880,0.00000000
-5.90395198,6.63005205,1.43775942,0.00000000,2.85370905,5.14683592,0.99282529,0.00000000
-5.89794897,6.67808270,1.44803491,0.00000000,2.83953103,5.19751574,0.99622641,0.00000000
-5.89194597,6.70808772,1.45508712,0.00000000,2.81680229,5.23474224,0.99574209,0.00000000
-5.88594297,6.72043584,1.45896560,0.00000000,2.78565214,5.25883703,0.99133137,0.00000000
-5.87993997,6.71601535,1.45981669,0.00000000,2.74647319,5.27050322,0.98305171,0.00000000
-5.87393697,6.69619430,1.45787665,0.00000000,2.69991044,5.27079213,0.97105459,0.00000000
-5.86793397,6.66276258,1.45346139,0.00000000,2.64684027,5.26105717,0.95557765,0.00000000
-5.86193097,6.61785864,1.44695349,0.00000000,2.58834015,5.24289697,0.93693379,0.00000000
-5.85592796,6.56388420,1.43878702,0.00000000,2.52565045,5.21809053,0.91549771,0.00000000
-5.84992496,6.50341081,1.42943076,0.00000000,2.46012986,5.18852722,0.89169067,0.00000000
-5.84392196,6.43908232,1.41937068,0.00000000,2.39320647,5.15613488,0.86596403,0.00000000
-5.83791896,6.37351771,1.40909226,0.00000000,2.32632644,5.12280897,0.83878251,0.00000000
-5.83191596,6.30921792,1.39906347,0.00000000,2.26090257,5.09034572,0.81060783,0.00000000
