energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,0.82666180,0.05955869,0.04178006,0.37866864,0.13775617,0.39519715,0.00000000
-5.99399700,0.78419433,0.05437912,0.04067242,0.35925446,0.12867678,0.37565390,0.00000000
-5.98799400,0.75579200,0.05017908,0.04026930,0.34595852,0.12198698,0.36279592,0.00000000
-5.98199100,0.74075312,0.04691395,0.04053421,0.33844323,0.11757458,0.35630426,0.00000000
-5.97598799,0.73826932,0.04452909,0.04142505,0.33630880,0.11530965,0.35580989,0.00000000
-5.96998499,0.74745213,0.04296231,0.04289535,0.33910563,0.11504965,0.36090608,0.00000000
-5.96398199,0.76735884,0.04214624,0.04489550,0.34634675,0.11664418,0.37116053,0.00000000
-5.95797899,0.79701728,0.04201048,0.04737398,0.35751998,0.11993941,0.38612707,0.00000000
-5.95197599,0.83544911,0.04248353,0.05027862,0.37209984,0.12478209,0.40535675,0.00000000
-5.94597299,0.88169124,0.04349450,0.05355780,0.38955897,0.13102300,0.42840805,0.00000000
-5.93996998,0.93481510,0.04497446,0.05716157,0.40937899,0.13851986,0.45485609,0.00000000
-5.93396698,0.99394315,0.04685767,0.06104270,0.43106056,0.14713965,0.48430054,0.00000000
-5.92796398,1.05826248,0.04908232,0.06515768,0.45413255,0.15676025,0.51637202,0.00000000
-5.92196098,1.12703479,0.05159122,0.06946749,0.47816003,0.16727144,0.55073689,0.00000000
-5.91595798,1.19960258,0.05433203,0.07393818,0.50275086,0.17857514,0.58709993,0.00000000
-5.90995498,1.27539106,0.05725734,0.07854127,0.52756075,0.19058493,0.62520507,0.00000000
-5.90395198,1.35390557,0.06032447,0.08325385,0.55229639,0.20322491,0.66483379,0.00000000
-5.89794897,1.43472450,0.06349507,0.08805841,0.57671676,0.21642783,0.70580128,0.00000000
-5.89194597,1.51748777,0.06673449,0.09294231,0.60063223,0.23013257,0.74795039,0.00000000
