energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.49346833,0.23680318,0.06367671,0.02199112,0.03030975,0.25443577,0.00000000,0.22476752,0.06450136
-5.99399700,0.51405681,0.25199822,0.06542319,0.02286040,0.03217950,0.26552165,0.00000000,0.23523025,0.06679787
-5.98799400,0.53523590,0.26723825,0.06730676,0.02373443,0.03408809,0.27683648,0.00000000,0.24578183,0.06917625
-5.98199100,0.55632675,0.28222637,0.06923370,0.02458025,0.03600028,0.28803424,0.00000000,0.25611561,0.07154614
-5.97598799,0.57668757,0.29668119,0.07111503,0.02536705,0.03788391,0.29878687,0.00000000,0.26593680,0.07382226
-5.96998499,0.59573206,0.31034652,0.07286882,0.02606686,0.03971126,0.30879378,0.00000000,0.27497082,0.07592679
-5.96398199,0.61294689,0.32300095,0.07442226,0.02665518,0.04146032,0.31779092,0.00000000,0.28297117,0.07779151
-5.95797899,0.62790750,0.33446695,0.07571352,0.02711149,0.04311605,0.32555897,0.00000000,0.28972677,0.07935978
-5.95197599,0.64029164,0.34461911,0.07669328,0.02741967,0.04467143,0.33193042,0.00000000,0.29506830,0.08058811
-5.94597299,0.64989017,0.35339100,0.07732586,0.02756833,0.04612838,0.33679515,0.00000000,0.29887331,0.08144745
-5.93996998,0.65661441,0.36078034,0.07759007,0.02755097,0.04749839,0.34010439,0.00000000,0.30106993,0.08192399
-5.93396698,0.66049979,0.36685205,0.07747941,0.02736601,0.04880286,0.34187259,0.00000000,0.30163898,0.08201954
-5.92796398,0.66170532,0.37173898,0.07700200,0.02701663,0.05007305,0.34217732,0.00000000,0.30061419,0.08175136
-5.92196098,0.66050884,0.37563991,0.07617991,0.02651058,0.05134961,0.34115691,0.00000000,0.29808080,0.08115159
-5.91595798,0.65729800,0.37881495,0.07504811,0.02585971,0.05268176,0.33900592,0.00000000,0.29417213,0.08026608
-5.90995498,0.65255713,0.38157818,0.07365291,0.02507948,0.05412597,0.33596855,0.00000000,0.28906459,0.07915283
-5.90395198,0.64685043,0.38428764,0.07205015,0.02418834,0.05574426,0.33233013,0.00000000,0.28297112,0.07788004
-5.89794897,0.64080187,0.38733312,0.07030297,0.02320699,0.05760206,0.32840698,0.00000000,0.27613327,0.07652376
-5.89194597,0.63507258,0.39112180,0.06847942,0.02215769,0.05976582,0.32453498,0.00000000,0.26881230,0.07516541
-5.88594297,0.63033648,0.39606252,0.06664991,0.02106342,0.06230025,0.32105728,0.00000000,0.26127963,0.07388896
-5.87993997,0.62725503,0.40254900,0.06488462,0.01994714,0.06526548,0.31831158,0.00000000,0.25380698,0.07277824
-5.87393697,0.62645201,0.41094287,0.06325096,0.01883104,0.06871412,0.31661741,0.00000000,0.24665656,0.07191418
-5.86793397,0.62848939,0.42155693,0.06181115,0.01773588,0.07268832,0.31626400,0.00000000,0.24007176,0.07137221
-5.86193097,0.63384507,0.43463964,0.06062008,0.01668042,0.07721704,0.31749912,0.00000000,0.23426863,0.07121994
-5.85592796,0.64289358,0.45036128,0.05972345,0.01568085,0.08231369,0.32051935,0.00000000,0.22942852,0.07151510
-5.84992496,0.65589026,0.46880257,0.05915629,0.01475053,0.08797404,0.32546224,0.00000000,0.22569212,0.07230389
-5.84392196,0.67295987,0.48994632,0.05894185,0.01389964,0.09417487,0.33240051,0.00000000,0.22315509,0.07361981
-5.83791896,0.69408987,0.51367254,0.05909107,0.01313512,0.10087308,0.34133873,0.00000000,0.22186551,0.07548284
-5.83191596,0.71912878,0.53975743,0.05960235,0.01246061,0.10800568,0.35221247,0.00000000,0.22182309,0.07789923
-5.82591296,0.74778973,0.56787641,0.06046191,0.01187664,0.11549047,0.36488999,0.00000000,0.22298029,0.08086165
-5.81990995,0.77965911,0.59761121,0.06164457,0.01138077,0.12322755,0.37917652,0.00000000,0.22524514,0.08434986
