energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,4.80375225,0.00989369,0.00000000,0.01690410,1.31267465,0.05716904,1.55379910,1.68276307,1.44937441
-5.99399700,5.00279958,0.01025189,0.00000000,0.01732009,1.37025481,0.05876060,1.61021208,1.75482569,1.52080786
-5.98799400,5.20280143,0.01060916,0.00000000,0.01774060,1.42740257,0.06035472,1.66795536,1.82874898,1.59148515
-5.98199100,5.40209792,0.01096283,0.00000000,0.01815793,1.48349070,0.06193724,1.72675121,1.90392884,1.66066887
-5.97598799,5.59905967,0.01131010,0.00000000,0.01856367,1.53790711,0.06349386,1.78631953,1.97973676,1.72765597
-5.96998499,5.79214579,0.01164816,0.00000000,0.01894905,1.59007696,0.06501087,1.84638836,2.05554183,1.79180267
-5.96398199,5.97995631,0.01197423,0.00000000,0.01930531,1.63948293,0.06647571,1.90670299,2.13073203,1.85254660
-5.95797899,6.16127554,0.01228571,0.00000000,0.01962400,1.68568259,0.06787762,1.96703288,2.20473343,1.90942496
-5.95197599,6.33510363,0.01258021,0.00000000,0.01989742,1.72832168,0.06920802,2.02717557,2.27702600,1.96208765
-5.94597299,6.50067395,0.01285571,0.00000000,0.02011887,1.76714254,0.07046083,2.08695733,2.34715528,2.01030440
-5.93996998,6.65745506,0.01311054,0.00000000,0.02028296,1.80198730,0.07163252,2.14623023,2.41473899,2.05396550
-5.93396698,6.80513699,0.01334348,0.00000000,0.02038586,1.83279543,0.07272205,2.20486566,2.47946816,2.09307621
-5.92796398,6.94360250,0.01355377,0.00000000,0.02042544,1.85959610,0.07373060,2.26274474,2.54110309,2.12774484
-5.92196098,7.07288542,0.01374109,0.00000000,0.02040134,1.88249556,0.07466108,2.31974612,2.59946409,2.15816564
-5.91595798,7.19311855,0.01390555,0.00000000,0.02031501,1.90166070,0.07551760,2.37573210,2.65441816,2.18459726
-5.90995498,7.30447516,0.01404768,0.00000000,0.02016957,1.91729969,0.07630474,2.43053415,2.70586242,2.20733836
-5.90395198,7.40710789,0.01416829,0.00000000,0.01996971,1.92964112,0.07702684,2.48393886,2.75370579,2.22670183
-5.89794897,7.50108977,0.01426845,0.00000000,0.01972141,1.93891300,0.07768728,2.53567573,2.79785032,2.24298939
-5.89194597,7.58636155,0.01434938,0.00000000,0.01943171,1.94532309,0.07828775,2.58540774,2.83817380,2.25646806
-5.88594297,7.66268954,0.01441237,0.00000000,0.01910833,1.94904184,0.07882770,2.63272589,2.87451506,2.26735012
-5.87993997,7.72963719,0.01445866,0.00000000,0.01875940,1.95018904,0.07930390,2.67714832,2.90666327,2.27577777
-5.87393697,7.78655283,0.01448938,0.00000000,0.01839302,1.94882511,0.07971020,2.71812475,2.93435224,2.28181339
