energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.78334047,0.05746864,0.08377663,0.03616597,0.08916776,0.03068953,0.25614508,0.15055292,0.09095111
-5.99399700,0.74801320,0.05525999,0.07941541,0.03329238,0.08366884,0.02997837,0.24365006,0.14362791,0.08890013
-5.98799400,0.71796806,0.05367214,0.07567427,0.03048610,0.07860968,0.02950140,0.23294907,0.13752338,0.08776476
-5.98199100,0.69386697,0.05272848,0.07260491,0.02777868,0.07407776,0.02928477,0.22420674,0.13240350,0.08762025
-5.97598799,0.67629196,0.05244845,0.07024917,0.02519834,0.07015300,0.02935055,0.21756034,0.12841819,0.08853413
-5.96998499,0.66572885,0.05284619,0.06863773,0.02276961,0.06690644,0.02971593,0.21311479,0.12569991,0.09056331
-5.96398199,0.66255324,0.05392942,0.06778917,0.02051309,0.06439920,0.03039234,0.21093858,0.12436096,0.09375141
-5.95797899,0.66701922,0.05569855,0.06770923,0.01844536,0.06268163,0.03138489,0.21106072,0.12449122,0.09812632
-5.95197599,0.67925095,0.05814618,0.06839050,0.01657901,0.06179263,0.03269188,0.21346874,0.12615639,0.10369809
-5.94597299,0.69923745,0.06125675,0.06981239,0.01492282,0.06175925,0.03430456,0.21810789,0.12939666,0.11045729
-5.93996998,0.72683063,0.06500681,0.07194156,0.01348194,0.06259641,0.03620705,0.22488168,0.13422594,0.11837376
-5.93396698,0.76174676,0.06936543,0.07473271,0.01225827,0.06430681,0.03837654,0.23365363,0.14063146,0.12739589
-5.92796398,0.80357123,0.07429525,0.07812975,0.01125076,0.06688099,0.04078367,0.24425033,0.14857394,0.13745050
-5.92196098,0.85176674,0.07975383,0.08206745,0.01045587,0.07029752,0.04339315,0.25646580,0.15798813,0.14844322
-5.91595798,0.90568461,0.08569547,0.08647333,0.00986789,0.07452333,0.04616458,0.27006691,0.16878374,0.16025950
-5.90995498,0.96457915,0.09207344,0.09127003,0.00947941,0.07951419,0.04905347,0.28480005,0.18084689,0.17276621
-5.90395198,1.02762474,0.09884257,0.09637785,0.00928168,0.08521525,0.05201246,0.30039851,0.19404182,0.18581379
-5.89794897,1.09393527,0.10596211,0.10171758,0.00926495,0.09156180,0.05499264,0.31659075,0.20821310,0.19923887
-5.89194597,1.16258555,0.11339887,0.10721346,0.00941879,0.09848014,0.05794495,0.33310901,0.22318813,0.21286745
-5.88594297,1.23263411,0.12113045,0.11279615,0.00973243,0.10588858,0.06082175,0.34969824,0.23878005,0.22651832
-5.87993997,1.30314690,0.12914843,0.11840576,0.01019495,0.11369871,0.06357824,0.36612495,0.25479091,0.24000691
