energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.00001298,0.00000001,0.00000075,0.00000016,0.00000001,0.00000682,0.00000166,0.00000129
-5.99399700,0.00001869,0.00000001,0.00000108,0.00000022,0.00000001,0.00000983,0.00000239,0.00000186
-5.98799400,0.00002672,0.00000002,0.00000155,0.00000032,0.00000001,0.00001405,0.00000342,0.00000265
-5.98199100,0.00003793,0.00000002,0.00000220,0.00000045,0.00000002,0.00001994,0.00000485,0.00000377
-5.97598799,0.00005346,0.00000003,0.00000310,0.00000064,0.00000002,0.00002809,0.00000685,0.00000532
-5.96998499,0.00007480,0.00000005,0.00000434,0.00000090,0.00000003,0.00003930,0.00000959,0.00000745
-5.96398199,0.00010391,0.00000006,0.00000603,0.00000125,0.00000004,0.00005459,0.00001333,0.00001035
-5.95797899,0.00014333,0.00000009,0.00000833,0.00000173,0.00000006,0.00007528,0.00001840,0.00001430
-5.95197599,0.00019629,0.00000012,0.00001143,0.00000238,0.00000008,0.00010307,0.00002523,0.00001960
-5.94597299,0.00026689,0.00000017,0.00001556,0.00000324,0.00000011,0.00014011,0.00003434,0.00002669
-5.93996998,0.00036030,0.00000023,0.00002104,0.00000439,0.00000015,0.00018910,0.00004642,0.00003608
-5.93396698,0.00048295,0.00000030,0.00002825,0.00000591,0.00000019,0.00025338,0.00006232,0.00004844
-5.92796398,0.00064274,0.00000040,0.00003768,0.00000790,0.00000026,0.00033709,0.00008308,0.00006459
-5.92196098,0.00084933,0.00000054,0.00004991,0.00001049,0.00000034,0.00044526,0.00011000,0.00008554
-5.91595798,0.00111436,0.00000070,0.00006566,0.00001384,0.00000045,0.00058393,0.00014464,0.00011251
-5.90995498,0.00145176,0.00000092,0.00008580,0.00001814,0.00000059,0.00076032,0.00018889,0.00014697
-5.90395198,0.00187797,0.00000119,0.00011137,0.00002364,0.00000077,0.00098293,0.00024501,0.00019071
-5.89794897,0.00241218,0.00000154,0.00014360,0.00003060,0.00000099,0.00126168,0.00031568,0.00024582
-5.89194597,0.00307660,0.00000197,0.00018395,0.00003938,0.00000127,0.00160795,0.00040403,0.00031476
-5.88594297,0.00389655,0.00000250,0.00023411,0.00005039,0.00000161,0.00203471,0.00051370,0.00040042
-5.87993997,0.00490060,0.00000317,0.00029605,0.00006409,0.00000204,0.00255647,0.00064889,0.00050611
-5.87393697,0.00612054,0.00000398,0.00037204,0.00008107,0.00000256,0.00318928,0.00081440,0.00063566
-5.86793397,0.00759130,0.00000497,0.00046465,0.00010200,0.00000320,0.00395064,0.00101566,0.00079340
-5.86193097,0.00935071,0.00000616,0.00057681,0.00012766,0.00000397,0.00485927,0.00125877,0.00098423
-5.85592796,0.01143914,0.00000760,0.00071183,0.00015898,0.00000491,0.00593491,0.00155053,0.00121366
-5.84992496,0.01389900,0.00000933,0.00087339,0.00019705,0.00000603,0.00719789,0.00189848,0.00148784
-5.84392196,0.01677411,0.00001139,0.00106564,0.00024313,0.00000736,0.00866876,0.00231091,0.00181359
-5.83791896,0.02010889,0.00001383,0.00129316,0.00029870,0.00000894,0.01036773,0.00279690,0.00219848
-5.83191596,0.02394750,0.00001671,0.00156107,0.00036550,0.00001081,0.01231404,0.00336633,0.00265084
-5.82591296,0.02833292,0.00002009,0.00187502,0.00044556,0.00001302,0.01452536,0.00402998,0.00317988
-5.81990995,0.03330591,0.00002405,0.00224130,0.00054123,0.00001560,0.01701702,0.00479949,0.00379572
-5.81390695,0.03890410,0.00002868,0.00266688,0.00065531,0.00001862,0.01980139,0.00568750,0.00450953
-5.80790395,0.04516110,0.00003407,0.00315950,0.00079103,0.00002214,0.02288714,0.00670772,0.00533365
-5.80190095,0.05210585,0.00004034,0.00372780,0.00095217,0.00002624,0.02627874,0.00787505,0.00628175
-5.79589795,0.05976214,0.00004761,0.00438141,0.00114315,0.00003101,0.02997594,0.00920569,0.00736896
-5.78989495,0.06814847,0.00005603,0.00513109,0.00136911,0.00003653,0.03397352,0.01071734,0.00861215
-5.78389195,0.07727829,0.00006577,0.00598890,0.00163598,0.00004294,0.03826121,0.01242936,0.01003011
-5.77788894,0.08716069,0.00007704,0.00696832,0.00195062,0.00005035,0.04282388,0.01436299,0.01164376
-5.77188594,0.09780146,0.00009007,0.00808439,0.00232087,0.00005893,0.04764199,0.01654151,0.01347647
-5.76588294,0.10920470,0.00010512,0.00935390,0.00275571,0.00006886,0.05269237,0.01899047,0.01555421
-5.75987994,0.12137480,0.00012249,0.01079546,0.00326528,0.00008032,0.05794928,0.02173779,0.01790578
-5.75387694,0.13431878,0.00014255,0.01242961,0.00386097,0.00009355,0.06338577,0.02481390,0.02056294
-5.74787394,0.14804900,0.00016566,0.01427880,0.00455548,0.00010880,0.06897524,0.02825168,0.02356049
-5.74187094,0.16258591,0.00019228,0.01636743,0.00536285,0.00012637,0.07469334,0.03208640,0.02693622
-5.73586793,0.17796088,0.00022287,0.01872165,0.00629845,0.00014655,0.08051980,0.03635546,0.03073075
-5.72986493,0.19421894,0.00025796,0.02136925,0.00737894,0.00016968,0.08644050,0.04109797,0.03498726
-5.72386193,0.21142107,0.00029811,0.02433924,0.00862222,0.00019612,0.09244943,0.04635418,0.03975101
-5.71785893,0.22964614,0.00034392,0.02766156,0.01004731,0.00022625,0.09855043,0.05216468,0.04506874
-5.71185593,0.24899215,0.00039599,0.03136649,0.01167420,0.00026046,0.10475887,0.05856948,0.05098792
-5.70585293,0.26957675,0.00045494,0.03548411,0.01352371,0.00029913,0.11110285,0.06560685,0.05755581
-5.69984992,0.29153686,0.00052141,0.04004358,0.01561726,0.00034266,0.11762406,0.07331203,0.06481844
-5.69384692,0.31502742,0.00059598,0.04507245,0.01797666,0.00039140,0.12437816,0.08171584,0.07281949
-5.68784392,0.34021927,0.00067923,0.05059593,0.02062387,0.00044570,0.13143463,0.09084322,0.08159916
-5.68184092,0.36729612,0.00077164,0.05663611,0.02358072,0.00050585,0.13887612,0.10071178,0.09119299
-5.67583792,0.39645084,0.00087364,0.06321130,0.02686873,0.00057210,0.14679716,0.11133038,0.10163082
-5.66983492,0.42788104,0.00098555,0.07033541,0.03050879,0.00064462,0.15530250,0.12269788,0.11293586
-5.66383192,0.46178426,0.00110756,0.07801748,0.03452092,0.00072351,0.16450488,0.13480208,0.12512391
-5.65782891,0.49835286,0.00123973,0.08626130,0.03892406,0.00080880,0.17452238,0.14761899,0.13820281
-5.65182591,0.53776886,0.00138197,0.09506527,0.04373580,0.00090041,0.18547560,0.16111232,0.15217222
-5.64582291,0.58019874,0.00153402,0.10442233,0.04897212,0.00099816,0.19748440,0.17523345,0.16702359
-5.63981991,0.62578857,0.00169545,0.11432020,0.05464710,0.00110178,0.21066465,0.18992171,0.18274042
-5.63381691,0.67465942,0.00186565,0.12474161,0.06077261,0.00121094,0.22512483,0.20510514,0.19929878
-5.62781391,0.72690311,0.00204385,0.13566480,0.06735789,0.00132519,0.24096272,0.22070156,0.21666800
-5.62181091,0.78257848,0.00222912,0.14706402,0.07440919,0.00144403,0.25826214,0.23661997,0.23481151
-5.61580790,0.84170793,0.00242039,0.15891010,0.08192911,0.00156690,0.27708985,0.25276227,0.25368769
-5.60980490,0.90427439,0.00261647,0.17117097,0.08991607,0.00169322,0.29749269,0.26902515,0.27325072
-5.60380190,0.97021857,0.00281606,0.18381214,0.09836353,0.00182238,0.31949499,0.28530206,0.29345127
-5.59779890,1.03943641,0.00301780,0.19679706,0.10725924,0.00195378,0.34309626,0.30148522,0.31423697
-5.59179590,1.11177672,0.00322030,0.21008725,0.11658429,0.00208686,0.36826922,0.31746757,0.33555264
