energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.71148199,-1.57392342,0.01036118,-0.01020519,0.08897817,-0.08551645,0.84920295,-0.79123672,0.51972785,-0.47264567,0.03566563,-0.03300705,0.89477023,-0.81861861
-5.99399700,1.78981842,-1.65486182,0.01047392,-0.01034525,0.08994632,-0.08672163,0.88114219,-0.82571425,0.54628176,-0.49935929,0.03787155,-0.03520608,0.94014842,-0.86525292
-5.98799400,1.86474589,-1.73405140,0.01055170,-0.01045284,0.09073221,-0.08774917,0.91119876,-0.85898811,0.57192694,-0.52570406,0.04000631,-0.03737812,0.98382603,-0.91115614
-5.98199100,1.93520704,-1.81048689,0.01059265,-0.01052585,0.09132936,-0.08859644,0.93897241,-0.89067511,0.59630563,-0.55134626,0.04203255,-0.03948531,1.02519024,-0.95574318
-5.97598799,2.00015546,-1.88314057,0.01059510,-0.01056230,0.09173006,-0.08926006,0.96406591,-0.92038045,0.61906161,-0.57594341,0.04391462,-0.04149066,1.06363396,-0.99841464
-5.96998499,2.05858036,-1.95098294,0.01055769,-0.01056046,0.09192539,-0.08973562,0.98609505,-0.94770570,0.63984824,-0.59915096,0.04561932,-0.04335882,1.09857017,-1.03856912
-5.96398199,2.10953202,-2.01300541,0.01047940,-0.01051887,0.09190553,-0.09001752,1.00469920,-0.97225791,0.65833687,-0.62062969,0.04711668,-0.04505688,1.12944649,-1.07561655
-5.95797899,2.15214714,-2.06824423,0.01035970,-0.01043645,0.09166013,-0.09009904,1.01955215,-0.99365971,0.67422518,-0.64005343,0.04838061,-0.04655506,1.15575963,-1.10899215
-5.95197599,2.18567306,-2.11580478,0.01019857,-0.01031263,0.09117889,-0.08997254,1.03037254,-1.01155974,0.68724524,-0.65711690,0.04938949,-0.04782738,1.17706912,-1.13817049
-5.94597299,2.20949001,-2.15488545,0.00999658,-0.01014735,0.09045214,-0.08962979,1.03693368,-1.02564326,0.69717095,-0.67154345,0.05012663,-0.04885219,1.19300986,-1.16267924
-5.93996998,2.22313034,-2.18479998,0.00975494,-0.00994119,0.08947159,-0.08906247,1.03907220,-1.03564236,0.70382461,-0.68309229,0.05058056,-0.04961263,1.20330293,-1.18211190
-5.93396698,2.22629420,-2.20499756,0.00947550,-0.00969538,0.08823097,-0.08826269,1.03669519,-1.04134530,0.70708228,-0.69156509,0.05074525,-0.05009694,1.20776440,-1.19613930
-5.92796398,2.21886089,-2.21507992,0.00916075,-0.00941179,0.08672673,-0.08722370,1.02978557,-1.04260479,0.70687797,-0.69681163,0.05062013,-0.05029862,1.20631168,-1.20451930
-5.92196098,2.20089555,-2.21481469,0.00881379,-0.00909298,0.08495868,-0.08594045,1.01840544,-1.03934457,0.70320624,-0.69873428,0.05021000,-0.05021644,1.19896726,-1.20710433
-5.91595798,2.17265100,-2.20414460,0.00843826,-0.00874212,0.08293046,-0.08441026,1.00269720,-1.03156433,0.69612333,-0.69729135,0.04952475,-0.04985439,1.18585979,-1.20384661
-5.90995498,2.13456468,-2.18319222,0.00803830,-0.00836294,0.08064994,-0.08263343,0.98288259,-1.01934247,0.68574671,-0.69249889,0.04857904,-0.04922138,1.16722240,-1.19480087
-5.90395198,2.08725077,-2.15226013,0.00761839,-0.00795965,0.07812952,-0.08061369,0.95925950,-1.00283681,0.67225308,-0.68443125,0.04739177,-0.04833093,1.14338833,-1.18012443
-5.89794897,2.03148802,-2.11182646,0.00718328,-0.00753682,0.07538618,-0.07835863,0.93219682,-0.98228319,0.65587500,-0.67322010,0.04598562,-0.04720069,1.11478424,-1.16007479
-5.89194597,1.96820360,-2.06253619,0.00673786,-0.00709928,0.07244148,-0.07587997,0.90212745,-0.95799186,0.63689613,-0.65905215,0.04438632,-0.04585196,1.08192116,-1.13500471
-5.88594297,1.89845355,-2.00518842,0.00628706,-0.00665200,0.06932134,-0.07319368,0.86953977,-0.93034210,0.61564535,-0.64216562,0.04262210,-0.04430903,1.04538374,-1.10535512
-5.87993997,1.82340071,-1.94072012,0.00583568,-0.00619993,0.06605574,-0.07032001,0.83496794,-0.89977498,0.59248999,-0.62284552,0.04072295,-0.04259862,1.00581779,-1.07164601
