energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
5.18359180,0.55569227,0.01720097,0.09088756,0.48279739,0.09324947,0.07395087,0.02574948,0.12611777,0.00000000
5.18959480,0.56172739,0.01816243,0.09071127,0.48419123,0.09471684,0.07491962,0.02454844,0.12492061,0.00000000
5.19559780,0.56616173,0.01904003,0.09039057,0.48385475,0.09589078,0.07575823,0.02336273,0.12363259,0.00000000
5.20160080,0.56878913,0.01981678,0.08989585,0.48174847,0.09673102,0.07642269,0.02219881,0.12221581,0.00000000
5.20760380,0.56941867,0.02047717,0.08919720,0.47784839,0.09720029,0.07687116,0.02106141,0.12063022,0.00000000
5.21360680,0.56788370,0.02100764,0.08826610,0.47214906,0.09726592,0.07706582,0.01995367,0.11883623,0.00000000
5.21960980,0.56405089,0.02139711,0.08707703,0.46466688,0.09690148,0.07697464,0.01887743,0.11679721,0.00000000
5.22561281,0.55782849,0.02163732,0.08560907,0.45544356,0.09608819,0.07657306,0.01783348,0.11448204,0.00000000
5.23161581,0.54917357,0.02172310,0.08384727,0.44454930,0.09481614,0.07584551,0.01682193,0.11186741,0.00000000
5.23761881,0.53809761,0.02165261,0.08178380,0.43208562,0.09308519,0.07478656,0.01584249,0.10893970,0.00000000
5.24362181,0.52467017,0.02142737,0.07941871,0.41818731,0.09090552,0.07340183,0.01489481,0.10569653,0.00000000
5.24962481,0.50902043,0.02105220,0.07676041,0.40302357,0.08829782,0.07170843,0.01397872,0.10214768,0.00000000
5.25562781,0.49133655,0.02053506,0.07382569,0.38679804,0.08529300,0.06973509,0.01309449,0.09831557,0.00000000
5.26163082,0.47186274,0.01988678,0.07063943,0.36974773,0.08193157,0.06752181,0.01224301,0.09423514,0.00000000
5.26763382,0.45089431,0.01912067,0.06723391,0.35214072,0.07826269,0.06511925,0.01142588,0.08995320,0.00000000
5.27363682,0.42877087,0.01825204,0.06364782,0.33427284,0.07434279,0.06258767,0.01064550,0.08552732,0.00000000
5.27963982,0.40586808,0.01729776,0.05992506,0.31646328,0.07023409,0.05999567,0.00990504,0.08102438,0.00000000
5.28564282,0.38258818,0.01627565,0.05611330,0.29904933,0.06600281,0.05741865,0.00920842,0.07651868,0.00000000
5.29164582,0.35934992,0.01520396,0.05226248,0.28238045,0.06171740,0.05493712,0.00856018,0.07208993,0.00000000
5.29764882,0.33657806,0.01410084,0.04842328,0.26681172,0.05744669,0.05263485,0.00796539,0.06782106,0.00000000
5.30365183,0.31469302,0.01298384,0.04464558,0.25269701,0.05325809,0.05059694,0.00742945,0.06379598,0.00000000
5.30965483,0.29410084,0.01186947,0.04097711,0.24038181,0.04921593,0.04890791,0.00695790,0.06009732,0.00000000
5.31565783,0.27518387,0.01077282,0.03746213,0.23019604,0.04538001,0.04764969,0.00655626,0.05680434,0.00000000
5.32166083,0.25829225,0.00970728,0.03414046,0.22244685,0.04180425,0.04689971,0.00622981,0.05399086,0.00000000
5.32766383,0.24373645,0.00868432,0.03104656,0.21741148,0.03853569,0.04672896,0.00598336,0.05172343,0.00000000
5.33366683,0.23178082,0.00771336,0.02820894,0.21533035,0.03561368,0.04720015,0.00582107,0.05005963,0.00000000
