energy_ev,total_up,As_p_up,As_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,1.79931411,0.20483720,0.00000000,1.08319805,0.60828680,0.01542761,1.10296597
-5.99399700,1.86631257,0.21087533,0.00000000,1.11977560,0.63569674,0.01558726,1.14940919
-5.98799400,1.93657280,0.21698634,0.00000000,1.15805524,0.66454383,0.01574428,1.19843084
-5.98199100,2.00987483,0.22316014,0.00000000,1.19801592,0.69471641,0.01589847,1.24984530
-5.97598799,2.08588775,0.22938105,0.00000000,1.23957805,0.72605777,0.01604885,1.30338505
-5.96998499,2.16417189,0.23562749,0.00000000,1.28260289,0.75836787,0.01619370,1.35870336
-5.96398199,2.24418625,0.24187207,0.00000000,1.32689436,0.79140725,0.01633053,1.41538084
-5.95797899,2.32530078,0.24808183,0.00000000,1.37220329,0.82490301,0.01645625,1.47293548
-5.95197599,2.40681281,0.25421879,0.00000000,1.41823350,0.85855647,0.01656727,1.53083570
-5.94597299,2.48796682,0.26024072,0.00000000,1.46464959,0.89205226,0.01665967,1.58851569
-5.93996998,2.56797637,0.26610201,0.00000000,1.51108570,0.92506812,0.01672939,1.64539233
-5.93396698,2.64604708,0.27175478,0.00000000,1.55715483,0.95728511,0.01677238,1.70088263
-5.92796398,2.72139920,0.27714993,0.00000000,1.60245815,0.98839734,0.01678487,1.75442076
-5.92196098,2.79328869,0.28223824,0.00000000,1.64659365,1.01812096,0.01676346,1.80547386
-5.91595798,2.86102562,0.28697147,0.00000000,1.68916401,1.04620157,0.01670533,1.85355555
-5.90995498,2.92398900,0.29130327,0.00000000,1.72978295,1.07242000,0.01660832,1.89823670
-5.90395198,2.98163743,0.29519001,0.00000000,1.76808035,1.09659582,0.01647105,1.93915283
-5.89794897,3.03351519,0.29859151,0.00000000,1.80370563,1.11858872,0.01629298,1.97600794
-5.89194597,3.07925393,0.30147151,0.00000000,1.83632992,1.13829756,0.01607436,2.00857480
-5.88594297,3.11857020,0.30379810,0.00000000,1.86564700,1.15565750,0.01581629,2.03669195
-5.87993997,3.15125949,0.30554401,0.00000000,1.89137344,1.17063533,0.01552063,2.06025792
-5.87393697,3.17718778,0.30668678,0.00000000,1.91324837,1.18322358,0.01518993,2.07922328
-5.86793397,3.19628153,0.30720891,0.00000000,1.93103339,1.19343388,0.01482737,2.09358153
-5.86193097,3.20851740,0.30709807,0.00000000,1.94451290,1.20129029,0.01443666,2.10335950
-5.85592796,3.21391261,0.30634722,0.00000000,1.95349538,1.20682292,0.01402193,2.10860824
-5.84992496,3.21251720,0.30495492,0.00000000,1.95781578,1.21006273,0.01358768,2.10939534
-5.84392196,3.20440870,0.30292561,0.00000000,1.95733922,1.21103763,0.01313870,2.10579907
-5.83791896,3.18968997,0.30027002,0.00000000,1.95196595,1.20977043,0.01267997,2.09790512
-5.83191596,3.16849026,0.29700562,0.00000000,1.94163736,1.20627875,0.01221666,2.08580596
-5.82591296,3.14096943,0.29315705,0.00000000,1.92634276,1.20057685,0.01175410,2.06960295
-5.81990995,3.10732491,0.28875655,0.00000000,1.90612647,1.19267932,0.01129773,2.04941092
-5.81390695,3.06780050,0.28384430,0.00000000,1.88109453,1.18260621,0.01085308,2.02536464
