energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,7.52815089,0.05359716,0.02930900,1.86851911,0.84110377,0.27056642,4.48270788,1.03043640,0.31010285
-5.99399700,7.25152240,0.05053326,0.02898072,1.76610520,0.80479001,0.26691269,4.31828604,0.98993068,0.30115452
-5.98799400,6.96719002,0.04768840,0.02862990,1.66644020,0.76808535,0.26240352,4.14933545,0.94861634,0.29148800
-5.98199100,6.67802045,0.04507579,0.02825394,1.57054452,0.73142918,0.25707553,3.97757048,0.90691195,0.28119868
-5.97598799,6.38681216,0.04270538,0.02785054,1.47929292,0.69523336,0.25098142,3.80466264,0.86523114,0.27038785
-5.96998499,6.09626291,0.04058422,0.02741781,1.39340767,0.65987623,0.24418930,3.63222129,0.82397744,0.25916130
-5.96398199,5.80893851,0.03871670,0.02695455,1.31345647,0.62569764,0.23678134,3.46177517,0.78353894,0.24762774
-5.95797899,5.52724258,0.03710476,0.02646030,1.23985442,0.59299507,0.22885181,3.29475456,0.74428268,0.23589700
-5.95197599,5.25338765,0.03574794,0.02593544,1.17286961,0.56202076,0.22050453,3.13247429,0.70654892,0.22407813
-5.94597299,4.98936759,0.03464346,0.02538122,1.11263140,0.53297992,0.21184995,2.97611761,0.67064545,0.21227748
-5.93996998,4.73693200,0.03378612,0.02479971,1.05914072,0.50602980,0.20300180,2.82672115,0.63684195,0.20059669
-5.93396698,4.49756299,0.03316820,0.02419375,1.01228175,0.48127970,0.19407375,2.68516130,0.60536478,0.18913084
-5.92796398,4.27245532,0.03277931,0.02356679,0.97183423,0.45879183,0.18517589,2.55214250,0.57639228,0.17796662
-5.92196098,4.06250045,0.03260623,0.02292277,0.93748603,0.43858286,0.17641153,2.42818788,0.55005089,0.16718083
-5.91595798,3.86827578,0.03263277,0.02226592,0.90884553,0.42062627,0.16787417,2.31363284,0.52641218,0.15683900
-5.90995498,3.69003967,0.03283973,0.02160060,0.88545360,0.40485536,0.15964501,2.20862207,0.50549122,0.14699447
-5.90395198,3.52773337,0.03320487,0.02093109,0.86679522,0.39116692,0.15179093,2.11311058,0.48724624,0.13768770
-5.89794897,3.38099029,0.03370305,0.02026146,0.85231055,0.37942556,0.14436310,2.02686914,0.47157986,0.12894600
-5.89194597,3.24915324,0.03430648,0.01959537,0.84140582,0.36946869,0.13739628,1.94949438,0.45834193,0.12078373
-5.88594297,3.13129970,0.03498512,0.01893600,0.83346400,0.36111204,0.13090874,1.88042377,0.44733398,0.11320275
-5.87993997,3.02627498,0.03570716,0.01828594,0.82785561,0.35415575,0.12490288,1.81895523,0.43831524,0.10619334
-5.87393697,2.93273272,0.03643972,0.01764721,0.82394970,0.34839093,0.11936643,1.76427119,0.43101009,0.09973537
-5.86793397,2.84918168,0.03714956,0.01702119,0.82112508,0.34360655,0.11427420,1.71546653,0.42511678,0.09379985
-5.86193097,2.77403758,0.03780398,0.01640877,0.81878193,0.33959652,0.10959019,1.67157949,0.42031709,0.08835057
-5.85592796,2.70567835,0.03837163,0.01581037,0.81635351,0.33616684,0.10527013,1.63162475,0.41628664,0.08334595
-5.84992496,2.64250067,0.03882350,0.01522609,0.81331792,0.33314252,0.10126409,1.59462736,0.41270547,0.07874099
-5.84392196,2.58297599,0.03913370,0.01465586,0.80920946,0.33037408,0.09751925,1.55965639,0.40926850,0.07448914
-5.83791896,2.52570350,0.03928036,0.01409957,0.80362923,0.32774342,0.09398255,1.52585690,0.40569545,0.07054413
-5.83191596,2.46945818,0.03924623,0.01355726,0.79625463,0.32516874,0.09060316,1.49247893,0.40173981,0.06686168
-5.82591296,2.41323175,0.03901931,0.01302924,0.78684709,0.32260836,0.08733474,1.45890235,0.39719655,0.06340094
-5.81990995,2.35626493,0.03859322,0.01251621,0.77525781,0.32006314,0.08413727,1.42465654,0.39190820,0.06012573
-5.81390695,2.29806949,0.03796740,0.01201939,0.76143094,0.31757748,0.08097847,1.38943390,0.38576902,0.05700547
-5.80790395,2.23843931,0.03714712,0.01154051,0.74540399,0.31523867,0.07783476,1.35309692,0.37872728,0.05401583
-5.80190095,2.17744999,0.03614333,0.01108189,0.72730539,0.31317459,0.07469179,1.31567824,0.37078528,0.05113904
-5.79589795,2.11544708,0.03497230,0.01064638,0.70734893,0.31154986,0.07154444,1.27737395,0.36199746,0.04836390
-5.78989495,2.05302364,0.03365510,0.01023729,0.68582549,0.31056042,0.06839638,1.23853045,0.35246645,0.04568556
-5.78389195,1.99098817,0.03221692,0.00985827,0.66309205,0.31042679,0.06525932,1.19962550,0.34233737,0.04310495
-5.77788894,1.93032440,0.03068634,0.00951319,0.63955862,0.31138626,0.06215185,1.16124438,0.33179073,0.04062814
-5.77188594,1.87214494,0.02909445,0.00920596,0.61567341,0.31368412,0.05909806,1.12405226,0.32103411,0.03826540
-5.76588294,1.81764065,0.02747398,0.00894034,0.59190690,0.31756447,0.05612603,1.08876404,0.31029310,0.03603026
-5.75987994,1.76802806,0.02585839,0.00871976,0.56873545,0.32326074,0.05326617,1.05611295,0.29980186,0.03393848
