energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.80036438,0.18289604,0.00053140,0.03498033,1.03700275,1.22221313,0.37079360
-5.99399700,1.73721882,0.17755855,0.00050978,0.03393498,0.99988884,1.18413393,0.35991502
-5.98799400,1.67335594,0.17150265,0.00049381,0.03278809,0.96293947,1.14448146,0.34921532
-5.98199100,1.60969122,0.16479805,0.00048394,0.03154969,0.92672380,1.10390331,0.33884980
-5.97598799,1.54719638,0.15753197,0.00048063,0.03023321,0.89183138,1.06306525,0.32899456
-5.96998499,1.48687825,0.14980668,0.00048432,0.02885505,0.85885991,1.02263775,0.31984264
-5.96398199,1.42975533,0.14173659,0.00049543,0.02743404,0.82840203,0.98328220,0.31159900
-5.95797899,1.37683279,0.13344505,0.00051438,0.02599087,0.80103129,0.94563714,0.30447482
-5.95197599,1.32907665,0.12506104,0.00054150,0.02454741,0.77728779,0.91030495,0.29868098
-5.94597299,1.28738785,0.11671584,0.00057707,0.02312599,0.75766376,0.87783909,0.29442121
-5.93996998,1.25257719,0.10853987,0.00062129,0.02174874,0.74258958,0.84873236,0.29188500
-5.93396698,1.22534160,0.10065981,0.00067425,0.02043691,0.73242056,0.82340626,0.29124063
-5.92796398,1.20624290,0.09319605,0.00073591,0.01921027,0.72742494,0.80220187,0.29262843
-5.92196098,1.19568945,0.08626061,0.00080608,0.01808662,0.72777358,0.78537234,0.29615469
-5.91595798,1.19392154,0.07995549,0.00088442,0.01708132,0.73353172,0.77307739,0.30188629
-5.90995498,1.20100104,0.07437146,0.00097043,0.01620695,0.74465320,0.76537981,0.30984650
-5.90395198,1.21680590,0.06958729,0.00106340,0.01547315,0.76097749,0.76224431,0.32001181
-5.89794897,1.24102963,0.06566940,0.00116248,0.01488642,0.78222990,0.76353879,0.33231028
-5.89194597,1.27318621,0.06267179,0.00126662,0.01445018,0.80802503,0.76903808,0.34662129
-5.88594297,1.31262032,0.06063619,0.00137463,0.01416474,0.83787365,0.77843019,0.36277678
-5.87993997,1.35852271,0.05959240,0.00148518,0.01402754,0.87119296,0.79132498,0.38056405
-5.87393697,1.40995042,0.05955867,0.00159683,0.01403327,0.90732004,0.80726504,0.39973003
-5.86793397,1.46585113,0.06054217,0.00170809,0.01417420,0.94552808,0.82573855,0.41998676
-5.86193097,1.52509101,0.06253925,0.00181742,0.01444039,0.98504510,0.84619369,0.44101810
-5.85592796,1.58648506,0.06553582,0.00192331,0.01482005,1.02507431,0.86805408,0.46248734
-5.84992496,1.64882880,0.06950748,0.00202432,0.01529984,1.06481559,0.89073487,0.48404539
-5.84392196,1.71093025,0.07441965,0.00211912,0.01586517,1.10348716,0.91365861,0.50533932
-5.83791896,1.77164100,0.08022759,0.00220655,0.01650052,1.14034667,0.93627049,0.52602102
-5.83191596,1.82988508,0.08687654,0.00228566,0.01718973,1.17471081,0.95805222,0.54575543
-5.82591296,1.88468487,0.09430176,0.00235573,0.01791628,1.20597272,0.97853403,0.56422840
-5.81990995,1.93518275,0.10242886,0.00241633,0.01866357,1.23361650,0.99730432,0.58115364
-5.81390695,1.98065827,0.11117430,0.00246730,0.01941517,1.25722828,1.01401663,0.59627872
-5.80790395,2.02053999,0.12044614,0.00250879,0.02015505,1.27650350,1.02839365,0.60938999
-5.80190095,2.05441210,0.13014522,0.00254125,0.02086784,1.29125022,1.04022834,0.62031623
-5.79589795,2.08201584,0.14016664,0.00256540,0.02153908,1.30138851,1.04938231,0.62893116
-5.78989495,2.10324598,0.15040171,0.00258221,0.02215538,1.30694622,1.05578158,0.63515470
-5.78389195,2.11814311,0.16074023,0.00259288,0.02270474,1.30805136,1.05941039,0.63895318
-5.77788894,2.12688233,0.17107306,0.00259878,0.02317672,1.30492193,1.06030335,0.64033854
-5.77188594,2.12975918,0.18129505,0.00260141,0.02356266,1.29785354,1.05853682,0.63936674
-5.76588294,2.12717378,0.19130794,0.00260234,0.02385586,1.28720582,1.05421980,0.63613537
-5.75987994,2.11961394,0.20102333,0.00260317,0.02405179,1.27338809,1.04748521,0.63078082
-5.75387694,2.10763800,0.21036548,0.00260547,0.02414823,1.25684514,1.03848198,0.62347494
-5.74787394,2.09185808,0.21927373,0.00261071,0.02414532,1.23804359,1.02736832,0.61442135
-5.74187094,2.07292415,0.22770444,0.00262026,0.02404568,1.21745937,1.01430654,0.60385147
-5.73586793,2.05150916,0.23563231,0.00263529,0.02385435,1.19556656,0.99945955,0.59202031
-5.72986493,2.02829543,0.24305089,0.00265680,0.02357873,1.17282784,0.98298893,0.57920200
-5.72386193,2.00396214,0.24997224,0.00268556,0.02322845,1.14968661,0.96505457,0.56568507
-5.71785893,1.97917384,0.25642569,0.00272209,0.02281514,1.12656057,0.94581546,0.55176743
-5.71185593,1.95456964,0.26245576,0.00276666,0.02235214,1.10383673,0.92543127,0.53775105
-5.70585293,1.93075290,0.26811911,0.00281929,0.02185415,1.08186752,0.90406446,0.52393640
-5.69984992,1.90828111,0.27348088,0.00287976,0.02133683,1.06096770,0.88188216,0.51061653
-5.69384692,1.88765589,0.27861041,0.00294760,0.02081631,1.04141193,0.85905774,0.49807101
-5.68784392,1.86931300,0.28357652,0.00302209,0.02030878,1.02343257,0.83577145,0.48655971
-5.68184092,1.85361249,0.28844282,0.00310233,0.01982992,1.00721779,0.81221009,0.47631663
-5.67583792,1.84082931,0.29326287,0.00318721,0.01939444,0.99290966,0.78856531,0.46754393
-5.66983492,1.83114464,0.29807598,0.00327546,0.01901562,0.98060249,0.76503078,0.46040639
-5.66383192,1.82463861,0.30290339,0.00336566,0.01870489,0.97034130,0.74179816,0.45502655
-5.65782891,1.82128487,0.30774543,0.00345627,0.01847144,0.96212076,0.71905211,0.45148072
-5.65182591,1.82094775,0.31257964,0.00354568,0.01832196,0.95588475,0.69696478,0.44979614
-5.64582291,1.82338243,0.31736009,0.00363220,0.01826043,0.95152688,0.67568995,0.44994962
-5.63981991,1.82823888,0.32201789,0.00371415,0.01828797,0.94889222,0.65535751,0.45186753
-5.63381691,1.83506963,0.32646298,0.00378984,0.01840290,0.94778038,0.63606842,0.45542769
-5.62781391,1.84334173,0.33058714,0.00385767,0.01860075,0.94795035,0.61789085,0.46046286
-5.62181091,1.85245288,0.33426803,0.00391610,0.01887449,0.94912698,0.60085755,0.46676595
-5.61580790,1.86175121,0.33737419,0.00396377,0.01921478,0.95100915,0.58496499,0.47409692
-5.60980490,1.87055833,0.33977070,0.00399946,0.01961031,0.95327954,0.57017416,0.48219105
-5.60380190,1.87819485,0.34132522,0.00402221,0.02004821,0.95561566,0.55641332,0.49076832
-5.59779890,1.88400724,0.34191417,0.00403128,0.02051452,0.95770184,0.54358248,0.49954368
-5.59179590,1.88739504,0.34142878,0.00402626,0.02099466,0.95924166,0.53155943,0.50823759
-5.58579290,1.88783704,0.33978063,0.00400702,0.02147392,0.95997020,0.52020714,0.51658662
-5.57978989,1.88491520,0.33690649,0.00397380,0.02193800,0.95966566,0.50938217,0.52435339
-5.57378689,1.87833521,0.33277224,0.00392715,0.02237340,0.95815958,0.49894356,0.53133557
-5.56778389,1.86794237,0.32737565,0.00386801,0.02276789,0.95534527,0.48876194,0.53737343
-5.56178089,1.85373209,0.32074796,0.00379762,0.02311086,0.95118367,0.47872830,0.54235554
-5.55577789,1.83585432,0.31295422,0.00371756,0.02339364,0.94570660,0.46876205,0.54622232
-5.54977489,1.81461154,0.30409231,0.00362968,0.02360967,0.93901678,0.45881798,0.54896728
-5.54377189,1.79045032,0.29429090,0.00353608,0.02375467,0.93128475,0.44889186,0.55063579
-5.53776888,1.76394677,0.28370621,0.00343906,0.02382664,0.92274269,0.43902432,0.55132148
-5.53176588,1.73578654,0.27251805,0.00334105,0.02382587,0.91367537,0.42930295,0.55116036
-5.52576288,1.70674020,0.26092508,0.00324455,0.02375476,0.90440853,0.41986248,0.55032304
-5.51975988,1.67763526,0.24913962,0.00315209,0.02361764,0.89529549,0.41088305,0.54900526
-5.51375688,1.64932600,0.23738224,0.00306615,0.02342049,0.88670230,0.40258658,0.54741745
-5.50775388,1.62266265,0.22587629,0.00298908,0.02317066,0.87899240,0.39523150,0.54577368
-5.50175088,1.59846114,0.21484255,0.00292309,0.02287648,0.87251151,0.38910583,0.54428057
-5.49574787,1.57747486,0.20449417,0.00287015,0.02254691,0.86757328,0.38451894,0.54312688
-5.48974487,1.56036957,0.19503202,0.00283198,0.02219116,0.86444668,0.38179225,0.54247414
