energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.50818021,0.87950926,0.37354221,0.00115717,0.30315049,0.01006281,1.45159358,0.88200611,0.27161557
-5.99399700,2.58268490,0.90531936,0.38386437,0.00114220,0.30976519,0.01027057,1.50029924,0.91004628,0.27869615
-5.98799400,2.65809966,0.93097591,0.39471720,0.00114021,0.31646832,0.01047144,1.54919938,0.93723138,0.28606269
-5.98199100,2.73227552,0.95580241,0.40577530,0.00114959,0.32296664,0.01065395,1.59710017,0.96288353,0.29345164
-5.97598799,2.80316162,0.97915572,0.41672600,0.00116881,0.32898398,0.01080762,1.64285734,0.98635868,0.30061106
-5.96998499,2.86884677,1.00043864,0.42727646,0.00119645,0.33426594,0.01092322,1.68540049,1.00705867,0.30730588
-5.96398199,2.92759759,1.01911157,0.43716003,0.00123117,0.33858407,0.01099303,1.72375554,1.02444252,0.31332284
-5.95797899,2.97789246,1.03470324,0.44614181,0.00127178,0.34173954,0.01101091,1.75706508,1.03803702,0.31847470
-5.95197599,3.01845042,1.04682011,0.45402330,0.00131720,0.34356626,0.01097250,1.78460589,1.04744599,0.32260386
-5.94597299,3.04825446,1.05515411,0.46064587,0.00136651,0.34393333,0.01087522,1.80580330,1.05235819,0.32558522
-5.93996998,3.06656841,1.05948874,0.46589324,0.00141889,0.34274677,0.01071826,1.82024193,1.05255345,0.32732817
-5.93396698,3.07294707,1.05970292,0.46969271,0.00147367,0.33995046,0.01050253,1.82767241,1.04790693,0.32777767
-5.92796398,3.06723906,1.05577274,0.47201528,0.00153029,0.33552625,0.01023052,1.82801395,1.03839102,0.32691445
-5.92196098,3.04958234,1.04777068,0.47287458,0.00158834,0.32949316,0.00990616,1.82135257,1.02407507,0.32475419
-5.91595798,3.02039247,1.03586238,0.47232474,0.00164751,0.32190577,0.00953463,1.80793492,1.00512254,0.32134584
-5.90995498,2.98034375,1.02030092,0.47045716,0.00170761,0.31285171,0.00912211,1.78815804,0.98178577,0.31676906
-5.90395198,2.93034388,1.00141871,0.46739651,0.00176856,0.30244838,0.00867554,1.76255509,0.95439846,0.31113084
-5.89794897,2.87150295,0.97961720,0.46329580,0.00183036,0.29083897,0.00820243,1.73177770,0.92336594,0.30456148
-5.89194597,2.80509754,0.95535462,0.45833098,0.00189311,0.27818787,0.00771054,1.69657538,0.88915368,0.29721000
-5.88594297,2.73253133,0.92913235,0.45269503,0.00195695,0.26467571,0.00720773,1.65777269,0.85227425,0.28923919
-5.87993997,2.65529338,0.90148004,0.44659187,0.00202209,0.25049411,0.00670171,1.61624502,0.81327336,0.28082039
-5.87393697,2.57491549,0.87294035,0.44023019,0.00208873,0.23584029,0.00619989,1.57289368,0.77271536,0.27212830
-5.86793397,2.49293018,0.84405356,0.43381750,0.00215709,0.22091191,0.00570925,1.52862117,0.73116870,0.26333583
-5.86193097,2.41083065,0.81534278,0.42755456,0.00222732,0.20590205,0.00523619,1.48430762,0.68919193,0.25460933
-5.85592796,2.33003390,0.78730023,0.42163025,0.00229953,0.19099468,0.00478652,1.44078900,0.64732074,0.24610424
-5.84992496,2.25184849,0.76037503,0.41621730,0.00237371,0.17636078,0.00436537,1.39883786,0.60605637,0.23796136
-5.84392196,2.17744758,0.73496301,0.41146876,0.00244972,0.16215499,0.00397723,1.35914727,0.56585585,0.23030374
-5.83791896,2.10784818,0.71139880,0.40751538,0.00252727,0.14851311,0.00362593,1.32231832,0.52712428,0.22323450
-5.83191596,2.04389700,0.68995042,0.40446404,0.00260588,0.13555043,0.00331471,1.28885149,0.49020929,0.21683532
-5.82591296,1.98626299,0.67081650,0.40239712,0.00268488,0.12336073,0.00304624,1.25914203,0.45539784,0.21116586
-5.81990995,1.93543651,0.65412613,0.40137281,0.00276339,0.11201614,0.00282269,1.23347919,0.42291516,0.20626395
-5.81390695,1.89173459,0.63994114,0.40142634,0.00284034,0.10156767,0.00264580,1.21204920,0.39292582,0.20214657
-5.80790395,1.85531174,0.62826065,0.40257191,0.00291447,0.09204629,0.00251689,1.19494149,0.36553658,0.19881144
-5.80190095,1.82617516,0.61902750,0.40480530,0.00298436,0.08346456,0.00243696,1.18215763,0.34080083,0.19623921
-5.79589795,1.80420353,0.61213623,0.40810685,0.00304845,0.07581859,0.00240663,1.17362242,0.31872417,0.19439603
-5.78989495,1.78916803,0.60744206,0.41244469,0.00310514,0.06909027,0.00242622,1.16919634,0.29927086,0.19323644
-5.78389195,1.78075439,0.60477042,0.41777804,0.00315276,0.06324954,0.00249568,1.16868874,0.28237063,0.19270635
-5.77788894,1.77858492,0.60392664,0.42406037,0.00318971,0.05825679,0.00261461,1.17187090,0.26792565,0.19274597
-5.77188594,1.78223913,0.60470514,0.43124218,0.00321447,0.05406499,0.00278215,1.17848845,0.25581715,0.19329265
-5.76588294,1.79127237,0.60689796,0.43927338,0.00322569,0.05062180,0.00299698,1.18827245,0.24591159,0.19428334
-5.75987994,1.80523134,0.61030205,0.44810503,0.00322221,0.04787130,0.00325720,1.20094869,0.23806605,0.19565679
-5.75387694,1.82366622,0.61472520,0.45769045,0.00320318,0.04575551,0.00356030,1.21624493,0.23213263,0.19735514
-5.74787394,1.84613901,0.61999039,0.46798561,0.00316805,0.04421563,0.00390307,1.23389582,0.22796201,0.19932510
-5.74187094,1.87222803,0.62593852,0.47894885,0.00311660,0.04319288,0.00428157,1.25364548,0.22540586,0.20151864
-5.73586793,1.90152886,0.63242942,0.49053999,0.00304899,0.04262920,0.00469107,1.27524795,0.22431835,0.20389306
-5.72986493,1.93365198,0.63934145,0.50271881,0.00296573,0.04246761,0.00512606,1.29846561,0.22455682,0.20641074
-5.72386193,1.96821798,0.64656969,0.51544324,0.00286772,0.04265246,0.00558026,1.32306603,0.22598164,0.20903838
-5.71785893,2.00485066,0.65402301,0.52866716,0.00275615,0.04312949,0.00604668,1.34881768,0.22845564,0.21174602
-5.71185593,2.04316928,0.66162044,0.54233814,0.00263253,0.04384588,0.00651771,1.37548492,0.23184307,0.21450582
-5.70585293,2.08278039,0.66928704,0.55639519,0.00249859,0.04475018,0.00698524,1.40282297,0.23600848,0.21729074
-5.69984992,2.12327030,0.67694956,0.57076677,0.00235626,0.04579240,0.00744083,1.43057308,0.24081559,0.22007327
-5.69384692,2.16419887,0.68453241,0.58536908,0.00220761,0.04692404,0.00787587,1.45845864,0.24612640,0.22282419
-5.68784392,2.20509519,0.69195402,0.60010490,0.00205473,0.04809829,0.00828184,1.48618245,0.25180060,0.22551164
-5.68184092,2.24545573,0.69912401,0.61486299,0.00189974,0.04927028,0.00865050,1.51342556,0.25769548,0.22810035
-5.67583792,2.28474517,0.70594124,0.62951812,0.00174468,0.05039751,0.00897414,1.53984778,0.26366636,0.23055129
-5.66983492,2.32240022,0.71229300,0.64393193,0.00159147,0.05144030,0.00924582,1.56509009,0.26956760,0.23282162
-5.66383192,2.35783626,0.71805530,0.65795438,0.00144186,0.05236238,0.00945954,1.58877887,0.27525414,0.23486503
-5.65782891,2.39045668,0.72309431,0.67142605,0.00129741,0.05313148,0.00961051,1.61053184,0.28058357,0.23663245
-5.65182591,2.41966461,0.72726895,0.68418100,0.00115944,0.05371996,0.00969523,1.62996554,0.28541864,0.23807307
-5.64582291,2.44487648,0.73043437,0.69605028,0.00102904,0.05410545,0.00971163,1.64670399,0.28963005,0.23913562
-5.63981991,2.46553698,0.73244622,0.70686591,0.00090702,0.05427131,0.00965916,1.66038830,0.29309947,0.23976988
-5.63381691,2.48113457,0.73316557,0.71646525,0.00079397,0.05420714,0.00953875,1.67068673,0.29572254,0.23992833
