energy_ev,total_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,6.77438437,2.94855277,3.23653361,0.06240013,1.94974032,1.58707463,0.00000000
-5.99399700,6.69514187,2.92219484,3.20800553,0.06093752,1.91808538,1.57331488,0.00000000
-5.98799400,6.61786339,2.89648490,3.18026257,0.05957116,1.88663787,1.56028469,0.00000000
-5.98199100,6.54339801,2.87173144,3.15365685,0.05831993,1.85578423,1.54807330,0.00000000
-5.97598799,6.47238871,2.84814919,3.12845068,0.05719859,1.82586887,1.53670507,0.00000000
-5.96998499,6.40526550,2.82585350,3.10481575,0.05621765,1.79718562,1.52614353,0.00000000
-5.96398199,6.34224776,2.80485979,3.08283599,0.05538340,1.76997170,1.51629778,0.00000000
-5.95797899,6.28335601,2.78508808,3.06251396,0.05469807,1.74440445,1.50703121,0.00000000
-5.95197599,6.22843225,2.76637264,3.04378070,0.05416023,1.72060111,1.49817188,0.00000000
-5.94597299,6.17716828,2.74847600,3.02650850,0.05376520,1.69862130,1.48952446,0.00000000
-5.93996998,6.12914037,2.73110673,3.01052615,0.05350564,1.67847231,1.48088284,0.00000000
-5.93396698,6.08384853,2.71393986,2.99563587,0.05337216,1.66011655,1.47204317,0.00000000
-5.92796398,6.04075847,2.69663889,2.98163124,0.05335403,1.64348085,1.46281652,0.00000000
-5.92196098,5.99934380,2.67887795,2.96831507,0.05343979,1.62846693,1.45304067,0.00000000
-5.91595798,5.95912624,2.66036297,2.95551633,0.05361801,1.61496228,1.44259039,0.00000000
-5.90995498,5.91971161,2.64085048,2.94310523,0.05387779,1.60285095,1.43138576,0.00000000
-5.90395198,5.88081944,2.62016307,2.93100545,0.05420932,1.59202337,1.41939811,0.00000000
-5.89794897,5.84230452,2.59820050,2.91920292,0.05460422,1.58238468,1.40665311,0.00000000
-5.89194597,5.80416898,2.57494599,2.90775029,0.05505589,1.57386109,1.39323105,0.00000000
-5.88594297,5.76656423,2.55046718,2.89676702,0.05555954,1.56640377,1.37926409,0.00000000
-5.87993997,5.72978242,2.52491190,2.88643465,0.05611216,1.55999014,1.36493054,0.00000000
-5.87393697,5.69423783,2.49849904,2.87698747,0.05671241,1.55462244,1.35044667,0.00000000
-5.86793397,5.66043923,2.47150513,2.86869910,0.05736020,1.55032381,1.33605608,0.00000000
-5.86193097,5.62895466,2.44424744,2.86186531,0.05805632,1.54713200,1.32201745,0.00000000
-5.85592796,5.60037066,2.41706480,2.85678431,0.05880189,1.54509137,1.30859112,0.00000000
-5.84992496,5.57524836,2.39029721,2.85373530,0.05959778,1.54424359,1.29602510,0.00000000
-5.84392196,5.55407889,2.36426557,2.85295655,0.06044398,1.54461780,1.28454147,0.00000000
-5.83791896,5.53724089,2.33925266,2.85462433,0.06133903,1.54622087,1.27432356,0.00000000
-5.83191596,5.52496260,2.31548661,2.85883380,0.06227950,1.54902853,1.26550481,0.00000000
-5.82591296,5.51729095,2.29312772,2.86558319,0.06325952,1.55297806,1.25815980,0.00000000
-5.81990995,5.51406958,2.27225943,2.87476218,0.06427052,1.55796295,1.25229784,0.00000000
-5.81390695,5.51492738,2.25288386,2.88614532,0.06530103,1.56383027,1.24785971,0.00000000
-5.80790395,5.51927834,2.23492218,2.89939107,0.06633675,1.57038079,1.24471744,0.00000000
-5.80190095,5.52633325,2.21821980,2.91404683,0.06736075,1.57737216,1.24267746,0.00000000
-5.79589795,5.53512273,2.20255588,2.92955970,0.06835385,1.58452499,1.24148677,0.00000000
-5.78989495,5.54453079,2.18765680,2.94529286,0.06929524,1.59153167,1.24084204,0.00000000
-5.78389195,5.55333745,2.17321272,2.96054675,0.07016318,1.59806756,1.24040117,0.00000000
-5.77788894,5.56026832,2.15889634,2.97458433,0.07093589,1.60380388,1.23979672,0.00000000
-5.77188594,5.56404902,2.14438298,2.98665909,0.07159248,1.60842184,1.23865074,0.00000000
-5.76588294,5.56346164,2.12937088,2.99604479,0.07211395,1.61162712,1.23659034,0.00000000
-5.75987994,5.55740081,2.11360081,3.00206534,0.07248418,1.61316409,1.23326311,0.00000000
-5.75387694,5.54492651,2.09687408,3.00412368,0.07269084,1.61282895,1.22835207,0.00000000
-5.74787394,5.52531141,2.07906816,3.00172818,0.07272628,1.61048108,1.22158923,0.00000000
-5.74187094,5.49808037,2.06014936,2.99451553,0.07258814,1.60605215,1.21276733,0.00000000
-5.73586793,5.46304050,2.04018195,2.98226902,0.07227989,1.59955236,1.20174927,0.00000000
-5.72986493,5.42030036,2.01933364,2.96493142,0.07181109,1.59107355,1.18847498,0.00000000
-5.72386193,5.37027761,1.99787703,2.94261212,0.07119742,1.58078910,1.17296521,0.00000000
-5.71785893,5.31369488,1.97618734,2.91558807,0.07046048,1.56895045,1.15532256,0.00000000
-5.71185593,5.25156398,1.95473638,2.88429873,0.06962731,1.55588056,1.13572931,0.00000000
-5.70585293,5.18515940,1.93408307,2.84933518,0.06872968,1.54196455,1.11444252,0.00000000
-5.69984992,5.11598213,1.91486091,2.81142404,0.06780325,1.52763787,1.09178651,0.00000000
-5.69384692,5.04571538,1.89776275,2.77140678,0.06688638,1.51337264,1.06814295,0.00000000
-5.68784392,4.97617386,1.88352331,2.73021538,0.06601901,1.49966263,1.04393917,0.00000000
-5.68184092,4.90924859,1.87289991,2.68884514,0.06524126,1.48700756,1.01963485,0.00000000
-5.67583792,4.84684921,1.86665182,2.64832578,0.06459214,1.47589722,0.99570788,0.00000000
-5.66983492,4.79084568,1.86551879,2.60969161,0.06410820,1.46679612,0.97263953,0.00000000
-5.66383192,4.74301124,1.87019906,2.57395192,0.06382224,1.46012900,0.95089969,0.00000000
