energy_ev,total_up,Ag_p_up,Ag_d_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up
-6.00000000,5.95874763,0.77920115,5.37699162,0.21336960,0.00000000,0.00368278,0.22404511
-5.99399700,5.98353706,0.75016257,5.41541503,0.20598825,0.00000000,0.00349484,0.21995492
-5.98799400,5.99633124,0.71979876,5.44302168,0.19813370,0.00000000,0.00331490,0.21533209
-5.98199100,5.99663093,0.68850473,5.45913466,0.18990429,0.00000000,0.00314458,0.21022933
-5.97598799,5.98406128,0.65666285,5.46320119,0.18139671,0.00000000,0.00298554,0.20470036
-5.96998499,5.95840504,0.62463790,5.45482771,0.17270440,0.00000000,0.00283945,0.19879951
-5.96398199,5.91963425,0.59277315,5.43381290,0.16391626,0.00000000,0.00270802,0.19258149
-5.95797899,5.86793821,0.56138748,5.40017673,0.15511570,0.00000000,0.00259295,0.18610126
-5.95197599,5.80374605,0.53077354,5.35418370,0.14637989,0.00000000,0.00249589,0.17941403
-5.94597299,5.72774191,0.50119662,5.29635864,0.13777932,0.00000000,0.00241843,0.17257524
-5.93996998,5.64087145,0.47289425,5.22749362,0.12937753,0.00000000,0.00236207,0.16564057
-5.93396698,5.54433851,0.44607632,5.14864511,0.12123107,0.00000000,0.00232813,0.15866594
-5.92796398,5.43959166,0.42092551,5.06112090,0.11338950,0.00000000,0.00231774,0.15170738
-5.92196098,5.32830040,0.39759811,4.96645706,0.10589558,0.00000000,0.00233177,0.14482082
-5.91595798,5.21232201,0.37622480,4.86638533,0.09878547,0.00000000,0.00237080,0.13806178
-5.90995498,5.09365992,0.35691168,4.76279251,0.09208896,0.00000000,0.00243504,0.13148491
-5.90395198,4.97441560,0.33974121,4.65767323,0.08582981,0.00000000,0.00252433,0.12514349
-5.89794897,4.85673587,0.32477323,4.55307829,0.08002598,0.00000000,0.00263803,0.11908875
-5.89194597,4.74275796,0.31204597,4.45106085,0.07469001,0.00000000,0.00277508,0.11336922
-5.88594297,4.63455492,0.30157710,4.35362275,0.06982931,0.00000000,0.00293391,0.10802998
-5.87993997,4.53408351,0.29336480,4.26266333,0.06544649,0.00000000,0.00311246,0.10311201
-5.87393697,4.44313694,0.28738895,4.17993282,0.06153976,0.00000000,0.00330822,0.09865144
-5.86793397,4.36330414,0.28361231,4.10699209,0.05810329,0.00000000,0.00351822,0.09467904
-5.86193097,4.29593698,0.28198185,4.04518002,0.05512767,0.00000000,0.00373914,0.09121967
-5.85592796,4.24212623,0.28242996,3.99558943,0.05260025,0.00000000,0.00396732,0.08829189
-5.84992496,4.20268668,0.28487582,3.95905184,0.05050569,0.00000000,0.00419888,0.08590772
-5.84392196,4.17815100,0.28922651,3.93613077,0.04882631,0.00000000,0.00442982,0.08407242
-5.83791896,4.16877184,0.29537808,3.92712305,0.04754261,0.00000000,0.00465616,0.08278450
-5.83191596,4.17453083,0.30321640,3.93206707,0.04663361,0.00000000,0.00487401,0.08203574
-5.82591296,4.19515337,0.31261766,3.95075657,0.04607725,0.00000000,0.00507976,0.08181130
-5.81990995,4.23012751,0.32344869,3.98275866,0.04585069,0.00000000,0.00527015,0.08208993
-5.81390695,4.27872549,0.33556692,4.02743446,0.04593056,0.00000000,0.00544242,0.08284421
