energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.65663020,0.04028188,0.64972156,0.28170360,0.23443235,1.90464469,1.78168292,0.03363093,2.13504439
-5.99399700,4.67341263,0.03984277,0.66388794,0.29306771,0.24130502,1.95080661,1.76946230,0.03339805,2.13529559
-5.98799400,4.69213390,0.03940086,0.67826156,0.30463820,0.24817080,1.99744484,1.75830295,0.03318861,2.13655384
-5.98199100,4.71340801,0.03897454,0.69286126,0.31635753,0.25500368,2.04429272,1.74860025,0.03301468,2.13911314
-5.97598799,4.73764610,0.03858086,0.70767043,0.32815257,0.26176895,2.09101311,1.74066829,0.03288717,2.14317852
-5.96998499,4.76502683,0.03823520,0.72263327,0.33993450,0.26842259,2.13719671,1.73472620,0.03281536,2.14885290
-5.96398199,4.79548080,0.03795101,0.73765328,0.35159961,0.27491152,2.18236578,1.73088986,0.03280652,2.15613059
-5.95797899,4.82868992,0.03773961,0.75259422,0.36303098,0.28117437,2.22598330,1.72916927,0.03286566,2.16489744
-5.95197599,4.86410121,0.03761012,0.76728345,0.37410110,0.28714303,2.26746708,1.72947171,0.03299534,2.17493770
-5.94597299,4.90095412,0.03756952,0.78151737,0.38467506,0.29274479,2.30620816,1.73161015,0.03319565,2.18594678
-5.93996998,4.93831946,0.03762273,0.79506894,0.39461438,0.29790492,2.34159245,1.73531654,0.03346425,2.19754907
-5.93396698,4.97514743,0.03777276,0.80769657,0.40378118,0.30254957,2.37302451,1.74025879,0.03379655,2.20931969
-5.92796398,5.01032185,0.03802093,0.81915412,0.41204254,0.30660894,2.39995203,1.74606059,0.03418594,2.22080860
-5.92196098,5.04271732,0.03836705,0.82920146,0.41927472,0.31002031,2.42188963,1.75232273,0.03462414,2.23156572
-5.91595798,5.07125597,0.03880967,0.83761488,0.42536727,0.31273105,2.43844062,1.75864474,0.03510153,2.24116541
-5.90995498,5.09496058,0.03934629,0.84419700,0.43022647,0.31470120,2.44931547,1.76464547,0.03560764,2.24922890
-5.90395198,5.11300122,0.03997349,0.84878553,0.43377842,0.31590559,2.45434586,1.76998169,0.03613148,2.25544343
-5.89794897,5.12473272,0.04068706,0.85126051,0.43597111,0.31633541,2.45349345,1.77436344,0.03666198,2.25957690
-5.89194597,5.12972131,0.04148213,0.85154961,0.43677590,0.31599904,2.44685300,1.77756562,0.03718841,2.26148743
-5.88594297,5.12775893,0.04235318,0.84963132,0.43618795,0.31492213,2.43464935,1.77943504,0.03770063,2.26112723
-5.87993997,5.11886491,0.04329400,0.84553576,0.43422592,0.31314705,2.41722861,1.77989287,0.03818941,2.25854076
-5.87393697,5.10327514,0.04429770,0.83934329,0.43093076,0.31073148,2.39504395,1.77893244,0.03864664,2.25385737
-5.86793397,5.08141962,0.04535657,0.83118076,0.42636379,0.30774641,2.36863658,1.77661252,0.03906539,2.24727900
-5.86193097,5.05389003,0.04646200,0.82121592,0.42060428,0.30427358,2.33861317,1.77304693,0.03944003,2.23906382
-5.85592796,5.02139940,0.04760438,0.80965007,0.41374643,0.30040249,2.30562068,1.76839098,0.03976619,2.22950670
-5.84992496,4.98473634,0.04877293,0.79670942,0.40589611,0.29622706,2.27032000,1.76282568,0.04004062,2.21891794
-5.84392196,4.94471664,0.04995569,0.78263571,0.39716756,0.29184220,2.23335978,1.75654092,0.04026115,2.20760150
-5.83791896,4.90213517,0.05113940,0.76767645,0.38767996,0.28734039,2.19535177,1.74971848,0.04042643,2.19583395
-5.83191596,4.85772078,0.05230952,0.75207532,0.37755436,0.28280838,2.15684896,1.74251614,0.04053576,2.18384562
-5.82591296,4.81209691,0.05345025,0.73606324,0.36691076,0.27832426,2.11832745,1.73505371,0.04058890,2.17180493
-5.81990995,4.76575010,0.05454468,0.71985055,0.35586574,0.27395496,2.08017319,1.72740206,0.04058587,2.15980694
-5.81390695,4.71900825,0.05557492,0.70362057,0.34453050,0.26975425,2.04267393,1.71957562,0.04052677,2.14786679
-5.80790395,4.67202973,0.05652238,0.68752494,0.33300945,0.26576140,2.00601688,1.71152910,0.04041167,2.13591849
-5.80190095,4.62480412,0.05736813,0.67168085,0.32139932,0.26200051,1.97029194,1.70315845,0.04024050,2.12381923
-5.79589795,4.57716431,0.05809323,0.65617028,0.30978879,0.25848054,1.93550037,1.69430624,0.04001304,2.11135892
