energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.67297355,0.01995929,0.34274544,0.01351079,0.48082860,0.58615060,0.38056640
-5.99399700,1.64228298,0.01902770,0.33646733,0.01403565,0.47254913,0.57903085,0.37300929
-5.98799400,1.61003237,0.01811907,0.32939108,0.01464811,0.46470450,0.57063036,0.36496984
-5.98199100,1.57757976,0.01725489,0.32177968,0.01536198,0.45771320,0.56131556,0.35676728
-5.97598799,1.54624811,0.01645447,0.31389895,0.01618944,0.45196562,0.55145680,0.34871468
-5.96998499,1.51728050,0.01573436,0.30600826,0.01714038,0.44781118,0.54141486,0.34110828
-5.96398199,1.49179754,0.01510794,0.29835142,0.01822172,0.44554644,0.53152774,0.33421733
-5.95797899,1.47075869,0.01458512,0.29114826,0.01943686,0.44540469,0.52209838,0.32827485
-5.95197599,1.45492879,0.01417211,0.28458709,0.02078515,0.44754737,0.51338371,0.32346964
-5.94597299,1.44485124,0.01387136,0.27881839,0.02226152,0.45205749,0.50558561,0.31993979
-5.93996998,1.44082872,0.01368162,0.27395005,0.02385617,0.45893557,0.49884414,0.31776811
-5.93396698,1.44291226,0.01359805,0.27004418,0.02555452,0.46809794,0.49323325,0.31697944
-5.92796398,1.45089926,0.01361253,0.26711580,0.02733724,0.47937785,0.48875935,0.31754005
-5.92196098,1.46434038,0.01371399,0.26513331,0.02918050,0.49252916,0.48536254,0.31935924
-5.91595798,1.48255544,0.01388886,0.26402084,0.03105645,0.50723269,0.48292071,0.32229292
-5.90995498,1.50465749,0.01412156,0.26366219,0.03293380,0.52310510,0.48125612,0.32614915
-5.90395198,1.52958449,0.01439508,0.26390637,0.03477866,0.53970992,0.48014428,0.33069546
-5.89794897,1.55613736,0.01469151,0.26457444,0.03655542,0.55657070,0.47932468,0.33566758
-5.89194597,1.58302304,0.01499267,0.26546722,0.03822784,0.57318555,0.47851294,0.34077929
-5.88594297,1.60890099,0.01528069,0.26637379,0.03976015,0.58904296,0.47741372,0.34573310
-5.87993997,1.63243145,0.01553852,0.26708019,0.04111820,0.60363809,0.47573405,0.35023121
-5.87393697,1.65232356,0.01575051,0.26737808,0.04227062,0.61648925,0.47319629,0.35398642
-5.86793397,1.66738165,0.01590279,0.26707298,0.04318989,0.62715375,0.46955030,0.35673253
-5.86193097,1.67654791,0.01598370,0.26599173,0.04385329,0.63524283,0.46458430,0.35823396
-5.85592796,1.67893989,0.01598401,0.26398896,0.04424373,0.64043485,0.45813401,0.35829394
-5.84992496,1.67388147,0.01589719,0.26095217,0.04435035,0.64248658,0.45008973,0.35676140
-5.84392196,1.66092623,0.01571946,0.25680552,0.04416901,0.64124184,0.44040114,0.35353588
-5.83791896,1.63987243,0.01544980,0.25151193,0.04370241,0.63663748,0.42907974,0.34857067
-5.83191596,1.61076935,0.01508986,0.24507370,0.04296006,0.62870626,0.41619886,0.34187392
-5.82591296,1.57391470,0.01464375,0.23753159,0.04195804,0.61757662,0.40189146,0.33350773
-5.81990995,1.52984378,0.01411784,0.22896252,0.04071850,0.60346946,0.38634576,0.32358551
-5.81390695,1.47931071,0.01352038,0.21947600,0.03926894,0.58669182,0.36979908,0.31226749
-5.80790395,1.42326290,0.01286117,0.20920961,0.03764146,0.56762798,0.35253025,0.29975491
-5.80190095,1.36280987,0.01215114,0.19832371,0.03587174,0.54672809,0.33485078,0.28628299
-5.79589795,1.29918776,0.01140198,0.18699564,0.03399807,0.52449495,0.31709536,0.27211301
-5.78989495,1.23372092,0.01062566,0.17541383,0.03206029,0.50146920,0.29961200,0.25752399
-5.78389195,1.16778214,0.00983413,0.16377178,0.03009870,0.47821361,0.28275202,0.24280409
-5.77788894,1.10275275,0.00903891,0.15226252,0.02815315,0.45529689,0.26686047,0.22824216
-5.77188594,1.03998402,0.00825080,0.14107337,0.02626205,0.43327750,0.25226694,0.21411968
-5.76588294,0.98076093,0.00747964,0.13038148,0.02446161,0.41268799,0.23927726,0.20070342
-5.75987994,0.92626926,0.00673407,0.12035001,0.02278511,0.39402028,0.22816600,0.18823879
-5.75387694,0.87756671,0.00602145,0.11112511,0.02126240,0.37771231,0.21917002,0.17694430
-5.74787394,0.83555869,0.00534775,0.10283375,0.01991943,0.36413624,0.21248311,0.16700697
-5.74187094,0.80097895,0.00471755,0.09558224,0.01877799,0.35358865,0.20825173,0.15857886
-5.73586793,0.77437535,0.00413403,0.08945545,0.01785552,0.34628282,0.20657184,0.15177468
-5.72986493,0.75610076,0.00359909,0.08451670,0.01716506,0.34234327,0.20748690,0.14667049
