energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.03408247,0.00864448,0.03108072,0.26406519,0.13777420,0.17533975,0.06856582,0.64741205,0.00000000
-5.99399700,1.03223191,0.00866259,0.03043971,0.26413796,0.14729994,0.17229173,0.06661322,0.64647626,0.00000000
-5.98799400,1.03439201,0.00869448,0.02990031,0.26508528,0.15788127,0.16945791,0.06482128,0.64801927,0.00000000
-5.98199100,1.04063344,0.00874321,0.02946574,0.26694789,0.16946786,0.16690086,0.06320308,0.65209228,0.00000000
-5.97598799,1.05096123,0.00881134,0.02913787,0.26974909,0.18198282,0.16468147,0.06177130,0.65870710,0.00000000
-5.96998499,1.06530167,0.00890080,0.02891700,0.27349163,0.19532115,0.16285606,0.06053757,0.66782777,0.00000000
-5.96398199,1.08349197,0.00901264,0.02880170,0.27815518,0.20934909,0.16147357,0.05951178,0.67936391,0.00000000
-5.95797899,1.10527363,0.00914697,0.02878869,0.28369497,0.22390474,0.16057337,0.05870164,0.69316634,0.00000000
-5.95197599,1.13029029,0.00930281,0.02887281,0.29004142,0.23879997,0.16018346,0.05811233,0.70902564,0.00000000
-5.94597299,1.15809087,0.00947805,0.02904714,0.29710127,0.25382356,0.16031941,0.05774636,0.72667391,0.00000000
-5.93996998,1.18813802,0.00966948,0.02930319,0.30475990,0.26874586,0.16098414,0.05760367,0.74578999,0.00000000
-5.93396698,1.21982213,0.00987283,0.02963123,0.31288508,0.28332444,0.16216839,0.05768198,0.76600808,0.00000000
-5.92796398,1.25248031,0.01008286,0.03002072,0.32133193,0.29731102,0.16385201,0.05797731,0.78692954,0.00000000
-5.92196098,1.28541975,0.01029356,0.03046078,0.32994881,0.31045904,0.16600594,0.05848470,0.80813745,0.00000000
-5.91595798,1.31794444,0.01049834,0.03094081,0.33858406,0.32253181,0.16859477,0.05919909,0.82921325,0.00000000
-5.90995498,1.34938398,0.01069026,0.03145105,0.34709305,0.33331089,0.17157976,0.06011625,0.84975471,0.00000000
-5.90395198,1.37912317,0.01086232,0.03198323,0.35534535,0.34260412,0.17492207,0.06123374,0.86939435,0.00000000
-5.89794897,1.40663076,0.01100771,0.03253108,0.36323150,0.35025325,0.17858605,0.06255187,0.88781740,0.00000000
-5.89194597,1.43148597,0.01112010,0.03309090,0.37066917,0.35614052,0.18254247,0.06407448,0.90477829,0.00000000
-5.88594297,1.45340144,0.01119387,0.03366192,0.37760818,0.36019402,0.18677135,0.06580962,0.92011486,0.00000000
-5.87993997,1.47224136,0.01122440,0.03424666,0.38403429,0.36239159,0.19126434,0.06776997,0.93375964,0.00000000
-5.87393697,1.48803384,0.01120822,0.03485106,0.38997147,0.36276300,0.19602648,0.06997309,0.94574741,0.00000000
-5.86793397,1.50097701,0.01114317,0.03548453,0.39548245,0.36139030,0.20107730,0.07244131,0.95621883,0.00000000
-5.86193097,1.51143843,0.01102851,0.03615986,0.40066773,0.35840641,0.20645107,0.07520145,0.96541992,0.00000000
-5.85592796,1.51994796,0.01086494,0.03689297,0.40566289,0.35399196,0.21219641,0.07828422,0.97369734,0.00000000
-5.84992496,1.52718445,0.01065463,0.03770257,0.41063448,0.34837053,0.21837507,0.08172342,0.98148986,0.00000000
-5.84392196,1.53395692,0.01040108,0.03860970,0.41577469,0.34180259,0.22506009,0.08555493,0.98931634,0.00000000
-5.83791896,1.54118115,0.01010909,0.03963722,0.42129498,0.33457833,0.23233344,0.08981560,0.99776084,0.00000000
-5.83191596,1.54985279,0.00978453,0.04080924,0.42741917,0.32700972,0.24028311,0.09454194,1.00745549,0.00000000
-5.82591296,1.56101810,0.00943416,0.04215046,0.43437605,0.31942221,0.24900004,0.09976888,1.01906196,0.00000000
-5.81990995,1.57574356,0.00906545,0.04368566,0.44239212,0.31214629,0.25857478,0.10552842,1.03325218,0.00000000
-5.81390695,1.59508549,0.00868628,0.04543901,0.45168448,0.30550929,0.26909410,0.11184834,1.05068899,0.00000000
-5.80790395,1.62006066,0.00830475,0.04743355,0.46245433,0.29982764,0.28063773,0.11875106,1.07200753,0.00000000
-5.80190095,1.65161886,0.00792894,0.04969063,0.47488115,0.29539987,0.29327522,0.12625245,1.09779775,0.00000000
