energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up,Zn_p_up,Zn_d_up
-6.00000000,5.79831470,0.04131050,1.01373741,0.10327772,2.12397354,2.00509451,1.60826983,0.22242499,0.60927111
-5.99399700,5.81948808,0.04172843,1.01800225,0.10327383,2.13033128,2.01718224,1.61576780,0.22487810,0.60703845
-5.98799400,5.83900689,0.04219651,1.02240889,0.10308465,2.13592028,2.03051042,1.62294726,0.22740595,0.60433867
-5.98199100,5.85541019,0.04270187,1.02662653,0.10269647,2.14028959,2.04466938,1.62931319,0.22994129,0.60107380
-5.97598799,5.86724248,0.04323066,1.03031458,0.10209970,2.14300329,2.05921042,1.63435489,0.23241657,0.59714656
-5.96998499,5.87311350,0.04376844,1.03313534,0.10128948,2.14365848,2.07366312,1.63756624,0.23476633,0.59246578
-5.96398199,5.87175579,0.04430073,1.03476671,0.10026611,2.14190202,2.08755354,1.63846619,0.23692946,0.58695170
-5.95797899,5.86207756,0.04481348,1.03491427,0.09903535,2.13744544,2.10042252,1.63661832,0.23885141,0.58054080
-5.95197599,5.84320860,0.04529359,1.03332232,0.09760840,2.13007725,2.11184327,1.63164884,0.24048606,0.57318984
-5.94597299,5.81453728,0.04572938,1.02978347,0.09600178,2.11967221,2.12143760,1.62326224,0.24179728,0.56487894
-5.93996998,5.77573758,0.04611104,1.02414643,0.09423695,2.10619736,2.12889008,1.61125398,0.24276018,0.55561361
-5.93396698,5.72678503,0.04643097,1.01632176,0.09233976,2.08971452,2.13395960,1.59551990,0.24336189,0.54542555
-5.92796398,5.66796154,0.04668414,1.00628548,0.09033973,2.07037934,2.13648814,1.57606190,0.24360189,0.53437236
-5.92196098,5.59984940,0.04686824,0.99408044,0.08826934,2.04843717,2.13640623,1.55298987,0.24349199,0.52253603
-5.91595798,5.52331508,0.04698384,0.97981552,0.08616305,2.02421606,2.13373535,1.52651997,0.24305587,0.51002054
-5.90995498,5.43948417,0.04703436,0.96366279,0.08405652,1.99811726,2.12858708,1.49696931,0.24232823,0.49694860
-5.90395198,5.34970877,0.04702599,0.94585274,0.08198569,1.97060381,2.12115928,1.46474749,0.24135368,0.48345780
-5.89794897,5.25552899,0.04696750,0.92666797,0.07998595,1.94218777,2.11172957,1.43034534,0.24018536,0.46969629
-5.89194597,5.15863032,0.04686992,0.90643540,0.07809148,1.91341655,2.10064645,1.39432147,0.23888343,0.45581842
-5.88594297,5.06079840,0.04674616,0.88551753,0.07633450,1.88485891,2.08831841,1.35728698,0.23751333,0.44198029
-5.87993997,4.96387295,0.04661059,0.86430282,0.07474483,1.85709101,2.07520142,1.31988918,0.23614412,0.42833559
-5.87393697,4.86970194,0.04647852,0.84319558,0.07334940,1.83068296,2.06178538,1.28279458,0.23484667,0.41503179
-5.86793397,4.78009743,0.04636566,0.82260570,0.07217196,1.80618602,2.04857964,1.24667189,0.23369196,0.40220681
-5.86193097,4.69679382,0.04628756,0.80293833,0.07123276,1.78412071,2.03609827,1.21217544,0.23274943,0.38998627
-5.85592796,4.62140920,0.04625912,0.78458383,0.07054843,1.76496590,2.02484526,1.17992938,0.23208536,0.37848130
-5.84992496,4.55541030,0.04629397,0.76790820,0.07013175,1.74914902,2.01530004,1.15051313,0.23176135,0.36778698
-5.84392196,4.50008140,0.04640408,0.75324412,0.06999156,1.73703722,2.00790368,1.12444824,0.23183291,0.35798124
-5.83791896,4.45649725,0.04659926,0.74088277,0.07013263,1.72892970,2.00304607,1.10218704,0.23234810,0.34912435
-5.83191596,4.42550036,0.04688682,0.73106670,0.07055549,1.72505101,2.00105430,1.08410308,0.23334631,0.34125877
-5.82591296,4.40768264,0.04727127,0.72398369,0.07125631,1.72554550,2.00218267,1.07048369,0.23485708,0.33440932
-5.81990995,4.40337167,0.04775411,0.71976194,0.07222675,1.73047294,2.00660456,1.06152459,0.23689913,0.32858371
-5.81390695,4.41262184,0.04833372,0.71846661,0.07345384,1.73980536,2.01440640,1.05732664,0.23947947,0.32377316
-5.80790395,4.43521059,0.04900530,0.72009787,0.07491985,1.75342540,2.02558407,1.05789491,0.24259269,0.31995327
-5.80190095,4.47064019,0.04976094,0.72459049,0.07660226,1.77112622,2.04004182,1.06313988,0.24622052,0.31708495
-5.79589795,4.51814529,0.05058975,0.73181521,0.07847382,1.79261335,2.05759402,1.07288087,0.25033156,0.31511549
-5.78989495,4.57670663,0.05147807,0.74158167,0.08050269,1.81750839,2.07796961,1.08685160,0.25488145,0.31397967
-5.78389195,4.64507091,0.05240978,0.75364316,0.08265275,1.84535501,2.10081942,1.10470786,0.25981324,0.31360105
-5.77788894,4.72177691,0.05336661,0.76770294,0.08488406,1.87562715,2.12572603,1.12603694,0.26505822,0.31389331
-5.77188594,4.80518758,0.05432860,0.78342202,0.08715350,1.90773934,2.15221592,1.15036884,0.27053711,0.31476174
-5.76588294,4.89352739,0.05527454,0.80042831,0.08941559,1.94105924,2.17977371,1.17718874,0.27616167,0.31610487
-5.75987994,4.98492431,0.05618245,0.81832671,0.09162342,1.97492187,2.20785759,1.20595057,0.28183660,0.31781619
-5.75387694,5.07745494,0.05703015,0.83670996,0.09372976,2.00864531,2.23591575,1.23609110,0.28746184,0.31978607
-5.74787394,5.16919169,0.05779572,0.85516971,0.09568829,2.04154734,2.26340280,1.26704413,0.29293507,0.32190365
-5.74187094,5.25825013,0.05845810,0.87330761,0.09745479,2.07296241,2.28979566,1.29825442,0.29815442,0.32405895
-5.73586793,5.34283483,0.05899757,0.89074579,0.09898842,2.10225833,2.31460817,1.32919055,0.30302120,0.32614484
-5.72986493,5.42128207,0.05939626,0.90713642,0.10025292,2.12885200,2.33740383,1.35935658,0.30744270,0.32805903
-5.72386193,5.49209767,0.05963862,0.92217001,0.10121762,2.15222358,2.35780612,1.38830187,0.31133469,0.32970599
-5.71785893,5.55398864,0.05971180,0.93558215,0.10185840,2.17192860,2.37550609,1.41562881,0.31462387,0.33099860
-5.71185593,5.60588754,0.05960599,0.94715834,0.10215836,2.18760748,2.39026699,1.44099829,0.31724982,0.33185970
