energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,1.04638128,-1.07045131,0.00700899,-0.00744079,0.02671437,-0.02711963,0.24391263,-0.24988566,0.22450491,-0.22636943,0.01235587,-0.01305761,0.61599850,-0.63043110,0.30935561,-0.31554207,0.05910418,-0.06243238
-5.99399700,1.12245580,-1.14926055,0.00771547,-0.00817416,0.02952743,-0.02999373,0.26695865,-0.27376428,0.23909286,-0.24132296,0.01353670,-0.01427101,0.66060920,-0.67665455,0.32618454,-0.33318295,0.06533082,-0.06891867
-5.98799400,1.20670691,-1.23617211,0.00846421,-0.00894744,0.03271596,-0.03324157,0.29295129,-0.30060230,0.25520975,-0.25778244,0.01477867,-0.01553815,0.70993039,-0.72754641,0.34548328,-0.35332172,0.07200763,-0.07584640
-5.98199100,1.29904166,-1.33103306,0.00925088,-0.00975570,0.03629755,-0.03687875,0.32198246,-0.33047547,0.27282110,-0.27570322,0.01607026,-0.01684661,0.76389431,-0.78300369,0.36729793,-0.37598651,0.07910931,-0.08318578
-5.97598799,1.39919978,-1.43352065,0.01007006,-0.01059295,0.04028509,-0.04091596,0.35409893,-0.36341227,0.29185891,-0.29500708,0.01739821,-0.01818233,0.82233429,-0.84282304,0.39162037,-0.40114975,0.08660150,-0.09089782
-5.96998499,1.50674850,-1.54313870,0.01091535,-0.01145222,0.04468602,-0.04535828,0.38929675,-0.39938861,0.31222142,-0.31558226,0.01874770,-0.01952984,0.88498207,-0.90669904,0.41838569,-0.42872606,0.09444070,-0.09893444
-5.96398199,1.62108128,-1.65921807,0.01177941,-0.01232568,0.04950167,-0.05020458,0.42751629,-0.43832321,0.33377362,-0.33728438,0.02010258,-0.02087253,0.95146738,-0.97422477,0.44747091,-0.45857144,0.10257462,-0.10723884
-5.95797899,1.74142060,-1.78092114,0.01265406,-0.01320473,0.05472665,-0.05544701,0.46863819,-0.48007409,0.35634868,-0.35993807,0.02144564,-0.02219295,1.02131997,-1.04489485,0.47869490,-0.49048368,0.11094255,-0.11574607
-5.95197599,1.86682462,-1.90725022,0.01353045,-0.01408016,0.06034835,-0.06107051,0.51248035,-0.52443612,0.37975013,-0.38333951,0.02275899,-0.02347319,1.09397393,-1.11811072,0.51181965,-0.52420422,0.11947612,-0.12438384
-5.94597299,1.99619766,-2.03705967,0.01439919,-0.01494230,0.06634656,-0.06705255,0.55879619,-0.57113988,0.40375464,-0.40725945,0.02402440,-0.02469526,1.16877426,-1.19318820,0.54655279,-0.55942111,0.12810009,-0.13307350
-5.93996998,2.12830428,-2.16907159,0.01525050,-0.01578120,0.07269321,-0.07336295,0.60727426,-0.61985201,0.42811557,-0.43144694,0.02522372,-0.02584152,1.24498557,-1.26936710,0.58255135,-0.59577342,0.13673345,-0.14173116
-5.93396698,2.26178675,-2.30189480,0.01607440,-0.01658678,0.07935229,-0.07996386,0.65753942,-0.67017721,0.45256690,-0.45563353,0.02633929,-0.02689505,1.32180275,-1.34582275,0.61942672,-0.63285671,0.14529061,-0.15026901
-5.92796398,2.39518562,-2.43404675,0.01686091,-0.01734906,0.08627986,-0.08680994,0.70915568,-0.72166182,0.47682771,-0.47953783,0.02735437,-0.02784004,1.39836348,-1.42167931,0.65675083,-0.67022967,0.15368274,-0.15859674
-5.92196098,2.52696309,-2.56397806,0.01760016,-0.01805829,0.09342437,-0.09384864,0.76163078,-0.77379926,0.50060702,-0.50287046,0.02825350,-0.02866222,1.47376237,-1.49602456,0.69406329,-0.70742184,0.16181920,-0.16662305
-5.91595798,2.65552886,-2.69009933,0.01828266,-0.01870514,0.10072701,-0.10102075,0.81442250,-0.82603705,0.52360884,-0.52533918,0.02902288,-0.02934911,1.54706652,-1.56792601,0.73087963,-0.74394226,0.16960907,-0.17425721
-5.90995498,2.77926795,-2.81080963,0.01889939,-0.01928091,0.10812235,-0.10826101,0.86694671,-0.87778562,0.54553750,-0.54665421,0.02965069,-0.02989035,1.61733220,-1.63644802,0.76670032,-0.77928885,0.17696273,-0.18141067
-5.90395198,2.89657008,-2.92452634,0.01944202,-0.01977760,0.11553909,-0.11549896,0.91858697,-0.92842846,0.56610303,-0.56653351,0.03012735,-0.03027791,1.68362249,-1.70066965,0.80102053,-0.81295844,0.18379341,-0.18799868
-5.89794897,3.00586018,-3.02971562,0.01990300,-0.02018817,0.12290102,-0.12265991,0.96870565,-0.97733367,0.58502656,-0.58470817,0.03044573,-0.03050622,1.74502544,-1.75970286,0.83334038,-0.84445724,0.19001880,-0.19394183
-5.89194597,3.10562923,-3.12492296,0.02027578,-0.02050657,0.13012813,-0.12966605,1.01665618,-1.02386650,0.60204573,-0.60092752,0.03060126,-0.03057232,1.80067242,-1.81271066,0.86317546,-0.87331140,0.19556261,-0.19916760
-5.88594297,3.19446493,-3.20880310,0.02055486,-0.02072792,0.13713781,-0.13643765,1.06179621,-1.06740247,0.61691978,-0.61496407,0.03059207,-0.03047584,1.84975629,-1.85892486,0.89006749,-0.89907753,0.20035600,-0.20361173
-5.87993997,3.27108146,-3.28014856,0.02073593,-0.02084860,0.14384623,-0.14289434,1.10350133,-1.10734096,0.62943448,-0.62661816,0.03041893,-0.03021898,1.89154895,-1.89766295,0.91359464,-0.92135285,0.20433895,-0.20721957
-5.87393697,3.33434756,-3.33791620,0.02081596,-0.02086631,0.15016981,-0.14895653,1.14117892,-1.14311858,0.63940665,-0.63572207,0.03008520,-0.02980642,1.92541778,-1.92834364,0.93338141,-0.93978461,0.20746158,-0.20994719
-5.86793397,3.38331221,-3.38125080,0.02079326,-0.02078017,0.15602663,-0.15454676,1.17428175,-1.17422211,0.64668816,-0.64214369,0.02959673,-0.02924515,1.95084057,-1.95050059,0.94910771,-0.95407867,0.20968516,-0.21176236
-5.86193097,3.41722711,-3.40950525,0.02066752,-0.02059070,0.16133810,-0.15959114,1.20232095,-1.20020053,0.65116937,-0.64578951,0.02896169,-0.02854429,1.96741840,-1.96379397,0.96051679,-0.96400675,0.21098307,-0.21264532
-5.85592796,3.43556538,-3.42225652,0.02043987,-0.02029989,0.16603039,-0.16402073,1.22487783,-1.22067576,0.65278185,-0.64660690,0.02819028,-0.02771483,1.97488618,-1.96801942,0.96742194,-0.96941226,0.21134149,-0.21258930
-5.84992496,3.43803570,-3.41931697,0.02011285,-0.01991114,0.17003603,-0.16777297,1.24161428,-1.23535186,0.65150034,-0.64458558,0.02729453,-0.02676936,1.97312030,-1.96311410,0.96971147,-0.97021452,0.21075988,-0.21160085
-5.84392196,3.42459150,-3.40074057,0.01969037,-0.01942925,0.17329536,-0.17079288,1.25228138,-1.24402223,0.64734385,-0.63975831,0.02628797,-0.02572175,1.96214329,-1.94915951,0.96735205,-0.96641105,0.20925119,-0.20969984
-5.83791896,3.39543479,-3.36682370,0.01917768,-0.01886031,0.17575786,-0.17303437,1.25672598,-1.24657487,0.64037585,-0.63220059,0.02518531,-0.02458686,1.94212505,-1.92638111,0.96039008,-0.95807806,0.20684183,-0.20691926
-5.83191596,3.35101436,-3.31810059,0.01858128,-0.01821162,0.17738347,-0.17446127,1.25489491,-1.24299523,0.63070355,-0.62202956,0.02400211,-0.02338022,1.91338072,-1.89514448,0.94895115,-0.94536893,0.20357138,-0.20330474
-5.82591296,3.29201835,-3.25533323,0.01790879,-0.01749153,0.17814367,-0.17504832,1.24683691,-1.23336690,0.61847622,-0.60940197,0.02275442,-0.02211767,1.87636507,-1.85594822,0.93323748,-0.92851086,0.19949199,-0.19891378
