energy_ev,total_up,Ag_p_up,Ag_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,8.01278850,1.19202432,4.23515177,2.48980117,0.81432015,0.02170721,0.52438631,0.07109956,2.14771351
-5.99399700,8.01692832,1.19288942,4.24065332,2.46984810,0.82123512,0.02179978,0.52204462,0.07104764,2.14760662
-5.98799400,8.03041811,1.19476267,4.25053314,2.45505566,0.82877308,0.02190534,0.52008998,0.07099811,2.15076027
-5.98199100,8.05322341,1.19770926,4.26486432,2.44545991,0.83683230,0.02202416,0.51850893,0.07095766,2.15709444
-5.97598799,8.08521976,1.20179433,4.28368372,2.44102237,0.84530525,0.02215674,0.51728795,0.07093269,2.16648890
-5.96998499,8.12617649,1.20707668,4.30698205,2.44162397,0.85407898,0.02230376,0.51641272,0.07092883,2.17878003
-5.96398199,8.17574049,1.21360226,4.33469360,2.44706054,0.86303527,0.02246601,0.51586726,0.07095062,2.19375814
-5.95797899,8.23342112,1.22139765,4.36668639,2.45704031,0.87205062,0.02264438,0.51563297,0.07100114,2.21116539
-5.95197599,8.29857772,1.23046397,4.40275329,2.47118356,0.88099621,0.02283973,0.51568762,0.07108174,2.23069487
-5.94597299,8.37041100,1.24077154,4.44260524,2.48902461,0.88973795,0.02305290,0.51600443,0.07119185,2.25199082
-5.93996998,8.44795958,1.25225566,4.48586691,2.51001626,0.89813672,0.02328461,0.51655132,0.07132883,2.27465057
-5.93396698,8.53010282,1.26481371,4.53207582,2.53353667,0.90604893,0.02353540,0.51729043,0.07148794,2.29822809
-5.92796398,8.61557084,1.27830393,4.58068534,2.55889869,0.91332764,0.02380557,0.51817790,0.07166245,2.32223945
-5.92196098,8.70296222,1.29254595,4.63107192,2.58536143,0.91982409,0.02409511,0.51916418,0.07184377,2.34617028
-5.91595798,8.79076968,1.30732318,4.68254685,2.61214408,0.92538994,0.02440363,0.52019463,0.07202170,2.36948495
-5.90995498,8.87741343,1.32238713,4.73437245,2.63844147,0.92988006,0.02473034,0.52121070,0.07218483,2.39163767
