energy_ev,total_up,Ag_p_up,Ag_d_up,As_p_up,As_d_up,Se_s_up,Se_p_up
-6.00000000,15.31177467,0.99562876,13.51501401,0.37803783,0.00000000,0.19862302,0.88348489
-5.99399700,15.33620495,1.00704413,13.53580154,0.37517072,0.00000000,0.20115446,0.88080023
-5.98799400,15.34498886,1.01714092,13.54294921,0.37219870,0.00000000,0.20334336,0.87679828
-5.98199100,15.33887668,1.02583345,13.53723759,0.36910216,0.00000000,0.20517155,0.87152529
-5.97598799,15.31896075,1.03307005,13.51974862,0.36586303,0.00000000,0.20662660,0.86505190
-5.96998499,15.28666928,1.03883665,13.49185690,0.36246583,0.00000000,0.20770253,0.85747318
-5.96398199,15.24375021,1.04315936,13.45521206,0.35889852,0.00000000,0.20840022,0.84890801
-5.95797899,15.19224506,1.04610563,13.41171259,0.35515343,0.00000000,0.20872768,0.83949784
-5.95197599,15.13445318,1.04778402,13.36347148,0.35122789,0.00000000,0.20870007,0.82940479
-5.94597299,15.07288719,1.04834253,13.31277437,0.34712480,0.00000000,0.20833956,0.81880910
-5.93996998,15.01022046,1.04796533,13.26203132,0.34285300,0.00000000,0.20767486,0.80790600
-5.93396698,14.94922800,1.04686811,13.21372320,0.33842743,0.00000000,0.20674065,0.79690201
-5.92796398,14.89272201,1.04529208,13.17034408,0.33386906,0.00000000,0.20557671,0.78601080
-5.92196098,14.84348391,1.04349685,13.13434106,0.32920467,0.00000000,0.20422693,0.77544862
-5.91595798,14.80419432,1.04175240,13.10805300,0.32446639,0.00000000,0.20273809,0.76542946
-5.90995498,14.77736296,1.04033039,13.09364962,0.31969105,0.00000000,0.20115864,0.75616012
-5.90395198,14.76526015,1.03949522,13.09307260,0.31491938,0.00000000,0.19953728,0.74783517
-5.89794897,14.76985181,1.03949502,13.10798011,0.31019499,0.00000000,0.19792159,0.74063211
-5.89194597,14.79273961,1.04055312,13.13969623,0.30556337,0.00000000,0.19635662,0.73470667
-5.88594297,14.83510809,1.04286007,13.18916666,0.30107063,0.00000000,0.19488360,0.73018867
