energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.49657904,-2.48330419,1.18913979,-1.20785619,0.80056822,-0.80345508,0.45272207,-0.43229999,0.00000000,-0.00000000,0.00631412,-0.00599944,0.77696136,-0.79014107,0.01988458,-0.01948317,0.58801560,-0.57675623
-5.99399700,2.51341082,-2.51162863,1.18846311,-1.21421634,0.79908897,-0.80647280,0.46658929,-0.44719542,0.00000000,-0.00000000,0.00656291,-0.00623543,0.77413110,-0.79282721,0.02056681,-0.02008562,0.59599340,-0.58534406
-5.98799400,2.52369811,-2.53437011,1.18414457,-1.21677861,0.79548552,-0.80744096,0.47929405,-0.46142742,0.00000000,-0.00000000,0.00680512,-0.00647528,0.76884651,-0.79294181,0.02124397,-0.02072254,0.60304191,-0.59358808
-5.98199100,2.52661770,-2.55051367,1.17599778,-1.21527820,0.78967859,-0.80621632,0.49048443,-0.47462106,0.00000000,-0.00000000,0.00703192,-0.00670960,0.76108728,-0.79039795,0.02188666,-0.02136174,0.60876143,-0.60104582
-5.97598799,2.52147712,-2.55914816,1.16389105,-1.20950882,0.78161901,-0.80268320,0.49983604,-0.48641396,0.00000000,-0.00000000,0.00723517,-0.00692955,0.75086537,-0.78514369,0.02246829,-0.02197307,0.61279362,-0.60730077
-5.96998499,2.50774132,-2.55949225,1.14775473,-1.19932890,0.77129251,-0.79675748,0.50706247,-0.49646701,0.00000000,-0.00000000,0.00740766,-0.00712701,0.73822783,-0.77716388,0.02296560,-0.02252910,0.61483194,-0.61197356
-5.96398199,2.48505771,-2.55092011,1.12758801,-1.18466728,0.75872451,-0.78839074,0.51192500,-0.50447507,0.00000000,-0.00000000,0.00754324,-0.00729475,0.72325953,-0.76648205,0.02335926,-0.02300568,0.61463108,-0.61473258
-5.95797899,2.45327812,-2.53298560,1.10346468,-1.16552808,0.74398480,-0.77757466,0.51424112,-0.51017708,0.00000000,-0.00000000,0.00763693,-0.00742660,0.70608588,-0.75316236,0.02363421,-0.02338250,0.61201491,-0.61530378
-5.95197599,2.41247627,-2.50544385,1.07553742,-1.14199458,0.72719154,-0.76434537,0.51389132,-0.51336509,0.00000000,-0.00000000,0.00768510,-0.00751757,0.68687490,-0.73731144,0.02378002,-0.02364352,0.60688269,-0.61347920
-5.94597299,2.36295958,-2.46826909,1.04404015,-1.11423170,0.70851433,-0.74878728,0.51082399,-0.51389187,0.00000000,-0.00000000,0.00768546,-0.00756396,0.66583857,-0.71907981,0.02379114,-0.02377727,0.59921301,-0.60912381
-5.93996998,2.30527407,-2.42166758,1.00928816,-1.08248683,0.68817581,-0.73103630,0.50505797,-0.51167665,0.00000000,-0.00000000,0.00763715,-0.00756345,0.64323305,-0.69866290,0.02366697,-0.02377716,0.58906543,-0.60218049
