energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-6.00000000,1.54418862,0.33246654,1.02853310,0.00534877,0.03500654,0.37799607,0.00000000,0.00551452,0.37555906
-5.99399700,1.53168448,0.31828671,1.03559005,0.00480854,0.03308071,0.35795491,0.00000000,0.00516286,0.36528068
-5.98799400,1.51965794,0.30429183,1.04265334,0.00429931,0.03118444,0.33787470,0.00000000,0.00484126,0.35531934
-5.98199100,1.50796570,0.29057626,1.04938341,0.00382453,0.02932944,0.31796600,0.00000000,0.00455473,0.34577353
-5.97598799,1.49643490,0.27723685,1.05541522,0.00338700,0.02752820,0.29844055,0.00000000,0.00430772,0.33673679
-5.96998499,1.48486696,0.26436966,1.06036730,0.00298887,0.02579343,0.27950466,0.00000000,0.00410409,0.32829555
-5.96398199,1.47304438,0.25206684,1.06385317,0.00263180,0.02413753,0.26135314,0.00000000,0.00394704,0.32052727
-5.95797899,1.46073993,0.24041404,1.06549471,0.00231699,0.02257213,0.24416402,0.00000000,0.00383904,0.31349899
-5.95197599,1.44772765,0.22948815,1.06493648,0.00204535,0.02110766,0.22809407,0.00000000,0.00378185,0.30726623
-5.94597299,1.43379463,0.21935555,1.06186028,0.00181761,0.01975302,0.21327533,0.00000000,0.00377643,0.30187230
-5.93996998,1.41875292,0.21007088,1.05599892,0.00163448,0.01851526,0.19981259,0.00000000,0.00382296,0.29734787
-5.93396698,1.40245044,0.20167631,1.04714846,0.00149678,0.01739941,0.18778197,0.00000000,0.00392079,0.29371086
-5.92796398,1.38478039,0.19420124,1.03517799,0.00140552,0.01640839,0.17723039,0.00000000,0.00406845,0.29096656
-5.92196098,1.36568827,0.18766241,1.02003649,0.00136208,0.01554294,0.16817603,0.00000000,0.00426365,0.28910802
-5.91595798,1.34517624,0.18206447,1.00175623,0.00136826,0.01480167,0.16060954,0.00000000,0.00450333,0.28811658
-5.90995498,1.32330443,0.17740071,0.98045266,0.00142634,0.01418115,0.15449605,0.00000000,0.00478364,0.28796261
-5.90395198,1.30018926,0.17365420,0.95632061,0.00153913,0.01367611,0.14977770,0.00000000,0.00510008,0.28860642
-5.89794897,1.27599894,0.17079895,0.92962720,0.00170997,0.01327961,0.14637663,0.00000000,0.00544752,0.28999929
-5.89194597,1.25094639,0.16880123,0.90070187,0.00194268,0.01298334,0.14419835,0.00000000,0.00582029,0.29208464
-5.88594297,1.22528025,0.16762096,0.86992403,0.00224150,0.01277784,0.14313519,0.00000000,0.00621235,0.29479937
-5.87993997,1.19927437,0.16721304,0.83770912,0.00261092,0.01265286,0.14306994,0.00000000,0.00661737,0.29807526
-5.87393697,1.17321652,0.16752854,0.80449372,0.00305556,0.01259760,0.14387923,0.00000000,0.00702888,0.30184040
-5.86793397,1.14739694,0.16851581,0.77072061,0.00357994,0.01260104,0.14543694,0.00000000,0.00744043,0.30602064
-5.86193097,1.12209717,0.17012139,0.73682429,0.00418824,0.01265220,0.14761712,0.00000000,0.00784573,0.31054106
-5.85592796,1.09757973,0.17229063,0.70321775,0.00488400,0.01274043,0.15029670,0.00000000,0.00823879,0.31532714
-5.84992496,1.07407908,0.17496817,0.67028090,0.00566983,0.01285558,0.15335764,0.00000000,0.00861406,0.32030591
-5.84392196,1.05179387,0.17809798,0.63835103,0.00654712,0.01298823,0.15668866,0.00000000,0.00896651,0.32540670
-5.83791896,1.03088096,0.18162332,0.60771557,0.00751566,0.01312977,0.16018644,0.00000000,0.00929179,0.33056164
-5.83191596,1.01145089,0.18548634,0.57860719,0.00857342,0.01327257,0.16375631,0.00000000,0.00958620,0.33570572
-5.82591296,0.99356509,0.18962747,0.55120126,0.00971621,0.01340998,0.16731246,0.00000000,0.00984681,0.34077652
-5.81990995,0.97723453,0.19398482,0.52561537,0.01093748,0.01353633,0.17077769,0.00000000,0.01007141,0.34571360
-5.81390695,0.96241974,0.19849328,0.50191097,0.01222821,0.01364693,0.17408285,0.00000000,0.01025853,0.35045751
-5.80790395,0.94903214,0.20308390,0.48009652,0.01357675,0.01373795,0.17716599,0.00000000,0.01040735,0.35494869
-5.80190095,0.93693652,0.20768320,0.46013209,0.01496891,0.01380637,0.17997130,0.00000000,0.01051763,0.35912622
-5.79589795,0.92595458,0.21221280,0.44193496,0.01638805,0.01384984,0.18244805,0.00000000,0.01058966,0.36292660
-5.78989495,0.91586949,0.21658937,0.42538597,0.01781532,0.01386655,0.18454957,0.00000000,0.01062412,0.36628281
-5.78389195,0.90643144,0.22072495,0.41033633,0.01922999,0.01385512,0.18623241,0.00000000,0.01062202,0.36912362
-5.77788894,0.89736403,0.22452769,0.39661468,0.02060993,0.01381448,0.18745571,0.00000000,0.01058456,0.37137346
-5.77188594,0.88837156,0.22790319,0.38403406,0.02193210,0.01374377,0.18818090,0.00000000,0.01051308,0.37295282
