energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.58632039,0.01148575,0.22686445,0.78017338,0.81468880,0.72355700,0.54007193,0.01461879,0.93976315
-5.99399700,2.64059535,0.01137804,0.24016334,0.80226212,0.82756806,0.75398426,0.54942394,0.01496460,0.95827532
-5.98799400,2.69591577,0.01121956,0.25416830,0.82529045,0.83961258,0.78703192,0.55909350,0.01527907,0.97702980
-5.98199100,2.75206177,0.01101391,0.26873190,0.84907994,0.85087758,0.82224706,0.56908888,0.01556254,0.99596897
-5.97598799,2.80882440,0.01076587,0.28369194,0.87341990,0.86144514,0.85914184,0.57941654,0.01581697,1.01504701
-5.96998499,2.86600500,0.01048128,0.29887403,0.89806943,0.87142037,0.89720083,0.59008039,0.01604586,1.03422969
-5.96398199,2.92341507,0.01016685,0.31409477,0.92276145,0.88092698,0.93588930,0.60108137,0.01625408,1.05349422
-5.95797899,2.98087679,0.00982999,0.32916527,0.94720816,0.89010244,0.97466242,0.61241762,0.01644765,1.07282907
-5.95197599,3.03822413,0.00947857,0.34389507,0.97110825,0.89909274,1.01297530,0.62408476,0.01663339,1.09223370
-5.94597299,3.09530412,0.00912071,0.35809627,0.99415511,0.90804702,1.05029351,0.63607654,0.01681863,1.11171821
-5.93996998,3.15197813,0.00876456,0.37158774,1.01604605,0.91711209,1.08610375,0.64838546,0.01701078,1.13130261
-5.93396698,3.20812263,0.00841810,0.38419929,1.03649170,0.92642706,1.11992437,0.66100331,0.01721693,1.15101560
-5.92796398,3.26362891,0.00808887,0.39577554,1.05522538,0.93611800,1.15131529,0.67392145,0.01744350,1.17089280
-5.92196098,3.31840147,0.00778381,0.40617947,1.07201174,0.94629294,1.17988683,0.68713066,0.01769580,1.19097414
-5.91595798,3.37235471,0.00750908,0.41529541,1.08665430,0.95703719,1.20530717,0.70062049,0.01797776,1.21130038
-5.90995498,3.42540778,0.00726987,0.42303141,1.09900133,0.96840906,1.22730799,0.71437801,0.01829163,1.23190883
-5.90395198,3.47747750,0.00707032,0.42932082,1.10894997,0.98043614,1.24568810,0.72838604,0.01863775,1.25282825
-5.89794897,3.52846977,0.00691337,0.43412323,1.11644811,0.99311231,1.26031491,0.74262089,0.01901451,1.27407310
-5.89194597,3.57826979,0.00680071,0.43742446,1.12149419,1.00639545,1.27112363,0.75704966,0.01941826,1.29563751
-5.88594297,3.62673177,0.00673274,0.43923596,1.12413483,1.02020612,1.27811432,0.77162753,0.01984339,1.31748912
-5.87993997,3.67366895,0.00670857,0.43959344,1.12446054,1.03442723,1.28134709,0.78629500,0.02028253,1.33956345
-5.87393697,3.71884484,0.00672603,0.43855497,1.12259983,1.04890498,1.28093559,0.80097560,0.02072674,1.36175897
-5.86793397,3.76196666,0.00678178,0.43619861,1.11871200,1.06345090,1.27703926,0.81557411,0.02116587,1.38393358
-5.86193097,3.80268185,0.00687137,0.43261974,1.11297920,1.07784531,1.26985495,0.82997577,0.02158892,1.40590267
-5.85592796,3.84057838,0.00698936,0.42792821,1.10559819,1.09184209,1.25960808,0.84404657,0.02198448,1.42743938
-5.84992496,3.87518957,0.00712952,0.42224548,1.09677218,1.10517473,1.24654415,0.85763474,0.02234117,1.44827704
