energy_ev,total_up,Al_p_up,Al_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,1.13529337,0.05372745,0.00000000,0.72415785,0.25876952,0.00170582,0.58371156
-5.99399700,1.17620439,0.05655449,0.00000000,0.74035596,0.28263299,0.00185004,0.58241898
-5.98799400,1.21802867,0.05955860,0.00000000,0.75659065,0.30742578,0.00200295,0.58041420
-5.98199100,1.26023553,0.06271162,0.00000000,0.77267773,0.33282299,0.00216179,0.57775726
-5.97598799,1.30222129,0.06597788,0.00000000,0.78839844,0.35846774,0.00232372,0.57449358
-5.96998499,1.34331671,0.06931450,0.00000000,0.80350062,0.38397733,0.00248585,0.57065028
-5.96398199,1.38279955,0.07267200,0.00000000,0.81770258,0.40895114,0.00264530,0.56623424
-5.95797899,1.41991204,0.07599536,0.00000000,0.83069983,0.43298023,0.00279927,0.56123186
-5.95197599,1.45388285,0.07922535,0.00000000,0.84217445,0.45565816,0.00294511,0.55561075
-5.94597299,1.48395260,0.08230022,0.00000000,0.85180673,0.47659286,0.00308040,0.54932309
-5.93996998,1.50940200,0.08515764,0.00000000,0.85928857,0.49541898,0.00320303,0.54231061
-5.93396698,1.52958112,0.08773677,0.00000000,0.86433802,0.51181020,0.00331125,0.53451078
-5.92796398,1.54393860,0.08998047,0.00000000,0.86671420,0.52549104,0.00340375,0.52586391
-5.92196098,1.55204906,0.09183747,0.00000000,0.86623179,0.53624751,0.00347970,0.51632071
-5.91595798,1.55363748,0.09326439,0.00000000,0.86277431,0.54393617,0.00353883,0.50584982
-5.90995498,1.54859892,0.09422764,0.00000000,0.85630536,0.54849109,0.00358140,0.49444491
-5.90395198,1.53701273,0.09470495,0.00000000,0.84687724,0.54992831,0.00360821,0.48213087
-5.89794897,1.51915005,0.09468650,0.00000000,0.83463624,0.54834754,0.00362059,0.46896870
-5.89194597,1.49547416,0.09417568,0.00000000,0.81982432,0.54393101,0.00362038,0.45505879
-5.88594297,1.46663347,0.09318929,0.00000000,0.80277692,0.53693929,0.00360982,0.44054238
-5.87993997,1.43344708,0.09175728,0.00000000,0.78391683,0.52770432,0.00359148,0.42560108
-5.87393697,1.39688358,0.08992194,0.00000000,0.76374431,0.51661990,0.00356818,0.41045436
-5.86793397,1.35803374,0.08773665,0.00000000,0.74282384,0.50412984,0.00354286,0.39535518
-5.86193097,1.31807824,0.08526420,0.00000000,0.72176797,0.49071445,0.00351849,0.38058388
-5.85592796,1.27825171,0.08257470,0.00000000,0.70121895,0.47687564,0.00349789,0.36644065
-5.84992496,1.23980458,0.07974325,0.00000000,0.68182885,0.46312150,0.00348366,0.35323675
-5.84392196,1.20396417,0.07684744,0.00000000,0.66423904,0.44995066,0.00347805,0.34128512
-5.83791896,1.17189676,0.07396475,0.00000000,0.64905987,0.43783728,0.00348285,0.33089052
-5.83191596,1.14467194,0.07116993,0.00000000,0.63685129,0.42721702,0.00349932,0.32233981
-5.82591296,1.12323072,0.06853259,0.00000000,0.62810531,0.41847472,0.00352813,0.31589260
-5.81990995,1.10835852,0.06611497,0.00000000,0.62323084,0.41193394,0.00356931,0.31177285
-5.81390695,1.10066403,0.06396998,0.00000000,0.62254162,0.40784899,0.00362224,0.31016152
-5.80790395,1.10056450,0.06213965,0.00000000,0.62624756,0.40639945,0.00368567,0.31119076
-5.80190095,1.10827802,0.06065401,0.00000000,0.63444971,0.40768742,0.00375780,0.31493962
-5.79589795,1.12382266,0.05953042,0.00000000,0.64713920,0.41173747,0.00383626,0.32143161
-5.78989495,1.14702245,0.05877334,0.00000000,0.66419980,0.41849920,0.00391829,0.33063400
-5.78389195,1.17751956,0.05837462,0.00000000,0.68541404,0.42785219,0.00400082,0.34245894
-5.77788894,1.21479207,0.05831417,0.00000000,0.71047256,0.43961305,0.00408058,0.35676618
-5.77188594,1.25817620,0.05856113,0.00000000,0.73898603,0.45354416,0.00415425,0.37336734
-5.76588294,1.30689207,0.05907528,0.00000000,0.77049925,0.46936376,0.00421860,0.39203135
-5.75987994,1.36007160,0.05980881,0.00000000,0.80450653,0.48675676,0.00427062,0.41249086
-5.75387694,1.41678734,0.06070823,0.00000000,0.84046785,0.50538596,0.00430765,0.43444938
-5.74787394,1.47608091,0.06171647,0.00000000,0.87782496,0.52490296,0.00432749,0.45758857
-5.74187094,1.53698995,0.06277496,0.00000000,0.91601674,0.54495860,0.00432852,0.48157565
-5.73586793,1.59857235,0.06382568,0.00000000,0.95449329,0.56521225,0.00430972,0.50607041
-5.72986493,1.65992704,0.06481307,0.00000000,0.99272811,0.58533979,0.00427081,0.53073167
-5.72386193,1.72021068,0.06568575,0.00000000,1.03022814,0.60503996,0.00421218,0.55522292
-5.71785893,1.77864984,0.06639801,0.00000000,1.06654126,0.62403899,0.00413493,0.57921709
-5.71185593,1.83454858,0.06691093,0.00000000,1.10126128,0.64209346,0.00404088,0.60240027
