energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Li_s_up,Li_s_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.61582345,-0.42831449,0.02633825,-0.00372391,0.32506410,-0.09666154,0.41366138,-0.12649218,0.35948151,-0.06283924,0.16112091,-0.05075231,0.01451081,-0.00412432,0.43918994,-0.11382490
-5.99399700,1.63569910,-0.46546010,0.02675833,-0.00430536,0.32536925,-0.10639149,0.41320992,-0.14024735,0.36507381,-0.06868561,0.16331778,-0.05245288,0.01523649,-0.00436214,0.45025680,-0.12239786
-5.98799400,1.65224146,-0.50815002,0.02716381,-0.00496628,0.32477657,-0.11726818,0.41167132,-0.15520649,0.37002494,-0.07556796,0.16528106,-0.05492606,0.01593930,-0.00467847,0.46074099,-0.13252287
-5.98199100,1.66550422,-0.55602673,0.02755549,-0.00570685,0.32333826,-0.12920669,0.40915940,-0.17124263,0.37431267,-0.08345555,0.16701546,-0.05812692,0.01660889,-0.00507133,0.47059738,-0.14411007
-5.97598799,1.67551352,-0.60864636,0.02793232,-0.00652612,0.32110282,-0.14210173,0.40578500,-0.18820134,0.37790285,-0.09230391,0.16852265,-0.06200068,0.01723453,-0.00553819,0.47977143,-0.15704780
-5.96998499,1.68226305,-0.66547987,0.02829134,-0.00742187,0.31811295,-0.15582765,0.40165182,-0.20590184,0.38074954,-0.10205396,0.16980047,-0.06648343,0.01780542,-0.00607591,0.48819940,-0.17120324
-5.96398199,1.68571392,-0.72591637,0.02862778,-0.00839036,0.31440438,-0.17023926,0.39685345,-0.22413916,0.38279637,-0.11263138,0.17084272,-0.07150296,0.01831096,-0.00668065,0.49580995,-0.18642348
-5.95797899,1.68579925,-0.78926885,0.02893527,-0.00942633,0.31000564,-0.18517314,0.39147159,-0.24268731,0.38397920,-0.12394634,0.17163940,-0.07697968,0.01874120,-0.00734780,0.50252690,-0.20253701
-5.95197599,1.68243318,-0.85478246,0.02920610,-0.01052283,0.30493889,-0.20044980,0.38557557,-0.26130341,0.38422988,-0.13589366,0.17217739,-0.08282767,0.01908712,-0.00807196,0.50827307,-0.21935585
-5.94597299,1.67552391,-0.92164557,0.02943167,-0.01167135,0.29922156,-0.21587645,0.37922314,-0.27973284,0.38348082,-0.14835348,0.17244161,-0.08895586,0.01934111,-0.00884682,0.51297505,-0.23667822
-5.93996998,1.66498967,-0.98900333,0.02960297,-0.01286183,0.29286878,-0.23125049,0.37246233,-0.29771515,0.38167028,-0.16119245,0.17241651,-0.09526942,0.01949727,-0.00966520,0.51656861,-0.25429177
-5.93396698,1.65077672,-1.05597374,0.02971108,-0.01408291,0.28589630,-0.24636360,0.36533436,-0.31499065,0.37874789,-0.17426559,0.17208776,-0.10167128,0.01955182,-0.01051897,0.51900440,-0.27197740
-5.92796398,1.63287821,-1.12166574,0.02974773,-0.01532216,0.27832381,-0.26100631,0.35787714,-0.33130736,0.37468026,-0.18741865,0.17144417,-0.10806382,0.01950333,-0.01139911,0.52025370,-0.28951352
-5.92196098,1.61135265,-1.18519892,0.02970586,-0.01656642,0.27017823,-0.27497292,0.35012932,-0.34642820,0.36945609,-0.20049107,0.17047957,-0.11435073,0.01935302,-0.01229576,0.52031393,-0.30668071
-5.91595798,1.58634087,-1.24572416,0.02958013,-0.01780220,0.26149692,-0.28806664,0.34213439,-0.36013796,0.36309078,-0.21331944,0.16919472,-0.12043892,0.01910489,-0.01319829,0.51921350,-0.32326660
