energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.40008741,0.02333385,0.01824344,0.10591991,0.53807463,0.00000000,0.18985876,0.43528354
-5.99399700,1.46479074,0.02092122,0.01926543,0.12017826,0.57383523,0.00000000,0.19367790,0.44297289
-5.98799400,1.54411247,0.01893494,0.02051421,0.13589422,0.61475206,0.00000000,0.19977734,0.45554118
-5.98199100,1.63682711,0.01736088,0.02198492,0.15301819,0.66037267,0.00000000,0.20801027,0.47255198
-5.97598799,1.74147975,0.01618116,0.02367079,0.17147466,0.71014982,0.00000000,0.21820003,0.49350248
-5.96998499,1.85642204,0.01537504,0.02556370,0.19116004,0.76345315,0.00000000,0.23014540,0.51783721
-5.96398199,1.97985461,0.01491969,0.02765477,0.21194147,0.81958392,0.00000000,0.24362652,0.54496304
-5.95797899,2.10987540,0.01479085,0.02993515,0.23365670,0.87779270,0.00000000,0.25841151,0.57426537
-5.95197599,2.24453241,0.01496343,0.03239684,0.25611509,0.93729935,0.00000000,0.27426335,0.60512482
-5.94597299,2.38187964,0.01541190,0.03503355,0.27909993,0.99731495,0.00000000,0.29094723,0.63693435
-5.93996998,2.52003428,0.01611065,0.03784161,0.30237184,1.05706468,0.00000000,0.30823785,0.66911593
-5.93396698,2.65723303,0.01703431,0.04082083,0.32567348,1.11581101,0.00000000,0.32592665,0.70113655
-5.92796398,2.79188527,0.01815782,0.04397529,0.34873521,1.17287607,0.00000000,0.34382855,0.73252266
-5.92196098,2.92262071,0.01945664,0.04731396,0.37128158,1.22766229,0.00000000,0.36178810,0.76287264
-5.91595798,3.04832903,0.02090681,0.05085118,0.39303852,1.27967015,0.00000000,0.37968455,0.79186661
-5.90995498,3.16818935,0.02248492,0.05460685,0.41374073,1.32851236,0.00000000,0.39743577,0.81927309
-5.90395198,3.28168773,0.02416823,0.05860633,0.43313912,1.37392331,0.00000000,0.41500057,0.84495202
-5.89794897,3.38862104,0.02593458,0.06287999,0.45100788,1.41576341,0.00000000,0.43237932,0.86885396
-5.89194597,3.48908665,0.02776240,0.06746243,0.46715080,1.45401786,0.00000000,0.44961269,0.89101519
-5.88594297,3.58345764,0.02963070,0.07239118,0.48140667,1.48878964,0.00000000,0.46677846,0.91154890
-5.87993997,3.67234432,0.03151902,0.07770519,0.49365327,1.52028706,0.00000000,0.48398633,0.93063277
-5.87393697,3.75654343,0.03340742,0.08344282,0.50380994,1.54880629,0.00000000,0.50137093,0.94849325
-5.86793397,3.83697737,0.03527644,0.08963962,0.51183854,1.57470976,0.00000000,0.51908334,0.96538744
-5.86193097,3.91462638,0.03710706,0.09632585,0.51774268,1.59840147,0.00000000,0.53728120,0.98158334
-5.85592796,3.99045707,0.03888072,0.10352388,0.52156542,1.62030057,0.00000000,0.55611814,0.99733939
-5.84992496,4.06535147,0.04057936,0.11124562,0.52338553,1.64081471,0.00000000,0.57573287,1.01288459
-5.84392196,4.14004040,0.04218541,0.11949008,0.52331251,1.66031470,0.00000000,0.59623857,1.02840003
-5.83791896,4.21504538,0.04368195,0.12824127,0.52148079,1.67911199,0.00000000,0.61771314,1.04400314
-5.83191596,4.29063278,0.04505282,0.13746650,0.51804346,1.69744042,0.00000000,0.64019107,1.05973554
-5.82591296,4.36678333,0.04628289,0.14711529,0.51316584,1.71544343,0.00000000,0.66365732,1.07555518
-5.81990995,4.44317963,0.04735829,0.15711908,0.50701945,1.73316776,0.00000000,0.68804386,1.09133364
-5.81390695,4.51921287,0.04826684,0.16739167,0.49977665,1.75056401,0.00000000,0.71322924,1.10685857
-5.80790395,4.59400961,0.04899844,0.17783061,0.49160632,1.76749443,0.00000000,0.73904139,1.12184164
-5.80190095,4.66647755,0.04954562,0.18831954,0.48267088,1.78374764,0.00000000,0.76526391,1.13593151
-5.79589795,4.73536885,0.04990406,0.19873138,0.47312472,1.79905955,0.00000000,0.79164558,1.14873146
-5.78989495,4.79935786,0.05007321,0.20893242,0.46311420,1.81313946,0.00000000,0.81791299,1.15982069
-5.78389195,4.85712970,0.05005686,0.21878702,0.45277907,1.82569999,0.00000000,0.84378577,1.16877847
-5.77788894,4.90747503,0.04986379,0.22816296,0.44225525,1.83648909,0.00000000,0.86899370,1.17520971
-5.77188594,4.94938601,0.04950822,0.23693702,0.43167863,1.84532239,0.00000000,0.89329513,1.17877080
-5.76588294,4.98214831,0.04901032,0.24500066,0.42118953,1.85211385,0.00000000,0.91649552,1.17919433
-5.75987994,5.00542373,0.04839651,0.25226553,0.41093750,1.85690305,0.00000000,0.93846540,1.17631124
-5.75387694,5.01931883,0.04769963,0.25866844,0.40108596,1.85987711,0.00000000,0.95915647,1.17006938
-5.74787394,5.02443498,0.04695898,0.26417558,0.39181613,1.86138604,0.00000000,0.97861500,1.16054729
-5.74187094,5.02189660,0.04622004,0.26878580,0.38333005,1.86195003,0.00000000,0.99699153,1.14796240
-5.73586793,5.01335496,0.04553410,0.27253253,0.37585198,1.86225804,0.00000000,1.01454605,1.13267312
-5.72986493,5.00096616,0.04495750,0.27548441,0.36962815,1.86315734,0.00000000,1.03164802,1.11517443
-5.72386193,4.98734325,0.04455077,0.27774433,0.36492441,1.86563377,0.00000000,1.04877082,1.09608712
-5.71785893,4.97548342,0.04437739,0.27944687,0.36202178,1.87078350,0.00000000,1.06648044,1.07614089
-5.71185593,4.96867246,0.04450240,0.28075431,0.36120986,1.87977699,0.00000000,1.08541837,1.05615192
-5.70585293,4.97036986,0.04499077,0.28185105,0.36277815,1.89381639,0.00000000,1.10627928,1.03699573
-5.69984992,4.98407857,0.04590553,0.28293689,0.36700568,1.91408809,0.00000000,1.12978387,1.01957638
-5.69384692,5.01320451,0.04730585,0.28421913,0.37414914,1.94171212,0.00000000,1.15664800,1.00479312
-5.68784392,5.06091123,0.04924490,0.28590408,0.38443005,1.97769055,0.00000000,1.18754907,0.99350598
-5.68184092,5.12997567,0.05176778,0.28818801,0.39802158,2.02285684,0.00000000,1.22309109,0.98650142
-5.67583792,5.22265092,0.05490942,0.29124820,0.41503554,2.07782851,0.00000000,1.26376992,0.98445959
-5.66983492,5.34054187,0.05869256,0.29523427,0.43551029,2.14296508,0.00000000,1.30994023,0.98792443
-5.66383192,5.48449940,0.06312595,0.30026029,0.45940019,2.21833336,0.00000000,1.36178582,0.99727788
-5.65782891,5.65453805,0.06820286,0.30639800,0.48656728,2.30368177,0.00000000,1.41929478,1.01271928
-5.65182591,5.84978156,0.07389983,0.31367148,0.51677575,2.39842537,0.00000000,1.48224108,1.03425090
-5.64582291,6.06843957,0.08017598,0.32205353,0.54968977,2.50164252,0.00000000,1.55017370,1.06167026
-5.63981991,6.30781789,0.08697278,0.33146408,0.58487495,2.61208415,0.00000000,1.62241422,1.09456976
-5.63381691,6.56436314,0.09421436,0.34177062,0.62180385,2.72819567,0.00000000,1.69806370,1.13234384
-5.62781391,6.83374170,0.10180852,0.35279079,0.65986532,2.84815154,0.00000000,1.77601888,1.17420345
-5.62181091,7.11095101,0.10964826,0.36429706,0.69837790,2.96990149,0.00000000,1.85499750,1.21919769
-5.61580790,7.39046004,0.11761405,0.37602345,0.73660655,3.09122724,0.00000000,1.93357234,1.26624165
-5.60980490,7.66637436,0.12557657,0.38767385,0.77378253,3.20980778,0.00000000,2.01021257,1.31414988
-5.60380190,7.93262000,0.13340003,0.39893191,0.80912550,3.32329087,0.00000000,2.08333113,1.36167384
-5.59779890,8.18313895,0.14094587,0.40947182,0.84186714,3.42936814,0.00000000,2.15133624,1.40754242
-5.59179590,8.41208868,0.14807670,0.41896981,0.87127518,3.52585060,0.00000000,2.21268485,1.45050349
-5.58579290,8.61403735,0.15466047,0.42711568,0.89667699,3.61074153,0.00000000,2.26593582,1.48936515
-5.57978989,8.78414637,0.16057445,0.43362395,0.91748153,3.68230334,0.00000000,2.30980038,1.52303486
-5.57378689,8.91833231,0.16570912,0.43824422,0.93319872,3.73911557,0.00000000,2.34318764,1.55055478
-5.56778389,9.01340081,0.16997156,0.44077015,0.94345544,3.78012106,0.00000000,2.36524293,1.57113199
-5.56178089,9.06714647,0.17328838,0.44104677,0.94800722,3.80465830,0.00000000,2.37537739,1.58416212
-5.55577789,9.07841415,0.17560795,0.43897580,0.94674532,3.81247812,0.00000000,2.37328715,1.58924561
-5.54977489,9.04711894,0.17690175,0.43451873,0.93969862,3.80374404,0.00000000,2.35896154,1.58619584
-5.54377189,8.97422412,0.17716502,0.42769763,0.92703060,3.77901613,0.00000000,2.33267976,1.57503903
-5.53776888,8.86167852,0.17641638,0.41859358,0.90903125,3.73921927,0.00000000,2.29499655,1.55600592
-5.53176588,8.71231675,0.17469676,0.40734300,0.88610471,3.68559740,0.00000000,2.24671745,1.52951588
-5.52576288,8.52972761,0.17206738,0.39413192,0.85875293,3.61965613,0.00000000,2.18886524,1.49615447
-5.51975988,8.31809754,0.16860718,0.37918865,0.82755659,3.54309665,0.00000000,2.12263918,1.45664542
-5.51375688,8.08203733,0.16440965,0.36277517,0.79315381,3.45774439,0.00000000,2.04936933,1.41181885
-5.50775388,7.82640050,0.15957933,0.34517765,0.75621806,3.36547597,0.00000000,1.97046807,1.36257705
-5.50175088,7.55610265,0.15422805,0.32669660,0.71743600,3.26814813,0.00000000,1.88738132,1.30985969
-5.49574787,7.27594997,0.14847123,0.30763703,0.67748641,3.16753205,0.00000000,1.80154171,1.25460999
-5.48974487,6.99048480,0.14242428,0.28829912,0.63702091,3.06525607,0.00000000,1.71432561,1.19774341
-5.48374187,6.70385459,0.13619930,0.26896967,0.59664733,2.96275918,0.00000000,1.62701593,1.14012012
-5.47773887,6.41970902,0.12990227,0.24991476,0.55691616,2.86125712,0.00000000,1.54077183,1.08252222
-5.47173587,6.14112828,0.12363067,0.23137370,0.51831045,2.76172190,0.00000000,1.45660619,1.02563647
-5.46573287,5.87058360,0.11747179,0.21355451,0.48123921,2.66487495,0.00000000,1.37537132,0.97004282
-5.45972986,5.60992920,0.11150149,0.19663095,0.44603431,2.57119306,0.00000000,1.29775251,0.91620868
