energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.19868127,1.04322424,0.76763323,0.03309837,0.34673313,0.14192139,2.10573420,0.66200658,0.65969421
-5.99399700,6.15818905,1.03675168,0.76016177,0.03071592,0.34846353,0.13876607,2.09360743,0.66804603,0.65614910
-5.98799400,6.11831746,1.02984221,0.75272511,0.02845521,0.34975240,0.13548513,2.08147575,0.67321215,0.65376440
-5.98199100,6.07966293,1.02261445,0.74536182,0.02632605,0.35058542,0.13210774,2.06948186,0.67744189,0.65274714
-5.97598799,6.04264434,1.01515667,0.73808425,0.02433535,0.35094537,0.12866315,2.05770357,0.68066324,0.65328693
-5.96998499,6.00751289,1.00752742,0.73088201,0.02248736,0.35081284,0.12518079,2.04615874,0.68279715,0.65555261
-5.96398199,5.97436585,0.99975707,0.72372603,0.02078390,0.35016707,0.12169020,2.03481196,0.68375981,0.65968862
-5.95797899,5.94316309,0.99185030,0.71657307,0.01922467,0.34898691,0.11822091,2.02358245,0.68346552,0.66581130
-5.95197599,5.91374573,0.98378937,0.70937035,0.01780747,0.34725180,0.11480224,2.01235295,0.68182984,0.67400514
-5.94597299,5.88585603,0.97553804,0.70206016,0.01652853,0.34494297,0.11146292,2.00097918,0.67877310,0.68431921
-5.93996998,5.85915799,0.96704603,0.69458417,0.01538268,0.34204456,0.10823072,1.98929954,0.67422402,0.69676388
-5.93396698,5.83325786,0.95825389,0.68688746,0.01436366,0.33854483,0.10513191,1.97714471,0.66812344,0.71130818
-5.92796398,5.80772413,0.94909796,0.67892182,0.01346428,0.33443722,0.10219074,1.96434685,0.66042785,0.72787784
-5.92196098,5.78210641,0.93951546,0.67064855,0.01267667,0.32972139,0.09942888,1.95074811,0.65111275,0.74635436
-5.91595798,5.75595295,0.92944935,0.66204038,0.01199242,0.32440403,0.09686482,1.93620819,0.64017548,0.76657515
-5.90995498,5.72882644,0.91885290,0.65308268,0.01140278,0.31849952,0.09451337,1.92061083,0.62763745,0.78833504
-5.90395198,5.70031797,0.90769373,0.64377398,0.01089883,0.31203020,0.09238521,1.90386905,0.61354566,0.81138917
-5.89794897,5.67005917,0.89595728,0.63412562,0.01047159,0.30502643,0.09048653,1.88592905,0.59797338,0.83545725
-5.89194597,5.63773258,0.88364951,0.62416098,0.01011223,0.29752636,0.08881878,1.86677298,0.58101987,0.86022938
-5.88594297,5.60308054,0.87079884,0.61391403,0.00981212,0.28957522,0.08737865,1.84642030,0.56280919,0.88537314
-5.87993997,5.56591275,0.85745718,0.60342771,0.00956303,0.28122453,0.08615812,1.82492827,0.54348808,0.91054190
-5.87393697,5.52611293,0.84370019,0.59275203,0.00935722,0.27253094,0.08514472,1.80239139,0.52322308,0.93538419
-5.86793397,5.48364478,0.82962670,0.58194213,0.00918754,0.26355491,0.08432201,1.77894012,0.50219684,0.95955371
-5.86193097,5.43855750,0.81535726,0.57105655,0.00904756,0.25435938,0.08367014,1.75473912,0.48060399,0.98271982
-5.85592796,5.39099091,0.80103209,0.56015568,0.00893159,0.24500830,0.08316661,1.72998502,0.45864661,1.00457794
-5.84992496,5.34118008,0.78680837,0.54930054,0.00883483,0.23556534,0.08278714,1.70490386,0.43652952,1.02485959
-5.84392196,5.28945916,0.77285687,0.53855201,0.00875334,0.22609272,0.08250657,1.67974841,0.41445569,1.04334151
-5.83791896,5.23626408,0.75935825,0.52797035,0.00868411,0.21665021,0.08229987,1.65479511,0.39262183,1.05985356
-5.83191596,5.18213322,0.74649879,0.51761518,0.00862506,0.20729446,0.08214306,1.63034074,0.37121444,1.07428477
-5.82591296,5.12770552,0.73446592,0.50754558,0.00857500,0.19807851,0.08201408,1.60669866,0.35040636,1.08658743
-5.81990995,5.07371504,0.72344342,0.49782045,0.00853361,0.18905163,0.08189358,1.58419440,0.33035399,1.09677866
-5.81390695,5.02098135,0.71360642,0.48849882,0.00850140,0.18025935,0.08176554,1.56316058,0.31119526,1.10493945
-5.80790395,4.97039492,0.70511629,0.47964005,0.00847954,0.17174373,0.08161766,1.54393082,0.29304825,1.11121091
-5.80190095,4.92289735,0.69811560,0.47130377,0.00846985,0.16354366,0.08144158,1.52683282,0.27601063,1.11578792
-5.79589795,4.87945608,0.69272314,0.46354941,0.00847462,0.15569532,0.08123287,1.51218030,0.26015970,1.11891014
-5.78989495,4.84103425,0.68902917,0.45643539,0.00849649,0.14823253,0.08099077,1.50026424,0.24555310,1.12085088
-5.78389195,4.80855615,0.68709119,0.45001773,0.00853831,0.14118704,0.08071773,1.49134332,0.23223007,1.12190409
-5.77788894,4.78286969,0.68693029,0.44434833,0.00860297,0.13458871,0.08041880,1.48563407,0.22021313,1.12237005
-5.77188594,4.76470735,0.68852832,0.43947283,0.00869329,0.12846548,0.08010090,1.48330116,0.20951018,1.12254050
-5.76588294,4.75464761,0.69182607,0.43542824,0.00881183,0.12284312,0.07977193,1.48444827,0.20011683,1.12268368
-5.75987994,4.75307904,0.69672270,0.43224054,0.00896080,0.11774490,0.07943993,1.48911015,0.19201899,1.12303022
-5.75387694,4.76016912,0.70307654,0.42992240,0.00914192,0.11319097,0.07911226,1.49724651,0.18519553,1.12376041
-5.74787394,4.77584017,0.71070728,0.42847113,0.00935632,0.10919772,0.07879483,1.50873819,0.17962101,1.12499362
-5.74187094,4.79975403,0.71939974,0.42786725,0.00960449,0.10577709,0.07849150,1.52338610,0.17526835,1.12678041
-5.73586793,4.83130734,0.72890920,0.42807366,0.00988624,0.10293585,0.07820368,1.54091340,0.17211147,1.12909771
-5.72986493,4.86963806,0.73896792,0.42903562,0.01020066,0.10067503,0.07793002,1.56097086,0.17012760,1.13184742
-5.72386193,4.91364394,0.74929307,0.43068160,0.01054618,0.09898947,0.07766644,1.58314557,0.16929949,1.13485861
-5.71785893,4.96201243,0.75959538,0.43292504,0.01092058,0.09786764,0.07740630,1.60697268,0.16961703,1.13789315
-5.71185593,5.01326100,0.76958846,0.43566687,0.01132105,0.09729165,0.07714076,1.63194978,0.17107863,1.14065458
-5.70585293,5.06578632,0.77899825,0.43879880,0.01174433,0.09723760,0.07685931,1.65755325,0.17369184,1.14279990
-5.69984992,5.11791993,0.78757212,0.44220717,0.01218677,0.09767616,0.07655044,1.68325574,0.17747343,1.14395367
-5.69384692,5.16798762,0.79508731,0.44577703,0.01264447,0.09857342,0.07620232,1.70854405,0.18244866,1.14372366
-5.68784392,5.21436954,0.80135815,0.44939637,0.01311338,0.09989198,0.07580357,1.73293620,0.18864976,1.14171753
-5.68184092,5.25555781,0.80624169,0.45296019,0.01358940,0.10159207,0.07534396,1.75599689,0.19611359,1.13755956
-5.67583792,5.29020863,0.80964148,0.45637400,0.01406850,0.10363285,0.07481503,1.77735039,0.20487843,1.13090670
-5.66983492,5.31718594,0.81150921,0.45955678,0.01454677,0.10597361,0.07421057,1.79669008,0.21498004,1.12146324
-5.66383192,5.33559449,0.81184410,0.46244296,0.01502047,0.10857488,0.07352706,1.81378408,0.22644698,1.10899343
-5.65782891,5.34480043,0.81069009,0.46498352,0.01548607,0.11139936,0.07276376,1.82847663,0.23929552,1.09333138
-5.65182591,5.34443862,0.80813091,0.46714594,0.01594023,0.11441258,0.07192281,1.84068512,0.25352409,1.07438807
-5.64582291,5.33440646,0.80428334,0.46891315,0.01637979,0.11758329,0.07100907,1.85039297,0.26910785,1.05215504
-5.63981991,5.31484491,0.79928897,0.47028157,0.01680169,0.12088348,0.07002979,1.85763898,0.28599337,1.02670478
-5.63381691,5.28610830,0.79330498,0.47125826,0.01720293,0.12428819,0.06899428,1.86250363,0.30409396,0.99818788
-5.62781391,5.24872512,0.78649442,0.47185762,0.01758051,0.12777492,0.06791339,1.86509359,0.32328588,0.96682728
-5.62181091,5.20335243,0.77901654,0.47209776,0.01793133,0.13132294,0.06679899,1.86552524,0.34340575,0.93290989
-5.61580790,5.15072724,0.77101782,0.47199680,0.01825217,0.13491237,0.06566350,1.86390864,0.36424947,0.89677620
-5.60980490,5.09161791,0.76262406,0.47156957,0.01853964,0.13852329,0.06451940,1.86033289,0.38557286,0.85880842
-5.60380190,5.02677901,0.75393420,0.47082485,0.01879018,0.14213488,0.06337886,1.85485408,0.40709419,0.81941776
-5.59779890,4.95691235,0.74501596,0.46976336,0.01900009,0.14572469,0.06225348,1.84748673,0.42849863,0.77903143
-5.59179590,4.88263686,0.73590389,0.46837687,0.01916559,0.14926827,0.06115410,1.83819937,0.44944468,0.73808012
-5.58579290,4.80446880,0.72659953,0.46664832,0.01928295,0.15273905,0.06009083,1.82691459,0.46957229,0.69698628
