energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,13.26508359,1.37453854,0.35505426,0.00853145,0.87179294,2.25612129,6.52752963,0.07702925,5.39189450
-5.99399700,13.06760380,1.32409449,0.35745647,0.00854185,0.88205442,2.19376623,6.46602086,0.07477235,5.27519452
-5.98799400,12.87135771,1.27330991,0.36078348,0.00866551,0.89184994,2.13484183,6.40152355,0.07278740,5.16035694
-5.98199100,12.67813832,1.22293302,0.36502681,0.00890795,0.90090994,2.08052895,6.33398337,0.07109200,5.04891316
-5.97598799,12.48942372,1.17366095,0.37016543,0.00927448,0.90895852,2.03191146,6.26324570,0.06969733,4.94223122
-5.96998499,12.30636949,1.12612310,0.37616676,0.00976997,0.91572249,1.98994952,6.18907806,0.06860799,4.84149136
-5.96398199,12.12981295,1.08086717,0.38298802,0.01039867,0.92094059,1.95545681,6.11119631,0.06782207,4.74766826
-5.95797899,11.96028861,1.03834819,0.39057758,0.01116389,0.92437240,1.92908264,6.02929333,0.06733134,4.66152042
-5.95197599,11.79805361,0.99892097,0.39887649,0.01206777,0.92580683,1.91129931,5.94306904,0.06712162,4.58358646
-5.94597299,11.64312134,0.96283612,0.40781985,0.01311090,0.92506983,1.90239496,5.85226029,0.06717329,4.51418807
-5.93996998,11.49530102,0.93023944,0.41733815,0.01429204,0.92203106,1.90247186,5.75666943,0.06746198,4.45343866
-5.93396698,11.35424086,0.90117475,0.42735833,0.01560777,0.91660939,1.91144999,5.65618993,0.06795927,4.40125699
-5.92796398,11.21947205,0.87558965,0.43780454,0.01705227,0.90877702,1.92907535,5.55082802,0.06863355,4.35738429
-5.92196098,11.09045113,0.85334385,0.44859861,0.01861704,0.89856215,1.95493244,5.44071901,0.06945084,4.32140399
-5.91595798,10.96659839,0.83421964,0.45966007,0.02029076,0.88605011,1.98846040,5.32613757,0.07037566,4.29276242
