energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,3.88007587,2.71938959,0.91398241,0.01704404,0.06097783,0.05205203,2.57017466,0.92242653,0.31585101
-5.99399700,3.77617371,2.65952218,0.88514433,0.01763346,0.05784310,0.05130722,2.50395147,0.90924865,0.30367515
-5.98799400,3.66952579,2.59794237,0.85614893,0.01818336,0.05479493,0.05044156,2.43571880,0.89438966,0.29149912
-5.98199100,3.56005368,2.53418578,0.82711139,0.01868361,0.05183820,0.04945126,2.36536538,0.87768603,0.27931356
-5.97598799,3.44773384,2.46782721,0.79814686,0.01912477,0.04897560,0.04833434,2.29282225,0.85901152,0.26710969
-5.96998499,3.33261698,2.39850904,0.76937089,0.01949846,0.04620808,0.04709087,2.21807741,0.83828498,0.25488203
-5.96398199,3.21484113,2.32596467,0.74089873,0.01979756,0.04353530,0.04572324,2.14118599,0.81547578,0.24263055
-5.95797899,3.09463797,2.25003630,0.71284365,0.02001643,0.04095608,0.04423623,2.06227570,0.79060688,0.23036227
-5.95197599,2.97233276,2.17068641,0.68531436,0.02015105,0.03846872,0.04263706,1.98154756,0.76375538,0.21809227
-5.94597299,2.84833810,2.08800288,0.65841187,0.02019906,0.03607140,0.04093526,1.89927224,0.73505075,0.20584402
-5.93996998,2.72314261,2.00219795,0.63222606,0.02015979,0.03376240,0.03914253,1.81578260,0.70467079,0.19364919
-5.93396698,2.59729555,1.91360140,0.60683220,0.02003419,0.03154031,0.03727243,1.73146309,0.67283575,0.18154697
-5.92796398,2.47138855,1.82264885,0.58228783,0.01982470,0.02940420,0.03534008,1.64673687,0.63980098,0.16958285
-5.92196098,2.34603591,1.72986603,0.55863030,0.01953513,0.02735368,0.03336177,1.56205165,0.60584839,0.15780723
-5.91595798,2.22185464,1.63585002,0.53587508,0.01917042,0.02538893,0.03135448,1.47786505,0.57127741,0.14627373
-5.90995498,2.09944560,1.54124873,0.51401521,0.01873644,0.02351072,0.02933552,1.39463043,0.53639566,0.13503737
-5.90395198,1.97937664,1.44673969,0.49302185,0.01823975,0.02172032,0.02732206,1.31278390,0.50150992,0.12415285
-5.89794897,1.86216865,1.35300914,0.47284599,0.01768740,0.02001947,0.02533068,1.23273314,0.46691769,0.11367283
-5.89194597,1.74828507,1.26073253,0.45342125,0.01708666,0.01841024,0.02337707,1.15484854,0.43289976,0.10364642
-5.88594297,1.63812518,1.17055699,0.43466776,0.01644490,0.01689497,0.02147564,1.07945685,0.39971386,0.09411790
-5.87993997,1.53202113,1.08308663,0.41649663,0.01576936,0.01547619,0.01963928,1.00683747,0.36758975,0.08512573
-5.87393697,1.43023866,0.99887087,0.39881505,0.01506707,0.01415647,0.01787916,0.93722136,0.33672571,0.07670184
-5.86793397,1.33298095,0.91839605,0.38153157,0.01434470,0.01293839,0.01620459,0.87079221,0.30728650,0.06887123
-5.86193097,1.24039500,0.84208035,0.36456125,0.01360855,0.01182448,0.01462294,0.80768970,0.27940266,0.06165184
-5.85592796,1.15258004,0.77027179,0.34783057,0.01286451,0.01081714,0.01313969,0.74801420,0.25317112,0.05505471
-5.84992496,1.06959694,0.70324900,0.33128149,0.01211801,0.00991863,0.01175844,0.69183265,0.22865686,0.04908437
-5.84392196,0.99147811,0.64122428,0.31487487,0.01137409,0.00913104,0.01048106,0.63918494,0.20589546,0.04373937
-5.83791896,0.91823707,0.58434852,0.29859271,0.01063739,0.00845627,0.00930779,0.59009033,0.18489639,0.03901297
-5.83191596,0.84987704,0.53271733,0.28243938,0.00991222,0.00789601,0.00823751,0.54455366,0.16564671,0.03489393
-5.82591296,0.78639820,0.48637796,0.26644164,0.00920256,0.00745175,0.00726785,0.50257070,0.14811496,0.03136724
-5.81990995,0.72780318,0.44533638,0.25064761,0.00851214,0.00712475,0.00639547,0.46413265,0.13225521,0.02841497
-5.81390695,0.67410075,0.40956423,0.23512476,0.00784443,0.00691599,0.00561626,0.42922950,0.11801090,0.02601694
-5.80790395,0.62530746,0.37900518,0.21995703,0.00720270,0.00682616,0.00492554,0.39785215,0.10531850,0.02415140
-5.80190095,0.58144768,0.35358055,0.20524136,0.00659001,0.00685564,0.00431827,0.36999349,0.09411076,0.02279558
-5.79589795,0.54255204,0.33319403,0.19108384,0.00600923,0.00700438,0.00378922,0.34564838,0.08431955,0.02192612
-5.78989495,0.50865470,0.31773534,0.17759568,0.00546303,0.00727192,0.00333312,0.32481287,0.07587830,0.02151945
-5.78389195,0.47978991,0.30708308,0.16488923,0.00495388,0.00765730,0.00294480,0.30748275,0.06872381,0.02155199
-5.77788894,0.45598820,0.30110667,0.15307432,0.00448403,0.00815903,0.00261927,0.29365179,0.06279777,0.02200037
-5.77188594,0.43727260,0.29966765,0.14225501,0.00405549,0.00877505,0.00235183,0.28330990,0.05804768,0.02284150
-5.76588294,0.42365525,0.30262051,0.13252699,0.00367002,0.00950272,0.00213810,0.27644129,0.05442741,0.02405267
-5.75987994,0.41513474,0.30981311,0.12397562,0.00332910,0.01033884,0.00197405,0.27302308,0.05189742,0.02561156
-5.75387694,0.41169424,0.32108696,0.11667466,0.00303394,0.01127969,0.00185599,0.27302416,0.05042447,0.02749632
-5.74787394,0.41330054,0.33627748,0.11068575,0.00278544,0.01232108,0.00178060,0.27640468,0.04998121,0.02968563
-5.74187094,0.41990409,0.35521411,0.10605852,0.00258417,0.01345848,0.00174489,0.28311586,0.05054532,0.03215882
-5.73586793,0.43143970,0.37772063,0.10283128,0.00243038,0.01468709,0.00174612,0.29310036,0.05209850,0.03489595
-5.72986493,0.44782784,0.40361532,0.10103207,0.00232397,0.01600202,0.00178181,0.30629281,0.05462514,0.03787805
