energy_ev,total_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,2.78654485,0.46108072,0.00684371,1.70991870,0.00000000,0.96780708,0.52601022
-5.99399700,2.76735338,0.45511636,0.00684206,1.70222517,0.00000000,0.96899783,0.51956652
-5.98799400,2.75481350,0.44983879,0.00684738,1.69938169,0.00000000,0.97278072,0.51414042
-5.98199100,2.74974108,0.44539765,0.00686202,1.70190281,0.00000000,0.97940998,0.50994448
-5.97598799,2.75284804,0.44193752,0.00688829,1.71022254,0.00000000,0.98909386,0.50718104
-5.96998499,2.76471421,0.43959267,0.00692837,1.72467694,0.00000000,1.00198548,0.50603565
-5.96398199,2.78576224,0.43848199,0.00698422,1.74548916,0.00000000,1.01817498,0.50667072
-5.95797899,2.81623672,0.43870428,0.00705751,1.77275756,0.00000000,1.03768326,0.50921986
-5.95197599,2.85618867,0.44033425,0.00714955,1.80644744,0.00000000,1.06045766,0.51378303
-5.94597299,2.90546615,0.44341930,0.00726121,1.84638687,0.00000000,1.08637003,0.52042275
-5.93996998,2.96371168,0.44797733,0.00739291,1.89226684,0.00000000,1.11521716,0.52916151
-5.93396698,3.03036640,0.45399575,0.00754457,1.94364564,0.00000000,1.14672366,0.53998032
-5.92796398,3.10468112,0.46143156,0.00771557,1.99995746,0.00000000,1.18054738,0.55281871
-5.92196098,3.18573353,0.47021262,0.00790482,2.06052468,0.00000000,1.21628693,0.56757582
-5.91595798,3.27245089,0.48023991,0.00811069,2.12457351,0.00000000,1.25349121,0.58411270
-5.90995498,3.36363720,0.49139068,0.00833114,2.19125210,0.00000000,1.29167042,0.60225558
-5.90395198,3.45800341,0.50352230,0.00856370,2.25965055,0.00000000,1.33030812,0.62179990
-5.89794897,3.55419963,0.51647650,0.00880556,2.32882199,0.00000000,1.36887386,0.64251509
-5.89194597,3.65084763,0.53008380,0.00905363,2.39780387,0.00000000,1.40683582,0.66414954
-5.88594297,3.74657255,0.54416789,0.00930463,2.46563875,0.00000000,1.44367289,0.68643589
