energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.88345163,0.00838454,0.00000000,0.00002381,0.16067356,0.44008767,0.00000000,0.55421258,0.14186256
-5.99399700,0.89322374,0.00837417,0.00000000,0.00002032,0.16698824,0.43947928,0.00000000,0.55128281,0.14865939
-5.98799400,0.90574910,0.00835312,0.00000000,0.00001737,0.17505685,0.43882632,0.00000000,0.55195246,0.15601958
-5.98199100,0.92078659,0.00831864,0.00000000,0.00001491,0.18481084,0.43803075,0.00000000,0.55579340,0.16397535
-5.97598799,0.93810306,0.00826864,0.00000000,0.00001289,0.19616244,0.43702097,0.00000000,0.56235891,0.17255432
-5.96998499,0.95746724,0.00820172,0.00000000,0.00001129,0.20900228,0.43575049,0.00000000,0.57118969,0.18177538
-5.96398199,0.97864245,0.00811716,0.00000000,0.00001008,0.22319730,0.43419575,0.00000000,0.58181987,0.19164446
-5.95797899,1.00137884,0.00801494,0.00000000,0.00000926,0.23858898,0.43235299,0.00000000,0.59378280,0.20215051
-5.95197599,1.02540607,0.00789566,0.00000000,0.00000884,0.25499227,0.43023484,0.00000000,0.60661680,0.21326189
-5.94597299,1.05042707,0.00776050,0.00000000,0.00000886,0.27219537,0.42786655,0.00000000,0.61987096,0.22492356
-5.93996998,1.07611383,0.00761121,0.00000000,0.00000937,0.28996047,0.42528256,0.00000000,0.63311097,0.23705515
-5.93396698,1.10210564,0.00745001,0.00000000,0.00001048,0.30802575,0.42252329,0.00000000,0.64592499,0.24955025
-5.92796398,1.12801036,0.00727954,0.00000000,0.00001231,0.32610859,0.41963257,0.00000000,0.65792957,0.26227700
-5.92196098,1.15340890,0.00710281,0.00000000,0.00001503,0.34391009,0.41665587,0.00000000,0.66877543,0.27508010
-5.91595798,1.17786307,0.00692312,0.00000000,0.00001889,0.36112079,0.41363924,0.00000000,0.67815313,0.28778417
-5.90995498,1.20092634,0.00674402,0.00000000,0.00002418,0.37742752,0.41062912,0.00000000,0.68579838,0.30019849
-5.90395198,1.22215734,0.00656922,0.00000000,0.00003127,0.39252115,0.40767284,0.00000000,0.69149686,0.31212278
-5.89794897,1.24113531,0.00640256,0.00000000,0.00004065,0.40610498,0.40481977,0.00000000,0.69508832,0.32335399
-5.89194597,1.25747676,0.00624790,0.00000000,0.00005287,0.41790347,0.40212281,0.00000000,0.69646984,0.33369363
-5.88594297,1.27085240,0.00610909,0.00000000,0.00006865,0.42767092,0.39964012,0.00000000,0.69559793,0.34295535
-5.87993997,1.28100340,0.00598988,0.00000000,0.00008883,0.43519976,0.39743685,0.00000000,0.69248954,0.35097244
-5.87393697,1.28775608,0.00589384,0.00000000,0.00011440,0.44032805,0.39558655,0.00000000,0.68722162,0.35760480
-5.86793397,1.29103406,0.00582430,0.00000000,0.00014653,0.44294595,0.39417216,0.00000000,0.67992938,0.36274507
-5.86193097,1.29086731,0.00578424,0.00000000,0.00018659,0.44300065,0.39328645,0.00000000,0.67080305,0.36632373
-5.85592796,1.28739741,0.00577626,0.00000000,0.00023613,0.44049974,0.39303166,0.00000000,0.66008344,0.36831266
-5.84992496,1.28087876,0.00580243,0.00000000,0.00029693,0.43551284,0.39351846,0.00000000,0.64805614,0.36872729
-5.84392196,1.27167576,0.00586430,0.00000000,0.00037095,0.42817121,0.39486421,0.00000000,0.63504480,0.36762713
-5.83791896,1.26025591,0.00596280,0.00000000,0.00046039,0.41866568,0.39719053,0.00000000,0.62140356,0.36511466
-5.83191596,1.24717945,0.00609819,0.00000000,0.00056763,0.40724277,0.40062038,0.00000000,0.60750897,0.36133285
-5.82591296,1.23308590,0.00627008,0.00000000,0.00069522,0.39419923,0.40527491,0.00000000,0.59375166,0.35646132
-5.81990995,1.21867837,0.00647736,0.00000000,0.00084585,0.37987538,0.41127001,0.00000000,0.58052800,0.35071143
-5.81390695,1.20470629,0.00671829,0.00000000,0.00102229,0.36464735,0.41871316,0.00000000,0.56823215,0.34432069
-5.80790395,1.19194741,0.00699051,0.00000000,0.00122738,0.34891857,0.42770034,0.00000000,0.55724860,0.33754664
-5.80190095,1.18118987,0.00729113,0.00000000,0.00146390,0.33311097,0.43831354,0.00000000,0.54794536,0.33066052
-5.79589795,1.17321483,0.00761678,0.00000000,0.00173452,0.31765597,0.45061871,0.00000000,0.54066807,0.32394105
-5.78989495,1.16878033,0.00796381,0.00000000,0.00204172,0.30298558,0.46466436,0.00000000,0.53573489,0.31766848
-5.78389195,1.16860656,0.00832833,0.00000000,0.00238765,0.28952390,0.48048077,0.00000000,0.53343222,0.31211908
-5.77788894,1.17336276,0.00870642,0.00000000,0.00277407,0.27767896,0.49807968,0.00000000,0.53401113,0.30756010
-5.77188594,1.18365561,0.00909421,0.00000000,0.00320219,0.26783521,0.51745446,0.00000000,0.53768441,0.30424531
-5.76588294,1.20001904,0.00948807,0.00000000,0.00367260,0.26034647,0.53858053,0.00000000,0.54462383,0.30241098
-5.75987994,1.22290493,0.00988471,0.00000000,0.00418516,0.25552951,0.56141581,0.00000000,0.55495781,0.30227227
-5.75387694,1.25267460,0.01028124,0.00000000,0.00473889,0.25365802,0.58590111,0.00000000,0.56876883,0.30401985
-5.74787394,1.28959042,0.01067531,0.00000000,0.00533191,0.25495719,0.61196019,0.00000000,0.58609083,0.30781671
-5.74187094,1.33380748,0.01106511,0.00000000,0.00596136,0.25959853,0.63949937,0.00000000,0.60690633,0.31379491
-5.73586793,1.38536506,0.01144934,0.00000000,0.00662337,0.26769525,0.66840669,0.00000000,0.63114324,0.32205227
-5.72986493,1.44417785,0.01182724,0.00000000,0.00731306,0.27929799,0.69855040,0.00000000,0.65867162,0.33264900
-5.72386193,1.51002725,0.01219846,0.00000000,0.00802457,0.29439108,0.72977711,0.00000000,0.68930041,0.34560422
