energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.09773819,0.00982991,0.00002892,0.00156258,0.03535631,0.02704324,0.01934645
-5.99399700,0.08203309,0.00827162,0.00002425,0.00132364,0.02959775,0.02288197,0.01618936
-5.98799400,0.06838581,0.00691107,0.00002020,0.00111439,0.02461113,0.01922899,0.01345686
-5.98199100,0.05663272,0.00573350,0.00001671,0.00093298,0.02033184,0.01605167,0.01111294
-5.97598799,0.04660353,0.00472314,0.00001373,0.00077746,0.01669359,0.01331398,0.00912083
-5.96998499,0.03812717,0.00386371,0.00001122,0.00064583,0.01363062,0.01097811,0.00744414
-5.96398199,0.03103683,0.00313899,0.00000911,0.00053617,0.01107952,0.00900593,0.00604785
-5.95797899,0.02517419,0.00253318,0.00000738,0.00044665,0.00898074,0.00736022,0.00489912
-5.95197599,0.02039272,0.00203129,0.00000596,0.00037568,0.00727975,0.00600573,0.00396790
-5.94597299,0.01656028,0.00161936,0.00000483,0.00032193,0.00592795,0.00491005,0.00322740
-5.93996998,0.01356091,0.00128461,0.00000394,0.00028440,0.00488329,0.00404423,0.00265444
-5.93396698,0.01129613,0.00101558,0.00000327,0.00026245,0.00411067,0.00338336,0.00222963
-5.92796398,0.00968564,0.00080216,0.00000279,0.00025589,0.00358218,0.00290685,0.00193754
-5.92196098,0.00866767,0.00063558,0.00000249,0.00026498,0.00327722,0.00259872,0.00176671
-5.91595798,0.00819897,0.00050835,0.00000235,0.00029046,0.00318247,0.00244767,0.00170965
-5.90995498,0.00825462,0.00041425,0.00000237,0.00033361,0.00329178,0.00244720,0.00176279
-5.90395198,0.00882758,0.00034821,0.00000254,0.00039625,0.00360605,0.00259548,0.00192638
-5.89794897,0.00992810,0.00030620,0.00000287,0.00048076,0.00413299,0.00289535,0.00220440
-5.89194597,0.01158301,0.00028517,0.00000337,0.00059008,0.00488686,0.00335410,0.00260439
-5.88594297,0.01383487,0.00028293,0.00000406,0.00072769,0.00588813,0.00398330,0.00313727
