energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,4.71610480,0.01154164,0.19186060,1.57900670,3.54117856,1.17186280,0.00000000,0.46092767,0.14986882
-5.99399700,4.57721406,0.01109585,0.18771740,1.48976819,3.45661678,1.11923882,0.00000000,0.44332730,0.14363737
-5.98799400,4.43460348,0.01061831,0.18449335,1.40336334,3.36637854,1.06704273,0.00000000,0.42598335,0.13764718
-5.98199100,4.29003379,0.01011876,0.18226264,1.32057123,3.27165142,1.01583161,0.00000000,0.40908363,0.13196821
-5.97598799,4.14525876,0.00960780,0.18108116,1.24208097,3.17366579,0.96613716,0.00000000,0.39280944,0.12666697
-5.96998499,4.00199623,0.00909673,0.18098516,1.16849334,3.07366994,0.91846090,0.00000000,0.37733390,0.12180592
-5.96398199,3.86189847,0.00859735,0.18199005,1.10032461,2.97290348,0.87326984,0.00000000,0.36282040,0.11744289
-5.95797899,3.72652282,0.00812183,0.18408969,1.03801197,2.87256986,0.83099276,0.00000000,0.34942113,0.11363065
-5.95197599,3.59730384,0.00768255,0.18725589,0.98192014,2.77380933,0.79201693,0.00000000,0.33727569,0.11041652
-5.94597299,3.47552818,0.00729200,0.19143860,0.93234859,2.67767346,0.75668564,0.00000000,0.32650997,0.10784219
-5.93996998,3.36231351,0.00696269,0.19656658,0.88953908,2.58510243,0.72529626,0.00000000,0.31723528,0.10594367
-5.93396698,3.25859243,0.00670705,0.20254872,0.85368300,2.49690630,0.69809911,0.00000000,0.30954785,0.10475149
-5.92796398,3.16510234,0.00653740,0.20927604,0.82492820,2.41375107,0.67529710,0.00000000,0.30352869,0.10429097
-5.92196098,3.08238166,0.00646589,0.21662438,0.80338508,2.33615018,0.65704610,0.00000000,0.29924392,0.10458282
-5.91595798,3.01077276,0.00650445,0.22445765,0.78913157,2.26446182,0.64345608,0.00000000,0.29674549,0.10564376
-5.90995498,2.95043102,0.00666469,0.23263167,0.78221682,2.19889204,0.63459281,0.00000000,0.29607231,0.10748736
-5.90395198,2.90133975,0.00695785,0.24099834,0.78266349,2.13950330,0.63048017,0.00000000,0.29725166,0.11012485
-5.89794897,2.86332963,0.00739464,0.24941008,0.79046839,2.08622774,0.63110275,0.00000000,0.30030088,0.11356599
-5.89194597,2.83610152,0.00798512,0.25772429,0.80560151,2.03888441,0.63640867,0.00000000,0.30522911,0.11781984
-5.88594297,2.81925110,0.00873844,0.26580765,0.82800343,1.99719902,0.64631232,0.00000000,0.31203904,0.12289532
-5.87993997,2.81229373,0.00966263,0.27353997,0.85758104,1.96082533,0.66069691,0.00000000,0.32072839,0.12880162
-5.87393697,2.81468800,0.01076430,0.28081752,0.89420199,1.92936659,0.67941668,0.00000000,0.33129123,0.13554825
-5.86793397,2.82585649,0.01204825,0.28755553,0.93768791,1.90239602,0.70229852,0.00000000,0.34371874,0.14314476
-5.86193097,2.84520278,0.01351716,0.29368978,0.98780685,1.87947523,0.72914309,0.00000000,0.35799951,0.15160011
-5.85592796,2.87212377,0.01517117,0.29917724,1.04426546,1.86016974,0.75972534,0.00000000,0.37411931,0.16092165
-5.84992496,2.90601699,0.01700752,0.30399562,1.10670131,1.84406105,0.79379451,0.00000000,0.39206024,0.17111373
-5.84392196,2.94628312,0.01902019,0.30814205,1.17467606,1.83075504,0.83107382,0.00000000,0.41179936,0.18217607
-5.83791896,2.99232392,0.02119957,0.31163072,1.24767017,1.81988663,0.87125996,0.00000000,0.43330693,0.19410192
-5.83191596,3.04353675,0.02353225,0.31449001,1.32507958,1.81112120,0.91402266,0.00000000,0.45654424,0.20687602
-5.82591296,3.09930646,0.02600086,0.31675886,1.40621508,1.80415298,0.95900463,0.00000000,0.48146127,0.22047272
-5.81990995,3.15899630,0.02858402,0.31848305,1.49030483,1.79870148,1.00582204,0.00000000,0.50799433,0.23485415
-5.81390695,3.22193889,0.03125646,0.31971132,1.57650029,1.79450640,1.05406588,0.00000000,0.53606370,0.24996866
