energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,1.27107502,0.34141013,0.00000000,0.30619873,0.84875736,0.04596067,0.13704098
-5.99399700,1.37290101,0.37097710,0.00000000,0.33044728,0.91941177,0.04961420,0.14717564
-5.98799400,1.47842499,0.40192654,0.00000000,0.35568519,0.99325510,0.05337606,0.15744921
-5.98199100,1.58701868,0.43413263,0.00000000,0.38177012,1.06994312,0.05721654,0.16777119
-5.97598799,1.69799626,0.46745074,0.00000000,0.40854595,1.14908790,0.06110305,0.17804753
-5.96998499,1.81061656,0.50171638,0.00000000,0.43584288,1.23025642,0.06500035,0.18818175
-5.96398199,1.92408472,0.53674394,0.00000000,0.46347742,1.31296875,0.06887085,0.19807611
-5.95797899,2.03755343,0.57232532,0.00000000,0.49125215,1.39669574,0.07267490,0.20763266
-5.95197599,2.15012432,0.60822853,0.00000000,0.51895554,1.48085686,0.07637123,0.21675435
-5.94597299,2.26084976,0.64419660,0.00000000,0.54636177,1.56481828,0.07991737,0.22534601
-5.93996998,2.36873588,0.67994691,0.00000000,0.57323091,1.64789213,0.08327017,0.23331545
-5.93396698,2.47274727,0.71517128,0.00000000,0.59930950,1.72933715,0.08638643,0.24057452
-5.92796398,2.57181426,0.74953699,0.00000000,0.62433177,1.80836160,0.08922355,0.24704032
-5.92196098,2.66484305,0.78268906,0.00000000,0.64802164,1.88412871,0.09174031,0.25263644
-5.91595798,2.75072939,0.81425382,0.00000000,0.67009576,1.95576527,0.09389769,0.25729435
-5.90995498,2.82837597,0.84384414,0.00000000,0.69026735,2.02237356,0.09565973,0.26095492
-5.90395198,2.89671338,0.87106600,0.00000000,0.70825130,2.08304661,0.09699446,0.26357005
-5.89794897,2.95472464,0.89552672,0.00000000,0.72376999,2.13688685,0.09787480,0.26510440
-5.89194597,3.00147244,0.91684442,0.00000000,0.73656015,2.18302751,0.09827942,0.26553715
-5.88594297,3.03612840,0.93465850,0.00000000,0.74638012,2.22065627,0.09819352,0.26486375
-5.87993997,3.05800322,0.94864085,0.00000000,0.75301761,2.24904037,0.09760951,0.26309758
-5.87393697,3.06657632,0.95850732,0.00000000,0.75629733,2.26755202,0.09652754,0.26027137
-5.86793397,3.06152364,0.96402884,0.00000000,0.75608828,2.27569307,0.09495578,0.25643846
