energy_ev,total_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.15414914,0.01890786,0.00000000,0.55515390,0.00000000,0.73752612,0.26243552
-5.99399700,1.16751561,0.01953329,0.00000000,0.57591052,0.00000000,0.73031396,0.26790400
-5.98799400,1.18236531,0.02024619,0.00000000,0.59901123,0.00000000,0.72222436,0.27393805
-5.98199100,1.19948470,0.02106244,0.00000000,0.62477344,0.00000000,0.71381851,0.28070129
-5.97598799,1.21959971,0.02199647,0.00000000,0.65345949,0.00000000,0.70564692,0.28833871
-5.96998499,1.24333876,0.02306046,0.00000000,0.68525749,0.00000000,0.69822775,0.29696830
-5.96398199,1.27119926,0.02426366,0.00000000,0.72026405,0.00000000,0.69202689,0.30667365
-5.95797899,1.30351940,0.02561175,0.00000000,0.75847032,0.00000000,0.68744096,0.31749780
-5.95197599,1.34045667,0.02710636,0.00000000,0.79975173,0.00000000,0.68478375,0.32943879
-5.94597299,1.38197417,0.02874473,0.00000000,0.84386247,0.00000000,0.68427689,0.34244713
-5.93996998,1.42783573,0.03051954,0.00000000,0.89043491,0.00000000,0.68604506,0.35642539
-5.93396698,1.47761006,0.03241901,0.00000000,0.93898446,0.00000000,0.69011594,0.37122997
-5.92796398,1.53068404,0.03442712,0.00000000,0.98891981,0.00000000,0.69642484,0.38667509
-5.92196098,1.58628466,0.03652406,0.00000000,1.03955831,0.00000000,0.70482370,0.40253884
-5.91595798,1.64350871,0.03868690,0.00000000,1.09014608,0.00000000,0.71509385,0.41857104
-5.90995498,1.70135892,0.04089038,0.00000000,1.13988202,0.00000000,0.72696194,0.43450260
-5.90395198,1.75878491,0.04310788,0.00000000,1.18794487,0.00000000,0.74011810,0.45005601
-5.89794897,1.81472703,0.04531243,0.00000000,1.23352206,0.00000000,0.75423532,0.46495641
-5.89194597,1.86816092,0.04747780,0.00000000,1.27583917,0.00000000,0.76898899,0.47894273
-5.88594297,1.91814077,0.04957958,0.00000000,1.31418854,0.00000000,0.78407564,0.49177840
-5.87993997,1.96383882,0.05159612,0.00000000,1.34795577,0.00000000,0.79922968,0.50326101
-5.87393697,2.00457938,0.05350947,0.00000000,1.37664273,0.00000000,0.81423736,0.51323057
-5.86793397,2.03986538,0.05530600,0.00000000,1.39988589,0.00000000,0.82894717,0.52157570
-5.86193097,2.06939617,0.05697689,0.00000000,1.41746913,0.00000000,0.84327597,0.52823771
-5.85592796,2.09307546,0.05851834,0.00000000,1.42933021,0.00000000,0.85721063,0.53321209
-5.84992496,2.11100909,0.05993151,0.00000000,1.43556059,0.00000000,0.87080500,0.53654739
-5.84392196,2.12349256,0.06122214,0.00000000,1.43639850,0.00000000,0.88417242,0.53834162
-5.83791896,2.13098905,0.06239998,0.00000000,1.43221557,0.00000000,0.89747408,0.53873624
-5.83191596,2.13409905,0.06347790,0.00000000,1.42349776,0.00000000,0.91090397,0.53790796
-5.82591296,2.13352321,0.06447083,0.00000000,1.41082137,0.00000000,0.92467128,0.53605907
-5.81990995,2.13002053,0.06539463,0.00000000,1.39482555,0.00000000,0.93898125,0.53340647
-5.81390695,2.12436405,0.06626478,0.00000000,1.37618251,0.00000000,0.95401553,0.53017024
-5.80790395,2.11729664,0.06709511,0.00000000,1.35556722,0.00000000,0.96991344,0.52656218
-5.80190095,2.10948925,0.06789671,0.00000000,1.33362791,0.00000000,0.98675500,0.52277513
-5.79589795,2.10150404,0.06867681,0.00000000,1.31095906,0.00000000,1.00454709,0.51897350
-5.78989495,2.09376430,0.06943804,0.00000000,1.28807814,0.00000000,1.02321341,0.51528552
-5.78389195,2.08653299,0.07017789,0.00000000,1.26540724,0.00000000,1.04258907,0.51179777
