energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,1.30718729,1.14622063,0.17900620,0.00966718,0.35083073,0.07550660,0.53246947,0.00000000
-5.99399700,1.20489401,1.04891435,0.16436856,0.00917892,0.32103876,0.06807745,0.49320470,0.00000000
-5.98799400,1.10464470,0.95454994,0.15028299,0.00865986,0.29226567,0.06105827,0.45426810,0.00000000
-5.98199100,1.00733160,0.86393534,0.13681712,0.00811795,0.26470886,0.05449719,0.41606858,0.00000000
-5.97598799,0.91375320,0.77776223,0.12403477,0.00756115,0.23853965,0.04843420,0.37897715,0.00000000
-5.96998499,0.82460383,0.69660169,0.11199430,0.00699720,0.21390118,0.04290127,0.34332189,0.00000000
-5.96398199,0.74046755,0.62090426,0.10074740,0.00643345,0.19090755,0.03792280,0.30938460,0.00000000
-5.95797899,0.66181616,0.55100391,0.09033819,0.00587673,0.16964396,0.03351629,0.27739924,0.00000000
-5.95197599,0.58901082,0.48712522,0.08080283,0.00533322,0.15016779,0.02969334,0.24755193,0.00000000
-5.94597299,0.52230689,0.42939317,0.07216933,0.00480832,0.13251050,0.02646058,0.21998236,0.00000000
-5.93996998,0.46186132,0.37784459,0.06445780,0.00430661,0.11668007,0.02382085,0.19478630,0.00000000
-5.93396698,0.40774190,0.33244072,0.05768087,0.00383184,0.10266388,0.02177417,0.17201910,0.00000000
-5.92796398,0.35993775,0.29307994,0.05184424,0.00338685,0.09043181,0.02031871,0.15169977,0.00000000
-5.92196098,0.31837026,0.25961009,0.04694739,0.00297366,0.07993925,0.01945155,0.13381541,0.00000000
-5.91595798,0.28290396,0.23183986,0.04298415,0.00259349,0.07113008,0.01916914,0.11832582,0.00000000
-5.90995498,0.25335682,0.20954876,0.03994333,0.00224679,0.06393931,0.01946759,0.10516795,0.00000000
-5.90395198,0.22950937,0.19249522,0.03780914,0.00193339,0.05829533,0.02034263,0.09426006,0.00000000
-5.89794897,0.21111251,0.18042288,0.03656140,0.00165251,0.05412167,0.02178919,0.08550542,0.00000000
-5.89194597,0.19789371,0.17306479,0.03617562,0.00140289,0.05133833,0.02380083,0.07879548,0.00000000
-5.88594297,0.18956148,0.17014563,0.03662280,0.00118292,0.04986253,0.02636882,0.07401240,0.00000000
-5.87993997,0.18580828,0.17138222,0.03786909,0.00099067,0.04960900,0.02948108,0.07103093,0.00000000
-5.87393697,0.18631195,0.17648245,0.03987523,0.00082401,0.05048994,0.03312092,0.06971982,0.00000000
-5.86793397,0.19073582,0.18514314,0.04259590,0.00068071,0.05241454,0.03726579,0.06994253,0.00000000
-5.86193097,0.19872808,0.19704706,0.04597907,0.00055849,0.05528837,0.04188601,0.07155767,0.00000000
-5.85592796,0.20992049,0.21185981,0.04996534,0.00045508,0.05901265,0.04694368,0.07441911,0.00000000
-5.84992496,0.22392710,0.22922679,0.05448742,0.00036828,0.06348353,0.05239170,0.07837591,0.00000000
-5.84392196,0.24034323,0.24877089,0.05946983,0.00029600,0.06859157,0.05817321,0.08327233,0.00000000
-5.83791896,0.25874526,0.27009121,0.06482891,0.00023629,0.07422141,0.06422133,0.08894792,0.00000000
-5.83191596,0.27869140,0.29276327,0.07047309,0.00018738,0.08025188,0.07045941,0.09523796,0.00000000
-5.82591296,0.29972397,0.31634081,0.07630376,0.00014763,0.08655651,0.07680168,0.10197425,0.00000000
-5.81990995,0.32137309,0.34035961,0.08221639,0.00011561,0.09300458,0.08315451,0.10898638,0.00000000
-5.81390695,0.34316212,0.36434306,0.08810223,0.00009007,0.09946258,0.08941814,0.11610358,0.00000000
-5.80790395,0.36461469,0.38780972,0.09385041,0.00006990,0.10579629,0.09548883,0.12315697,0.00000000
-5.80190095,0.38526322,0.41028246,0.09935043,0.00005420,0.11187322,0.10126153,0.12998243,0.00000000
-5.79589795,0.40465861,0.43129892,0.10449491,0.00004219,0.11756544,0.10663278,0.13642378,0.00000000
-5.78989495,0.42238089,0.45042299,0.10918265,0.00003325,0.12275266,0.11150389,0.14233632,0.00000000
-5.78389195,0.43805026,0.46725666,0.11332172,0.00002689,0.12732542,0.11578423,0.14759054,0.00000000
-5.77788894,0.45133812,0.48145183,0.11683255,0.00002277,0.13118834,0.11939440,0.15207582,0.00000000
-5.77188594,0.46197752,0.49272147,0.11965084,0.00002065,0.13426308,0.12226930,0.15570398,0.00000000
-5.76588294,0.46977267,0.50084957,0.12173024,0.00002041,0.13649109,0.12436089,0.15841256,0.00000000
-5.75987994,0.47460687,0.50569944,0.12304453,0.00002206,0.13783585,0.12564043,0.16016757,0.00000000
-5.75387694,0.47644858,0.50721987,0.12358936,0.00002570,0.13828458,0.12610030,0.16096570,0.00000000
-5.74787394,0.47535531,0.50544885,0.12338337,0.00003159,0.13784925,0.12575509,0.16083574,0.00000000
-5.74187094,0.47147507,0.50051468,0.12246866,0.00004009,0.13656697,0.12464212,0.15983926,0.00000000
-5.73586793,0.46504532,0.49263430,0.12091058,0.00005173,0.13449951,0.12282122,0.15807049,0.00000000
-5.72986493,0.45638949,0.48210897,0.11879688,0.00006718,0.13173225,0.12037387,0.15565527,0.00000000
-5.72386193,0.44591109,0.46931740,0.11623615,0.00008729,0.12837236,0.11740171,0.15274929,0.00000000
-5.71785893,0.43408571,0.45470670,0.11335574,0.00011311,0.12454643,0.11402450,0.14953549,0.00000000
-5.71185593,0.42145126,0.43878135,0.11029914,0.00014589,0.12039755,0.11037763,0.14622091,0.00000000
-5.70585293,0.40859670,0.42209089,0.10722298,0.00018713,0.11608212,0.10660929,0.14303284,0.00000000
-5.69984992,0.39614974,0.40521647,0.10429360,0.00023859,0.11176632,0.10287742,0.14021462,0.00000000
-5.69384692,0.38476386,0.38875705,0.10168355,0.00030230,0.10762251,0.09934652,0.13802106,0.00000000
-5.68784392,0.37510519,0.37331546,0.09956792,0.00038057,0.10382565,0.09618451,0.13671365,0.00000000
-5.68184092,0.36783933,0.35948503,0.09812057,0.00047603,0.10054986,0.09355971,0.13655559,0.00000000
-5.67583792,0.36361875,0.34783686,0.09751060,0.00059163,0.09796519,0.09163795,0.13780689,0.00000000
-5.66983492,0.36307084,0.33890838,0.09789884,0.00073059,0.09623478,0.09058007,0.14071941,0.00000000
-5.66383192,0.36678688,0.33319317,0.09943460,0.00089646,0.09551238,0.09053964,0.14553211,0.00000000
-5.65782891,0.37531207,0.33113246,0.10225274,0.00109305,0.09594030,0.09166110,0.15246644,0.00000000
-5.65182591,0.38913687,0.33310833,0.10647102,0.00132441,0.09764786,0.09407822,0.16172196,0.00000000
-5.64582291,0.40868948,0.33943868,0.11218782,0.00159476,0.10075028,0.09791296,0.17347227,0.00000000
-5.63981991,0.43432969,0.35037404,0.11948027,0.00190847,0.10534803,0.10327458,0.18786129,0.00000000
-5.63381691,0.46634412,0.36609616,0.12840286,0.00226995,0.11152663,0.11025907,0.20499988,0.00000000
-5.62781391,0.50494261,0.38671834,0.13898639,0.00268357,0.11935678,0.11894880,0.22496296,0.00000000
-5.62181091,0.55025602,0.41228741,0.15123749,0.00315356,0.12889483,0.12941227,0.24778710,0.00000000
-5.61580790,0.60233524,0.44278713,0.16513853,0.00368387,0.14018347,0.14170398,0.27346869,0.00000000
-5.60980490,0.66115124,0.47814301,0.18064808,0.00427809,0.15325260,0.15586427,0.30196266,0.00000000
-5.60380190,0.72659631,0.51822814,0.19770176,0.00493926,0.16812025,0.17191905,0.33318197,0.00000000
-5.59779890,0.79848620,0.56286998,0.21621353,0.00566980,0.18479343,0.18987943,0.36699773,0.00000000
-5.59179590,0.87656300,0.61185760,0.23607737,0.00647131,0.20326889,0.20974105,0.40324004,0.00000000
