energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,4.94292169,0.00847005,0.60669832,1.40939895,0.61461762,1.46346239,1.73652750,0.01834821,1.87045552
-5.99399700,4.95629762,0.00847150,0.61351720,1.41470082,0.61549151,1.46761478,1.74205102,0.01846500,1.87124628
-5.98799400,4.94556553,0.00844562,0.61711443,1.41284590,0.61343146,1.46487316,1.73916868,0.01850879,1.86285481
-5.98199100,4.91118431,0.00839522,0.61742379,1.40388468,0.60854164,1.45526020,1.72807723,0.01848646,1.84550241
-5.97598799,4.85403988,0.00832373,0.61443852,1.38799630,0.60098339,1.43890996,1.70911533,0.01840659,1.81957539
-5.96998499,4.77541625,0.00823507,0.60821213,1.36548413,0.59096940,1.41606490,1.68275170,0.01827909,1.78561316
-5.96398199,4.67695632,0.00813347,0.59885749,1.33676812,0.57875640,1.38707061,1.64957020,0.01811488,1.74429228
-5.95797899,4.56061367,0.00802336,0.58654418,1.30237413,0.56463659,1.35236814,1.61025209,0.01792542,1.69640706
-5.95197599,4.42859677,0.00790921,0.57149421,1.26292032,0.54892809,1.31248407,1.56555648,0.01772232,1.64284720
-5.94597299,4.28330758,0.00779532,0.55397615,1.21910110,0.53196486,1.26801841,1.51629935,0.01751682,1.58457313
-5.93996998,4.12727636,0.00768571,0.53429791,1.17166912,0.51408637,1.21963071,1.46333202,0.01731940,1.52258990
-5.93396698,3.96309488,0.00758396,0.51279831,1.12141569,0.49562740,1.16802459,1.40751981,0.01713937,1.45792037
-5.92796398,3.79335022,0.00749310,0.48983785,1.06915044,0.47690840,1.11393105,1.34972141,0.01698446,1.39157863
-5.92196098,3.62056123,0.00741545,0.46578891,1.01568076,0.45822668,1.05809133,1.29076974,0.01686052,1.32454450
-5.91595798,3.44711976,0.00735263,0.44102578,0.96179171,0.43984877,1.00123946,1.23145468,0.01677135,1.25773996
-5.90995498,3.27523835,0.00730543,0.41591488,0.90822723,0.42200426,0.94408544,1.17250826,0.01671849,1.19200827
-5.90395198,3.10690611,0.00727382,0.39080554,0.85567307,0.40488115,0.88729938,1.11459250,0.01670118,1.12809654
-5.89794897,2.94385387,0.00725698,0.36602161,0.80474218,0.38862306,0.83149728,1.05829016,0.01671648,1.06664214
-5.89194597,2.78752966,0.00725330,0.34185429,0.75596292,0.37332823,0.77722889,1.00409850,0.01675931,1.00816360
-5.88594297,2.63908476,0.00726053,0.31855632,0.70977058,0.35905020,0.72496810,0.95242601,0.01682277,0.95305595
-5.87993997,2.49937060,0.00727585,0.29633783,0.66650226,0.34580037,0.67510619,0.90359206,0.01689844,0.90159078
-5.87393697,2.36894591,0.00729600,0.27536376,0.62639536,0.33355194,0.62794807,0.85782906,0.01697674,0.85392073
-5.86793397,2.24809358,0.00731746,0.25575307,0.58958948,0.32224525,0.58371157,0.81528716,0.01704742,0.81008812
-5.86193097,2.13684598,0.00733661,0.23757962,0.55613156,0.31179419,0.54252983,0.77604087,0.01709998,0.77003729
-5.85592796,2.03501741,0.00734992,0.22087451,0.52598404,0.30209327,0.50445638,0.74009735,0.01712420,0.73362990
