energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-0.56128064,1.74368628,0.20302582,0.00000000,0.00999527,0.19271188,0.50096489,1.29783070
-0.55527764,1.74469838,0.20232883,0.00000000,0.01059340,0.19177225,0.50287265,1.29843840
-0.54927464,1.74285203,0.20127110,0.00000000,0.01119351,0.19023245,0.50405853,1.29711048
-0.54327164,1.73785701,0.19986449,0.00000000,0.01178972,0.18810797,0.50453512,1.29356638
-0.53726863,1.72947142,0.19812747,0.00000000,0.01237608,0.18542312,0.50432556,1.28755956
-0.53126563,1.71751581,0.19608579,0.00000000,0.01294671,0.18221074,0.50346482,1.27888985
-0.52526263,1.70188527,0.19377266,0.00000000,0.01349586,0.17851169,0.50200058,1.26741416
-0.51925963,1.68255856,0.19122867,0.00000000,0.01401811,0.17437409,0.49999356,1.25305496
-0.51325663,1.65960388,0.18850131,0.00000000,0.01450837,0.16985241,0.49751713,1.23580606
-0.50725363,1.63318079,0.18564402,0.00000000,0.01496203,0.16500628,0.49465640,1.21573541
-0.50125063,1.60353826,0.18271491,0.00000000,0.01537499,0.15989924,0.49150656,1.19298465
-0.49524762,1.57100877,0.17977510,0.00000000,0.01574372,0.15459729,0.48817072,1.16776568
-0.48924462,1.53599906,0.17688684,0.00000000,0.01606526,0.14916753,0.48475722,1.14035426
-0.48324162,1.49897776,0.17411146,0.00000000,0.01633723,0.14367662,0.48137670,1.11108118
-0.47723862,1.46046097,0.17150722,0.00000000,0.01655790,0.13818948,0.47813897,1.08032146
-0.47123562,1.42099623,0.16912732,0.00000000,0.01672608,0.13276806,0.47514993,1.04848226
-0.46523262,1.38114603,0.16701806,0.00000000,0.01684123,0.12747025,0.47250874,1.01599013
-0.45922961,1.34147164,0.16521727,0.00000000,0.01690335,0.12234909,0.47030530,0.98327826
-0.45322661,1.30251797,0.16375322,0.00000000,0.01691307,0.11745220,0.46861827,0.95077443
-0.44722361,1.26480028,0.16264394,0.00000000,0.01687160,0.11282141,0.46751365,0.91889013
-0.44122061,1.22879320,0.16189706,0.00000000,0.01678076,0.10849274,0.46704397,0.88801131
-0.43521761,1.19492229,0.16151019,0.00000000,0.01664299,0.10449656,0.46724813,0.85849109
-0.42921461,1.16355847,0.16147180,0.00000000,0.01646135,0.10085793,0.46815181,0.83064437
-0.42321161,1.13501512,0.16176252,0.00000000,0.01623954,0.09759712,0.46976826,0.80474467
-0.41720860,1.10954764,0.16235684,0.00000000,0.01598187,0.09473023,0.47209958,0.78102272
-0.41120560,1.08735517,0.16322506,0.00000000,0.01569325,0.09226984,0.47513809,0.75966667
-0.40520260,1.06858382,0.16433543,0.00000000,0.01537914,0.09022562,0.47886785,0.74082367
-0.39919960,1.05333114,0.16565628,0.00000000,0.01504549,0.08860495,0.48326605,0.72460223
-0.39319660,1.04165095,0.16715803,0.00000000,0.01469866,0.08741335,0.48830425,0.71107517
-0.38719360,1.03355829,0.16881510,0.00000000,0.01434529,0.08665482,0.49394937,0.70028257
-0.38119060,1.02903387,0.17060734,0.00000000,0.01399215,0.08633200,0.50016422,0.69223457
-0.37518759,1.02802770,0.17252123,0.00000000,0.01364604,0.08644620,0.50690783,0.68691366
-0.36918459,1.03046176,0.17455046,0.00000000,0.01331358,0.08699719,0.51413532,0.68427629
-0.36318159,1.03623139,0.17669611,0.00000000,0.01300104,0.08798299,0.52179755,0.68425386
-0.35717859,1.04520564,0.17896626,0.00000000,0.01271420,0.08939934,0.52984045,0.68675285
-0.35117559,1.05722657,0.18137518,0.00000000,0.01245815,0.09123930,0.53820437,0.69165455
-0.34517259,1.07210771,0.18394193,0.00000000,0.01223715,0.09349261,0.54682321,0.69881417
-0.33916958,1.08963206,0.18668873,0.00000000,0.01205453,0.09614519,0.55562373,0.70805994
-0.33316658,1.10954995,0.18963885,0.00000000,0.01191257,0.09917856,0.56452497,0.71919217
-0.32716358,1.13157696,0.19281446,0.00000000,0.01181242,0.10256935,0.57343785,0.73198263
-0.32116058,1.15539251,0.19623420,0.00000000,0.01175408,0.10628889,0.58226510,0.74617456
-0.31515758,1.18063921,0.19991087,0.00000000,0.01173642,0.11030296,0.59090145,0.76148345
-0.30915458,1.20692335,0.20384918,0.00000000,0.01175717,0.11457159,0.59923413,0.77759866
-0.30315158,1.23381675,0.20804374,0.00000000,0.01181300,0.11904908,0.60714373,0.79418627
-0.29714857,1.26086008,0.21247739,0.00000000,0.01189963,0.12368413,0.61450533,0.81089293
