energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.16353470,0.00008033,0.01687068,0.05796971,0.00267172,0.05185027,0.08349455,0.02751971
-5.99399700,0.15666173,0.00009625,0.01503330,0.05933409,0.00238073,0.04955315,0.07481799,0.02804363
-5.98799400,0.15041841,0.00011813,0.01332966,0.06048246,0.00211311,0.04746807,0.06677387,0.02858632
-5.98199100,0.14485321,0.00014677,0.01176658,0.06139087,0.00187067,0.04561432,0.05939456,0.02915064
-5.97598799,0.14001978,0.00018320,0.01034813,0.06204329,0.00165481,0.04401193,0.05269928,0.02974665
-5.96998499,0.13598094,0.00022860,0.00907597,0.06243299,0.00146655,0.04268293,0.04669562,0.03039232
-5.96398199,0.13281251,0.00028438,0.00794970,0.06256368,0.00130662,0.04165260,0.04138141,0.03111416
-5.95797899,0.13060703,0.00035209,0.00696739,0.06245050,0.00117548,0.04095063,0.03674668,0.03194772
-5.95197599,0.12947696,0.00043346,0.00612595,0.06212059,0.00107349,0.04061215,0.03277578,0.03293792
-5.94597299,0.12955708,0.00053035,0.00542166,0.06161344,0.00100089,0.04067843,0.02944935,0.03413921
-5.93996998,0.13100616,0.00064473,0.00485060,0.06098090,0.00095792,0.04119741,0.02674625,0.03561540
-5.93396698,0.13400751,0.00077863,0.00440902,0.06028681,0.00094488,0.04222380,0.02464515,0.03743931
-5.92796398,0.13876847,0.00093413,0.00409368,0.05960647,0.00096212,0.04381890,0.02312593,0.03969203
-5.92196098,0.14551877,0.00111327,0.00390217,0.05902563,0.00101012,0.04605003,0.02217076,0.04246202
-5.91595798,0.15450772,0.00131800,0.00383308,0.05863944,0.00108950,0.04898964,0.02176481,0.04584375
-5.90995498,0.16600041,0.00155015,0.00388613,0.05855106,0.00120098,0.05271401,0.02189666,0.04993622
-5.90395198,0.18027292,0.00181134,0.00406227,0.05887010,0.00134542,0.05730183,0.02255848,0.05484115
-5.89794897,0.19760670,0.00210290,0.00436366,0.05971095,0.00152374,0.06283238,0.02374576,0.06066096
-5.89194597,0.21828245,0.00242586,0.00479358,0.06119097,0.00173694,0.06938366,0.02545704,0.06749668
-5.88594297,0.24257347,0.00278084,0.00535633,0.06342858,0.00198602,0.07703038,0.02769322,0.07544573
-5.87993997,0.27073903,0.00316803,0.00605705,0.06654120,0.00227195,0.08584196,0.03045695,0.08459968
-5.87393697,0.30301775,0.00358715,0.00690153,0.07064313,0.00259563,0.09588057,0.03375180,0.09504216
-5.86793397,0.33962144,0.00403741,0.00789596,0.07584336,0.00295783,0.10719938,0.03758145,0.10684687
-5.86193097,0.38072956,0.00451754,0.00904670,0.08224321,0.00335918,0.11984094,0.04194890,0.12007591
-5.85592796,0.42648455,0.00502578,0.01036005,0.08993389,0.00380012,0.13383595,0.04685578,0.13477840
-5.84992496,0.47698822,0.00555991,0.01184196,0.09899401,0.00428092,0.14920227,0.05230168,0.15098953
-5.84392196,0.53229939,0.00611728,0.01349790,0.10948693,0.00480164,0.16594440,0.05828368,0.16873007
-5.83791896,0.59243276,0.00669492,0.01533257,0.12145811,0.00536216,0.18405328,0.06479597,0.18800633
-5.83191596,0.65735908,0.00728958,0.01734981,0.13493247,0.00596221,0.20350649,0.07182967,0.20881067
-5.82591296,0.72700649,0.00789781,0.01955243,0.14991175,0.00660138,0.22426880,0.07937272,0.23112233
-5.81990995,0.80126288,0.00851608,0.02194214,0.16637215,0.00727918,0.24629300,0.08740996,0.25490875
-5.81390695,0.87997902,0.00914084,0.02451943,0.18426211,0.00799505,0.26952095,0.09592327,0.28012707
-5.80790395,0.96297208,0.00976863,0.02728358,0.20350057,0.00874845,0.29388477,0.10489180,0.30672582
-5.80190095,1.05002921,0.01039611,0.03023259,0.22397569,0.00953883,0.31930799,0.11429215,0.33464651
-5.79589795,1.14091069,0.01102017,0.03336312,0.24554428,0.01036567,0.34570661,0.12409865,0.36382506
-5.78989495,1.23535229,0.01163795,0.03667047,0.26803189,0.01122847,0.37298999,0.13428341,0.39419275
-5.78389195,1.33306641,0.01224685,0.04014849,0.29123391,0.01212670,0.40106131,0.14481640,0.42567675
-5.77788894,1.43374160,0.01284451,0.04378942,0.31491755,0.01305977,0.42981773,0.15566529,0.45819975
-5.77188594,1.53704038,0.01342883,0.04758377,0.33882476,0.01402689,0.45914997,0.16679511,0.49167892
-5.76588294,1.64259507,0.01399788,0.05152008,0.36267627,0.01502698,0.48894150,0.17816777,0.52602393
-5.75987994,1.75000188,0.01454987,0.05558463,0.38617648,0.01605853,0.51906718,0.18974138,0.56113413
-5.75387694,1.85881331,0.01508304,0.05976114,0.40901917,0.01711937,0.54939152,0.20146937,0.59689500
-5.74787394,1.96852946,0.01559561,0.06403043,0.43089402,0.01820655,0.57976665,0.21329952,0.63317396
-5.74187094,2.07858877,0.01608566,0.06837007,0.45149347,0.01931612,0.61003015,0.22517298,0.66981592
-5.73586793,2.18835889,0.01655110,0.07275404,0.47051998,0.02044297,0.64000291,0.23702320,0.70663876
-5.72986493,2.29712871,0.01698954,0.07715247,0.48769320,0.02158066,0.66948727,0.24877510,0.74342914
-5.72386193,2.40410239,0.01739831,0.08153145,0.50275694,0.02272132,0.69826568,0.26034439,0.77993914
-5.71785893,2.50839637,0.01777437,0.08585301,0.51548556,0.02385558,0.72610013,0.27163718,0.81588394
-5.71185593,2.60904026,0.01811437,0.09007520,0.52568958,0.02497259,0.75273249,0.28255009,0.85094114
-5.70585293,2.70498245,0.01841462,0.09415240,0.53322033,0.02606007,0.77788612,0.29297077,0.88475187
-5.69984992,2.79510088,0.01867120,0.09803589,0.53797336,0.02710451,0.80126864,0.30277901,0.91692401
-5.69384692,2.87821940,0.01888003,0.10167454,0.53989060,0.02809133,0.82257623,0.31184850,0.94703777
-5.68784392,2.95312958,0.01903699,0.10501582,0.53896110,0.02900526,0.84149922,0.32004908,0.97465337
-5.68184092,3.01861779,0.01913803,0.10800697,0.53522046,0.02983072,0.85772897,0.32724964,0.99932100
-5.67583792,3.07349669,0.01917941,0.11059637,0.52874893,0.03055223,0.87096594,0.33332154,1.02059259
-5.66983492,3.11664023,0.01915780,0.11273502,0.51966835,0.03115493,0.88092853,0.33814230,1.03803510
-5.66383192,3.14702068,0.01907049,0.11437812,0.50813805,0.03162508,0.88736251,0.34159973,1.05124470
-5.65782891,3.16374630,0.01891558,0.11548662,0.49434994,0.03195061,0.89005060,0.34359600,1.05986137
-5.65182591,3.16609778,0.01869215,0.11602880,0.47852304,0.03212154,0.88882168,0.34405168,1.06358309
-5.64582291,3.15356181,0.01840044,0.11598160,0.46089761,0.03213053,0.88355935,0.34290956,1.06217906
-5.63981991,3.12585992,0.01804197,0.11533182,0.44172913,0.03197321,0.87420930,0.34013794,1.05550113
-5.63381691,3.08297120,0.01761967,0.11407707,0.42128243,0.03164849,0.86078505,0.33573330,1.04349302
-5.62781391,3.02514747,0.01713798,0.11222634,0.39982596,0.03115878,0.84337187,0.32972224,1.02619656
-5.62181091,2.95291996,0.01660294,0.10980025,0.37762664,0.03051011,0.82212850,0.32216252,1.00375487
-5.61580790,2.86709709,0.01602215,0.10683099,0.35494506,0.02971210,0.79728660,0.31314311,0.97641195
-5.60980490,2.76875302,0.01540486,0.10336175,0.33203147,0.02877783,0.76914787,0.30278332,0.94450893
-5.60380190,2.65920757,0.01476188,0.09944592,0.30912231,0.02772366,0.73807888,0.29123097,0.90847690
-5.59779890,2.53999812,0.01410554,0.09514593,0.28643746,0.02656889,0.70450395,0.27865966,0.86882668
-5.59179590,2.41284476,0.01344962,0.09053179,0.26417821,0.02533537,0.66889615,0.26526535,0.82613604
-5.58579290,2.27961019,0.01280924,0.08567949,0.24252577,0.02404706,0.63176705,0.25126221,0.78103487
-5.57978989,2.14225598,0.01220074,0.08066916,0.22164041,0.02272955,0.59365542,0.23687820,0.73418897
-5.57378689,2.00279717,0.01164156,0.07558328,0.20166118,0.02140957,0.55511556,0.22235021,0.68628317
-5.56778389,1.86325691,0.01115003,0.07050481,0.18270597,0.02011443,0.51670551,0.20791927,0.63800440
-5.56178089,1.72562282,0.01074526,0.06551541,0.16487210,0.01887161,0.47897580,0.19382581,0.59002558
-5.55577789,1.59180684,0.01044695,0.06069381,0.14823712,0.01770827,0.44245899,0.18030516,0.54299061
-5.54977489,1.46360947,0.01027512,0.05611433,0.13285999,0.01665082,0.40766034,0.16758347,0.49750125
-5.54377189,1.34268960,0.01024997,0.05184561,0.11878240,0.01572459,0.37504995,0.15587410,0.45410597
-5.53776888,1.23054044,0.01039153,0.04794955,0.10603026,0.01495348,0.34505637,0.14537455,0.41329132
-5.53176588,1.12847160,0.01071943,0.04448055,0.09461534,0.01435973,0.31806184,0.13626396,0.37547557
-5.52576288,1.03759747,0.01125254,0.04148487,0.08453693,0.01396366,0.29439909,0.12870113,0.34100488
-5.51975988,0.95883129,0.01200860,0.03900028,0.07578359,0.01378349,0.27434960,0.12282317,0.31015171
-5.51375688,0.89288439,0.01300378,0.03705590,0.06833486,0.01383518,0.25814310,0.11874454,0.28311524
-5.50775388,0.84026978,0.01425225,0.03567216,0.06216291,0.01413230,0.24595820,0.11655651,0.26002365
-5.50175088,0.80130925,0.01576568,0.03486095,0.05723420,0.01468590,0.23792383,0.11632706,0.24093768
-5.49574787,0.77614311,0.01755271,0.03462585,0.05351100,0.01550441,0.23412128,0.11810105,0.22585543
-5.48974487,0.76474181,0.01961840,0.03496252,0.05095283,0.01659352,0.23458669,0.12190062,0.21471778
-5.48374187,0.76691865,0.02196374,0.03585909,0.04951782,0.01795611,0.23931368,0.12772592,0.20741443
-5.47773887,0.78234316,0.02458515,0.03729673,0.04916391,0.01959215,0.24825615,0.13555599,0.20379000
-5.47173587,0.81055465,0.02747401,0.03925019,0.04984994,0.02149867,0.26133100,0.14534994,0.20365032
-5.46573287,0.85097586,0.03061632,0.04168851,0.05153664,0.02366971,0.27842086,0.15704841,0.20676849
-5.45972986,0.90292644,0.03399245,0.04457575,0.05418747,0.02609632,0.29937672,0.17057523,0.21289080
-5.45372686,0.96563643,0.03757700,0.04787180,0.05776934,0.02876661,0.32402054,0.18583953,0.22174246
-5.44772386,1.03825991,0.04133889,0.05153334,0.06225320,0.03166585,0.35214794,0.20273810,0.23303307
-5.44172086,1.11988870,0.04524152,0.05551478,0.06761452,0.03477660,0.38353089,0.22115813,0.24646189
-5.43571786,1.20956659,0.04924323,0.05976935,0.07383354,0.03807894,0.41792069,0.24098029,0.26172294
-5.42971486,1.30630383,0.05329788,0.06425024,0.08089546,0.04155071,0.45505099,0.26208204,0.27850996
-5.42371186,1.40909204,0.05735563,0.06891171,0.08879033,0.04516782,0.49464111,0.28434127,0.29652124
-5.41770885,1.51691941,0.06136395,0.07371022,0.09751283,0.04890460,0.53639958,0.30763986,0.31546423
