energy_ev,total_up,Ga_p_up,Ga_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.42388698,0.01592187,0.00000000,0.28290813,0.04762594,0.13646830,0.00000000
-5.99399700,0.39887794,0.01571598,0.00000000,0.26394568,0.04430495,0.13500720,0.00000000
-5.98799400,0.37681666,0.01576737,0.00000000,0.24594509,0.04150774,0.13433579,0.00000000
-5.98199100,0.35771884,0.01606622,0.00000000,0.22899654,0.03921820,0.13448084,0.00000000
-5.97598799,0.34156078,0.01659985,0.00000000,0.21317270,0.03741416,0.13545508,0.00000000
-5.96998499,0.32828263,0.01735321,0.00000000,0.19852815,0.03606840,0.13725667,0.00000000
-5.96398199,0.31779204,0.01830940,0.00000000,0.18509907,0.03514973,0.13986929,0.00000000
-5.95797899,0.30996811,0.01945020,0.00000000,0.17290325,0.03462398,0.14326273,0.00000000
-5.95197599,0.30466583,0.02075655,0.00000000,0.16194046,0.03445495,0.14739402,0.00000000
-5.94597299,0.30172075,0.02220916,0.00000000,0.15219338,0.03460539,0.15220907,0.00000000
-5.93996998,0.30095404,0.02378897,0.00000000,0.14362880,0.03503785,0.15764481,0.00000000
-5.93396698,0.30217768,0.02547771,0.00000000,0.13619941,0.03571552,0.16363167,0.00000000
-5.92796398,0.30519965,0.02725829,0.00000000,0.12984581,0.03660295,0.17009635,0.00000000
-5.92196098,0.30982896,0.02911523,0.00000000,0.12449890,0.03766672,0.17696455,0.00000000
-5.91595798,0.31588028,0.03103495,0.00000000,0.12008234,0.03887597,0.18416375,0.00000000
-5.90995498,0.32317792,0.03300592,0.00000000,0.11651517,0.04020286,0.19162559,0.00000000
-5.90395198,0.33155885,0.03501875,0.00000000,0.11371424,0.04162279,0.19928778,0.00000000
-5.89794897,0.34087470,0.03706611,0.00000000,0.11159646,0.04311451,0.20709549,0.00000000
-5.89194597,0.35099251,0.03914245,0.00000000,0.11008079,0.04466010,0.21500190,0.00000000
-5.88594297,0.36179405,0.04124363,0.00000000,0.10908974,0.04624468,0.22296801,0.00000000
-5.87993997,0.37317399,0.04336644,0.00000000,0.10855046,0.04785601,0.23096156,0.00000000
-5.87393697,0.38503663,0.04550789,0.00000000,0.10839530,0.04948393,0.23895527,0.00000000
-5.86793397,0.39729179,0.04766453,0.00000000,0.10856197,0.05111969,0.24692436,0.00000000
