energy_ev,total_up,Hf_p_up,Hf_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,2.18195990,0.84416831,0.92593496,0.00104853,1.04687546,0.02759037,0.36133345
-5.99399700,2.08880250,0.81385174,0.90092481,0.00103510,1.01312626,0.02581398,0.33921652
-5.98799400,1.99417422,0.78323891,0.87404449,0.00103839,0.97799761,0.02406373,0.31705522
-5.98199100,1.89998141,0.75311475,0.84599960,0.00105961,0.94233726,0.02236392,0.29518505
-5.97598799,1.80812890,0.72426583,0.81753274,0.00110003,0.90701871,0.02073833,0.27392676
-5.96998499,1.72046707,0.69745826,0.78940286,0.00116087,0.87291651,0.01920961,0.25357777
-5.96398199,1.63874107,0.67341595,0.76236399,0.00124328,0.84088147,0.01779868,0.23440468
-5.95797899,1.56454359,0.65279994,0.73714381,0.00134827,0.81171633,0.01652420,0.21663699
-5.95197599,1.49927241,0.63618920,0.71442276,0.00147665,0.78615270,0.01540215,0.20046230
-5.94597299,1.44409351,0.62406342,0.69481423,0.00162893,0.76482969,0.01444546,0.18602300
-5.93996998,1.39991078,0.61678824,0.67884622,0.00180532,0.74827492,0.01366380,0.17341444
-5.93396698,1.36734257,0.61460320,0.66694522,0.00200558,0.73688823,0.01306333,0.16268457
-5.92796398,1.34670578,0.61761287,0.65942246,0.00222901,0.73092872,0.01264668,0.15383493
-5.92196098,1.33800759,0.62578131,0.65646324,0.00247438,0.73050533,0.01241287,0.14682287
-5.91595798,1.34094501,0.63893014,0.65811954,0.00273992,0.73557137,0.01235737,0.14156483
-5.90995498,1.35491227,0.65674042,0.66430625,0.00302323,0.74592326,0.01247223,0.13794053
-5.90395198,1.37901606,0.67875840,0.67480133,0.00332136,0.76120362,0.01274624,0.13579787
-5.89794897,1.41209824,0.70440516,0.68924993,0.00363074,0.78090878,0.01316513,0.13495842
-5.89194597,1.45276575,0.73299006,0.70717268,0.00394730,0.80440077,0.01371192,0.13522329
-5.88594297,1.49942712,0.76372779,0.72797785,0.00426647,0.83092348,0.01436719,0.13637917
-5.87993997,1.55033487,0.79575866,0.75097733,0.00458329,0.85962277,0.01510952,0.13820454
-5.87393697,1.60363286,0.82817174,0.77540609,0.00489252,0.88957011,0.01591593,0.14047572
-5.86793397,1.65740724,0.86003013,0.80044442,0.00518877,0.91978898,0.01676237,0.14297278
-5.86193097,1.70973994,0.89039768,0.82524253,0.00546662,0.94928347,0.01762429,0.14548504
-5.85592796,1.75876279,0.91836631,0.84894659,0.00572078,0.97706802,0.01847717,0.14781616
-5.84992496,1.80271084,0.94308301,0.87072541,0.00594624,1.00219736,0.01929718,0.14978860
-5.84392196,1.83997299,0.96377555,0.88979680,0.00613844,1.02379573,0.02006174,0.15124742
-5.83791896,1.86913818,0.97977593,0.90545265,0.00629339,1.04108407,0.02075014,0.15206329
-5.83191596,1.88903557,0.99054070,0.91708175,0.00640781,1.05340438,0.02134412,0.15213467
-5.82591296,1.89876710,0.99566733,0.92418954,0.00647924,1.06024022,0.02182836,0.15138906
-5.81990995,1.89773128,0.99490593,0.92641394,0.00650610,1.06123247,0.02219098,0.14978341
