energy_ev,total_up,total_down,B_p_up,B_p_down,B_d_up,B_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.21665646,-0.79399238,0.10017185,-0.02183977,0.00000000,-0.00000000,0.91314235,-0.38687235,0.45613123,-0.11967324,1.28590768,-0.50197138,0.00000000,-0.00000000
-5.99399700,2.27250147,-0.83727687,0.10511127,-0.02326211,0.00000000,-0.00000000,0.93579307,-0.40698631,0.46961860,-0.12483184,1.31549963,-0.53149304,0.00000000,-0.00000000
-5.98799400,2.32556299,-0.88202675,0.11015333,-0.02472693,0.00000000,-0.00000000,0.95681200,-0.42753956,0.48298835,-0.13020827,1.34286083,-0.56192342,0.00000000,-0.00000000
-5.98199100,2.37567822,-0.92824366,0.11527155,-0.02623935,0.00000000,-0.00000000,0.97605564,-0.44852264,0.49621923,-0.13581033,1.36790316,-0.59323429,0.00000000,-0.00000000
-5.97598799,2.42268821,-0.97591934,0.12043556,-0.02780547,0.00000000,-0.00000000,0.99338879,-0.46992249,0.50928368,-0.14164421,1.39055196,-0.62539099,0.00000000,-0.00000000
-5.96998499,2.46643459,-1.02502646,0.12561122,-0.02943208,0.00000000,-0.00000000,1.00868711,-0.49171810,0.52214645,-0.14771323,1.41074401,-0.65834729,0.00000000,-0.00000000
-5.96398199,2.50675645,-1.07550886,0.13076084,-0.03112631,0.00000000,-0.00000000,1.02183970,-0.51387614,0.53476335,-0.15401647,1.42842548,-0.69203975,0.00000000,-0.00000000
-5.95797899,2.54348767,-1.12727196,0.13584351,-0.03289528,0.00000000,-0.00000000,1.03275136,-0.53634673,0.54708033,-0.16054743,1.44354986,-0.72638214,0.00000000,-0.00000000
-5.95197599,2.57645482,-1.18017385,0.14081562,-0.03474565,0.00000000,-0.00000000,1.04134447,-0.55905976,0.55903278,-0.16729294,1.45607595,-0.76126005,0.00000000,-0.00000000
-5.94597299,2.60547573,-1.23401791,0.14563140,-0.03668326,0.00000000,-0.00000000,1.04756043,-0.58192189,0.57054526,-0.17423215,1.46596600,-0.79652653,0.00000000,-0.00000000
-5.93996998,2.63035889,-1.28854766,0.15024372,-0.03871279,0.00000000,-0.00000000,1.05136038,-0.60481464,0.58153168,-0.18133611,1.47318409,-0.83199878,0.00000000,-0.00000000
-5.93396698,2.65090384,-1.34344438,0.15460486,-0.04083739,0.00000000,-0.00000000,1.05272530,-0.62759378,0.59189590,-0.18856754,1.47769483,-0.86745668,0.00000000,-0.00000000
-5.92796398,2.66690259,-1.39832814,0.15866748,-0.04305853,0.00000000,-0.00000000,1.05165549,-0.65009013,0.60153290,-0.19588129,1.47946244,-0.90264326,0.00000000,-0.00000000
-5.92196098,2.67814223,-1.45276253,0.16238567,-0.04537580,0.00000000,-0.00000000,1.04816938,-0.67211203,0.61033046,-0.20322527,1.47845041,-0.93726746,0.00000000,-0.00000000
-5.91595798,2.68440873,-1.50626326,0.16571602,-0.04778695,0.00000000,-0.00000000,1.04230189,-0.69344938,0.61817135,-0.21054184,1.47462158,-0.97100932,0.00000000,-0.00000000
-5.90995498,2.68549205,-1.55831046,0.16861873,-0.05028791,0.00000000,-0.00000000,1.03410245,-0.71387922,0.62493604,-0.21776982,1.46793908,-1.00352754,0.00000000,-0.00000000
-5.90395198,2.68119242,-1.60836447,0.17105878,-0.05287306,0.00000000,-0.00000000,1.02363280,-0.73317279,0.63050580,-0.22484683,1.45836777,-1.03446927,0.00000000,-0.00000000
-5.89794897,2.67132771,-1.65588449,0.17300694,-0.05553547,0.00000000,-0.00000000,1.01096485,-0.75110361,0.63476620,-0.23171201,1.44587650,-1.06348169,0.00000000,-0.00000000
-5.89194597,2.65574179,-1.70034913,0.17444081,-0.05826729,0.00000000,-0.00000000,0.99617872,-0.76745645,0.63761081,-0.23830885,1.43044101,-1.09022510,0.00000000,-0.00000000
-5.88594297,2.63431347,-1.74127819,0.17534566,-0.06106018,0.00000000,-0.00000000,0.97936114,-0.78203651,0.63894504,-0.24458812,1.41204743,-1.11438664,0.00000000,-0.00000000
-5.87993997,2.60696580,-1.77825418,0.17571510,-0.06390579,0.00000000,-0.00000000,0.96060429,-0.79467859,0.63868989,-0.25051061,1.39069629,-1.13569420,0.00000000,-0.00000000
-5.87393697,2.57367522,-1.81094270,0.17555157,-0.06679617,0.00000000,-0.00000000,0.94000530,-0.80525552,0.63678551,-0.25604957,1.36640675,-1.15392955,0.00000000,-0.00000000
-5.86793397,2.53448014,-1.83911029,0.17486655,-0.06972426,0.00000000,-0.00000000,0.91766620,-0.81368549,0.63319435,-0.26119271,1.33922106,-1.16894007,0.00000000,-0.00000000
-5.86193097,2.48948843,-1.86263875,0.17368051,-0.07268420,0.00000000,-0.00000000,0.89369448,-0.81993773,0.62790380,-0.26594356,1.30920867,-1.18064825,0.00000000,-0.00000000
-5.85592796,2.43888321,-1.88153502,0.17202254,-0.07567164,0.00000000,-0.00000000,0.86820408,-0.82403618,0.62092806,-0.27032208,1.27647003,-1.18905843,0.00000000,-0.00000000
-5.84992496,2.38292670,-1.89593573,0.16992971,-0.07868392,0.00000000,-0.00000000,0.84131666,-0.82606087,0.61230920,-0.27436459,1.24113966,-1.19426020,0.00000000,-0.00000000
-5.84392196,2.32196145,-1.90610623,0.16744615,-0.08172013,0.00000000,-0.00000000,0.81316300,-0.82614676,0.60211728,-0.27812274,1.20338812,-1.19642820,0.00000000,-0.00000000
-5.83791896,2.25640884,-1.91243366,0.16462178,-0.08478105,0.00000000,-0.00000000,0.78388430,-0.82448003,0.59044952,-0.28166182,1.16342294,-1.19581808,0.00000000,-0.00000000
-5.83191596,2.18676461,-1.91541444,0.16151092,-0.08786899,0.00000000,-0.00000000,0.75363327,-0.82129197,0.57742840,-0.28505824,1.12148810,-1.19275886,0.00000000,-0.00000000
-5.82591296,2.11359148,-1.91563658,0.15817064,-0.09098752,0.00000000,-0.00000000,0.72257466,-0.81685061,0.56319888,-0.28839637,1.07786202,-1.18764178,0.00000000,-0.00000000
-5.81990995,2.03750887,-1.91375749,0.15465903,-0.09414109,0.00000000,-0.00000000,0.69088527,-0.81145046,0.54792471,-0.29176499,1.03285421,-1.18090620,0.00000000,-0.00000000
-5.81390695,1.95918024,-1.91047842,0.15103337,-0.09733460,0.00000000,-0.00000000,0.65875327,-0.80540094,0.53178412,-0.29525328,0.98680041,-1.17302318,0.00000000,-0.00000000
-5.80790395,1.87929842,-1.90651653,0.14734836,-0.10057294,0.00000000,-0.00000000,0.62637669,-0.79901393,0.51496485,-0.29894674,0.94005657,-1.16447745,0.00000000,-0.00000000
-5.80190095,1.79856952,-1.90257601,0.14365449,-0.10386041,0.00000000,-0.00000000,0.59396128,-0.79259104,0.49765894,-0.30292312,0.89299181,-1.15574858,0.00000000,-0.00000000
-5.79589795,1.71769623,-1.89931944,0.13999645,-0.10720027,0.00000000,-0.00000000,0.56171766,-0.78641130,0.48005748,-0.30724853,0.84598079,-1.14729225,0.00000000,-0.00000000
-5.78989495,1.63736121,-1.89734071,0.13641197,-0.11059420,0.00000000,-0.00000000,0.52985801,-0.78071981,0.46234537,-0.31197399,0.79939565,-1.13952245,0.00000000,-0.00000000
-5.78389195,1.55821138,-1.89714061,0.13293078,-0.11404180,0.00000000,-0.00000000,0.49859231,-0.77571778,0.44469665,-0.31713247,0.75359810,-1.13279539,0.00000000,-0.00000000
-5.77788894,1.48084375,-1.89910617,0.12957404,-0.11754014,0.00000000,-0.00000000,0.46812459,-0.77155465,0.42727028,-0.32273654,0.70893185,-1.12739570,0.00000000,-0.00000000
-5.77188594,1.40579360,-1.90349443,0.12635411,-0.12108340,0.00000000,-0.00000000,0.43864906,-0.76832231,0.41020678,-0.32877679,0.66571586,-1.12352571,0.00000000,-0.00000000
-5.76588294,1.33352541,-1.91042133,0.12327468,-0.12466247,0.00000000,-0.00000000,0.41034667,-0.76605195,0.39362582,-0.33522096,0.62423864,-1.12129792,0.00000000,-0.00000000
