energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.21806824,-0.38125391,0.01120605,-0.00022912,0.02023051,-0.02567565,0.26284243,-0.13297039,0.29005053,-0.04598172,0.31037403,-0.20565592,0.23315204,-0.04123182,0.65220451,-0.22812674,0.00000000,-0.00000000
-5.99399700,1.20449989,-0.37151138,0.01089630,-0.00021642,0.02147060,-0.02350554,0.25961051,-0.12828103,0.28506259,-0.04642046,0.30901626,-0.19185629,0.23242406,-0.04040782,0.64384584,-0.22400324,0.00000000,-0.00000000
-5.98799400,1.19036600,-0.36834974,0.01056463,-0.00020882,0.02295328,-0.02164902,0.25690398,-0.12591503,0.27992835,-0.04767658,0.30820531,-0.18083476,0.23164897,-0.04041843,0.63520636,-0.22396590,0.00000000,-0.00000000
-5.98199100,1.17570287,-0.37170235,0.01021922,-0.00020586,0.02470022,-0.02011036,0.25467362,-0.12582976,0.27465575,-0.04976395,0.30789060,-0.17260766,0.23086904,-0.04124636,0.62625353,-0.22796542,0.00000000,-0.00000000
-5.97598799,1.16066716,-0.38144775,0.00986856,-0.00020708,0.02673345,-0.01888971,0.25288979,-0.12796750,0.26928140,-0.05268912,0.30804098,-0.16716284,0.23015270,-0.04287051,0.61701820,-0.23592117,0.00000000,-0.00000000
-5.96998499,1.14552179,-0.39741113,0.00952117,-0.00021200,0.02907429,-0.01798341,0.25153975,-0.13225701,0.26386775,-0.05645089,0.30864113,-0.16446226,0.22959057,-0.04526624,0.60758808,-0.24772188,0.00000000,-0.00000000
-5.96398199,1.13061549,-0.41936560,0.00918547,-0.00022015,0.03174220,-0.01738426,0.25062381,-0.13861489,0.25849873,-0.06103992,0.30968673,-0.16444458,0.22929004,-0.04840558,0.59809791,-0.26322631,0.00000000,-0.00000000
-5.95797899,1.11635736,-0.44703319,0.00886950,-0.00023106,0.03475347,-0.01708188,0.25015054,-0.14694666,0.25327423,-0.06643835,0.31117867,-0.16702772,0.22936881,-0.05225718,0.58871710,-0.28226358,0.00000000,-0.00000000
-5.95197599,1.10318785,-0.48008610,0.00858073,-0.00024427,0.03811979,-0.01706298,0.25013136,-0.15714769,0.24830357,-0.07261952,0.31311684,-0.17211129,0.22994749,-0.05678636,0.57963555,-0.30463375,0.00000000,-0.00000000
-5.94597299,1.09154781,-0.51814815,0.00832580,-0.00025934,0.04184681,-0.01731171,0.25057501,-0.16910395,0.24369856,-0.07954776,0.31549392,-0.17957876,0.23114185,-0.06195494,0.57104854,-0.33010835,0.00000000,-0.00000000
-5.93996998,1.08184753,-0.56079681,0.00811040,-0.00027584,0.04593274,-0.01780996,0.25148219,-0.18269270,0.23956632,-0.08717835,0.31828961,-0.18929942,0.23305501,-0.06772116,0.56314167,-0.35843140,0.00000000,-0.00000000
-5.93396698,1.07443721,-0.60756591,0.00793901,-0.00029336,0.05036709,-0.01853762,0.25284075,-0.19778301,0.23600238,-0.09545759,0.32146579,-0.20113009,0.23577003,-0.07403959,0.55607655,-0.38932073,0.00000000,-0.00000000
-5.92796398,1.06958063,-0.65794914,0.00781481,-0.00031153,0.05512958,-0.01947285,0.25462174,-0.21423626,0.23308435,-0.10432307,0.32496274,-0.21491651,0.23934317,-0.08086102,0.54997824,-0.42246986,0.00000000,-0.00000000
-5.92196098,1.06743333,-0.71140447,0.00773952,-0.00033001,0.06018938,-0.02059237,0.25677663,-0.23190667,0.23086647,-0.11370411,0.32869705,-0.23049440,0.24379835,-0.08813245,0.54492488,-0.45755033,0.00000000,-0.00000000
-5.91595798,1.06802643,-0.76735940,0.00771338,-0.00034850,0.06550461,-0.02187170,0.25923578,-0.25064164,0.22937539,-0.12352246,0.33256096,-0.24769031,0.24912295,-0.09579718,0.54094019,-0.49421466,0.00000000,-0.00000000
-5.90995498,1.07125686,-0.82521717,0.00773503,-0.00036678,0.07102234,-0.02328538,0.26190827,-0.27028226,0.22860729,-0.13369304,0.33642353,-0.26632225,0.25526528,-0.10379489,0.53798908,-0.53209983,0.00000000,-0.00000000
-5.90395198,1.07688460,-0.88436370,0.00780161,-0.00038466,0.07667901,-0.02480724,0.26468320,-0.29066370,0.22852653,-0.14412504,0.34013341,-0.28620007,0.26213386,-0.11206186,0.53597668,-0.57083118,0.00000000,-0.00000000
-5.89794897,1.08453682,-0.94417528,0.00790878,-0.00040207,0.08240130,-0.02641067,0.26743226,-0.31161572,0.22906579,-0.15472305,0.34352320,-0.30712593,0.26959858,-0.12053131,0.53475054,-0.61002684,0.00000000,-0.00000000
-5.89194597,1.09371888,-1.00402673,0.00805084,-0.00041902,0.08810755,-0.02806882,0.27001351,-0.33296322,0.23012790,-0.16538841,0.34641498,-0.32889464,0.27749374,-0.12913379,0.53410601,-0.64930242,0.00000000,-0.00000000
-5.88594297,1.10383148,-1.06330007,0.00822090,-0.00043564,0.09370959,-0.02975493,0.27227612,-0.35452695,0.23158895,-0.17602064,0.34862686,-0.35129425,0.28562283,-0.13779769,0.53379442,-0.68827605,0.00000000,-0.00000000
-5.87993997,1.11419310,-1.12139343,0.00841106,-0.00045218,0.09911505,-0.03144259,0.27406575,-0.37612436,0.23330277,-0.18651902,0.34998021,-0.37410685,0.29376499,-0.14644986,0.53353336,-0.72657360,0.00000000,-0.00000000
-5.87393697,1.12406672,-1.17773006,0.00861269,-0.00046905,0.10423001,-0.03310604,0.27523048,-0.39757074,0.23510640,-0.19678422,0.35030694,-0.39710986,0.30168270,-0.15501636,0.53301887,-0.76383405,0.00000000,-0.00000000
-5.86793397,1.13268937,-1.23176743,0.00881667,-0.00048683,0.10896192,-0.03472051,0.27562667,-0.41868065,0.23682642,-0.20671999,0.34945679,-0.42007769,0.30913063,-0.16342331,0.53193846,-0.79971496,0.00000000,-0.00000000
-5.86193097,1.13930318,-1.28300615,0.00901369,-0.00050628,0.11322277,-0.03626257,0.27512471,-0.43926975,0.23828564,-0.21623484,0.34730391,-0.44278406,0.31586503,-0.17159789,0.52998461,-0.83389795,0.00000000,-0.00000000
-5.85592796,1.14318664,-1.33099869,0.00919456,-0.00052839,0.11693222,-0.03771045,0.27361423,-0.45915696,0.23931003,-0.22524384,0.34375263,-0.46500504,0.32165348,-0.17946941,0.52686792,-0.86609415,0.00000000,-0.00000000
-5.84992496,1.14368436,-1.37535771,0.00935049,-0.00055437,0.12002080,-0.03904441,0.27100855,-0.47816719,0.23973553,-0.23367027,0.33874206,-0.48652255,0.32628449,-0.18697056,0.52232937,-0.89604960,0.00000000,-0.00000000
-5.84392196,1.14023441,-1.41576397,0.00947339,-0.00058569,0.12243280,-0.04024712,0.26724820,-0.49613432,0.23941426,-0.24144725,0.33224927,-0.50712867,0.32957656,-0.19403865,0.51615105,-0.92355037,0.00000000,-0.00000000
-5.83791896,1.13239185,-1.45197339,0.00955614,-0.00062411,0.12412899,-0.04130400,0.26230329,-0.51290470,0.23822017,-0.24851932,0.32429105,-0.52663034,0.33138639,-0.20061705,0.50816503,-0.94842745,0.00000000,-0.00000000
