energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Na_s_up,S_s_up,S_p_up
-6.00000000,1.43242929,0.01374753,0.02228990,0.21064184,0.36714700,0.12639459,0.06149287,0.53836894
-5.99399700,1.34213551,0.01359634,0.02146600,0.19794572,0.34435931,0.11720939,0.05755322,0.50399198
-5.98799400,1.25815904,0.01345087,0.02082472,0.18610151,0.32327865,0.10874410,0.05386134,0.47179587
-5.98199100,1.18094181,0.01329951,0.02037485,0.17514407,0.30402279,0.10096821,0.05045030,0.44194244
-5.97598799,1.11083148,0.01313226,0.02012235,0.16509729,0.28668033,0.09384484,0.04734939,0.41456379
-5.96998499,1.04808005,0.01294116,0.02007001,0.15597468,0.27131051,0.08733290,0.04458345,0.38976189
-5.96398199,0.99284442,0.01272053,0.02021729,0.14778019,0.25794376,0.08138915,0.04217230,0.36760884
-5.95797899,0.94518883,0.01246723,0.02056016,0.14050934,0.24658282,0.07597003,0.04013028,0.34814760
-5.95197599,0.90508909,0.01218079,0.02109103,0.13415057,0.23720436,0.07103327,0.03846593,0.33139331
-5.94597299,0.87243843,0.01186354,0.02179883,0.12868680,0.22976114,0.06653934,0.03718178,0.31733502
-5.93996998,0.84705484,0.01152062,0.02266916,0.12409715,0.22418448,0.06245264,0.03627426,0.30593789
-5.93396698,0.82868959,0.01115993,0.02368450,0.12035890,0.22038713,0.05874251,0.03573382,0.29714581
-5.92796398,0.81703700,0.01079211,0.02482461,0.11744948,0.21826629,0.05538396,0.03554509,0.29088430
-5.92196098,0.81174494,0.01043036,0.02606693,0.11534859,0.21770686,0.05235835,0.03568721,0.28706375
-5.91595798,0.81242615,0.01009034,0.02738705,0.11404039,0.21858473,0.04965384,0.03613428,0.28558297
-5.90995498,0.81867007,0.00978999,0.02875931,0.11351564,0.22077009,0.04726570,0.03685593,0.28633294
-5.90395198,0.83005495,0.00954932,0.03015734,0.11377374,0.22413079,0.04519655,0.03781797,0.28920071
-5.89794897,0.84616001,0.00939024,0.03155470,0.11482475,0.22853543,0.04345643,0.03898314,0.29407345
-5.89194597,0.86657735,0.00933638,0.03292542,0.11669103,0.23385640,0.04206288,0.04031198,0.30084251
-5.88594297,0.89092330,0.00941278,0.03424464,0.11940866,0.23997263,0.04104080,0.04176369,0.30940728
-5.87993997,0.91884877,0.00964570,0.03548905,0.12302840,0.24677196,0.04042219,0.04329709,0.31967891
-5.87393697,0.95004814,0.01006231,0.03663744,0.12761607,0.25415321,0.04024584,0.04487154,0.33158342
-5.86793397,0.98426637,0.01069035,0.03767100,0.13325233,0.26202770,0.04055669,0.04644791,0.34506427
-5.86193097,1.02130358,0.01155771,0.03857372,0.14003159,0.27032020,0.04140508,0.04798945,0.36008391
-5.85592796,1.06101702,0.01269195,0.03933249,0.14806015,0.27896937,0.04284566,0.04946261,0.37662437
-5.84992496,1.10331964,0.01411972,0.03993732,0.15745327,0.28792744,0.04493605,0.05083774,0.39468642
-5.84392196,1.14817536,0.01586610,0.04038133,0.16833137,0.29715923,0.04773512,0.05208967,0.41428737
-5.83791896,1.19559055,0.01795378,0.04066064,0.18081512,0.30664056,0.05130103,0.05319808,0.43545722
-5.83191596,1.24560195,0.02040223,0.04077434,0.19501967,0.31635588,0.05568882,0.05414779,0.45823332
-5.82591296,1.29826125,0.02322674,0.04072418,0.21104804,0.32629539,0.06094781,0.05492874,0.48265351
-5.81990995,1.35361664,0.02643739,0.04051440,0.22898383,0.33645168,0.06711872,0.05553587,0.50874790
-5.81390695,1.41169215,0.03003805,0.04015135,0.24888359,0.34681591,0.07423062,0.05596876,0.53652970
-5.80790395,1.47246561,0.03402533,0.03964327,0.27076903,0.35737389,0.08229788,0.05623113,0.56598532
-5.80190095,1.53584627,0.03838769,0.03899985,0.29461958,0.36810210,0.09131713,0.05633020,0.59706444
-5.79589795,1.60165338,0.04310462,0.03823198,0.32036552,0.37896395,0.10126462,0.05627594,0.62967039
-5.78989495,1.66959706,0.04814601,0.03735137,0.34788222,0.38990642,0.11209379,0.05608025,0.66365162
-5.78389195,1.73926263,0.05347177,0.03637030,0.37698597,0.40085736,0.12373363,0.05575614,0.69879483
-5.77788894,1.81009988,0.05903185,0.03530128,0.40743156,0.41172369,0.13608762,0.05531691,0.73482033
-5.77188594,1.88141828,0.06476644,0.03415685,0.43891224,0.42239054,0.14903373,0.05477542,0.77138018
-5.76588294,1.95238902,0.07060676,0.03294936,0.47106208,0.43272162,0.16242534,0.05414345,0.80805957
-5.75987994,2.02205452,0.07647609,0.03169078,0.50346107,0.44256076,0.17609331,0.05343122,0.84438168
-5.75387694,2.08934560,0.08229132,0.03039257,0.53564290,0.45173485,0.18984925,0.05264701,0.87981616
-5.74787394,2.15310612,0.08796487,0.02906556,0.56710537,0.46005784,0.20348977,0.05179706,0.91379110
-5.74187094,2.21212449,0.09340691,0.02771990,0.59732315,0.46733600,0.21680197,0.05088556,0.94570833
-5.73586793,2.26517100,0.09852794,0.02636498,0.62576256,0.47337407,0.22956968,0.04991481,0.97496132
-5.72986493,2.31103950,0.10324148,0.02500945,0.65189779,0.47798206,0.24158044,0.04888557,1.00095527
-5.72386193,2.34859178,0.10746694,0.02366118,0.67522800,0.48098251,0.25263293,0.04779747,1.02312838
-5.71785893,2.37680251,0.11113236,0.02232733,0.69529448,0.48221783,0.26254456,0.04664960,1.04097339
-5.71185593,2.39480267,0.11417713,0.02101434,0.71169727,0.48155727,0.27115878,0.04544102,1.05405837
-5.70585293,2.40191929,0.11655434,0.01972802,0.72411028,0.47890335,0.27835198,0.04417133,1.06204578
-5.69984992,2.39770944,0.11823277,0.01847360,0.73229431,0.47419726,0.28403940,0.04284129,1.06470866
-5.69384692,2.38198650,0.11919842,0.01725576,0.73610725,0.46742299,0.28817994,0.04145318,1.06194326
-5.68784392,2.35483745,0.11945540,0.01607872,0.73551096,0.45860995,0.29077949,0.04001125,1.05377727
-5.68184092,2.31662974,0.11902625,0.01494630,0.73057434,0.44783388,0.29189254,0.03852190,1.04037307
-5.67583792,2.26800747,0.11795157,0.01386195,0.72147250,0.43521602,0.29162204,0.03699380,1.02202593
-5.66983492,2.20987650,0.11628891,0.01282881,0.70848192,0.42092046,0.29011733,0.03543781,0.99915684
-5.66383192,2.14337923,0.11411111,0.01184971,0.69197170,0.40514981,0.28757014,0.03386679,0.97230040
-5.65782891,2.06985982,0.11150399,0.01092722,0.67239145,0.38813936,0.28420893,0.03229525,0.94208818
-5.65182591,1.99082141,0.10856354,0.01006362,0.65025606,0.37015000,0.28029150,0.03073892,0.90922814
-5.64582291,1.90787709,0.10539278,0.00926088,0.62612828,0.35146011,0.27609634,0.02921414,0.87448115
-5.63981991,1.82269682,0.10209822,0.00852068,0.60059958,0.33235694,0.27191290,0.02773730,0.83863546
-5.63381691,1.73695244,0.09878631,0.00784431,0.57427037,0.31312769,0.26803119,0.02632420,0.80248028
-5.62781391,1.65226324,0.09555986,0.00723264,0.54773020,0.29405078,0.26473110,0.02498940,0.76677957
-5.62181091,1.57014421,0.09251454,0.00668609,0.52153888,0.27538766,0.26227186,0.02374563,0.73224715
-5.61580790,1.49195923,0.08973580,0.00620455,0.49620923,0.25737546,0.26088205,0.02260330,0.69952404
-5.60980490,1.41888077,0.08729601,0.00578733,0.47219208,0.24022073,0.26075046,0.02157004,0.66915907
-5.60380190,1.35185781,0.08525229,0.00543312,0.44986415,0.22409461,0.26201837,0.02065042,0.64159329
-5.59779890,1.29159291,0.08364478,0.00513994,0.42951902,0.20912941,0.26477333,0.01984575,0.61714886
-5.59179590,1.23852913,0.08249559,0.00490514,0.41136167,0.19541686,0.26904484,0.01915408,0.59602270
-5.58579290,1.19284697,0.08180844,0.00472535,0.39550641,0.18300780,0.27480209,0.01857028,0.57828494
-5.57978989,1.15447109,0.08156898,0.00459657,0.38197839,0.17191350,0.28195382,0.01808627,0.56388219
-5.57378689,1.12308628,0.08174568,0.00451413,0.37071827,0.16210823,0.29035040,0.01769144,0.55264535
-5.56778389,1.09816159,0.08229139,0.00447279,0.36158979,0.15353313,0.29978806,0.01737303,0.54430131
-5.56178089,1.07898147,0.08314547,0.00446682,0.35438992,0.14610091,0.31001514,0.01711675,0.53848828
-5.55577789,1.06468234,0.08423627,0.00449009,0.34886084,0.13970140,0.32074004,0.01690736,0.53477373
-5.54977489,1.05429305,0.08548403,0.00453617,0.34470350,0.13420747,0.33164085,0.01672928,0.53267425
-5.54377189,1.04677738,0.08680401,0.00459852,0.34159182,0.12948111,0.34237598,0.01656726,0.53167664
-5.53776888,1.04107710,0.08810972,0.00467059,0.33918731,0.12537961,0.35259570,0.01640698,0.53125911
-5.53176588,1.03615355,0.08931614,0.00474597,0.33715321,0.12176121,0.36195387,0.01623559,0.53091193
-5.52576288,1.03102666,0.09034282,0.00481857,0.33516782,0.11849047,0.37011967,0.01604221,0.53015686
-5.51975988,1.02480962,0.09111673,0.00488274,0.33293656,0.11544283,0.37678866,0.01581833,0.52856433
-5.51375688,1.01673840,0.09157478,0.00493344,0.33020223,0.11250845,0.38169292,0.01555809,0.52576816
-5.50775388,1.00619496,0.09166588,0.00496635,0.32675330,0.10959515,0.38460973,0.01525843,0.52147715
-5.50175088,0.99272384,0.09135253,0.00497795,0.32242996,0.10663039,0.38536850,0.01491920,0.51548326
-5.49574787,0.97604153,0.09061179,0.00496569,0.31712783,0.10356239,0.38385583,0.01454305,0.50766618
-5.48974487,0.95603884,0.08943578,0.00492796,0.31079932,0.10036026,0.38001826,0.01413528,0.49799441
-5.48374187,0.93277642,0.08783151,0.00486423,0.30345276,0.09701339,0.37386297,0.01370357,0.48652272
-5.47773887,0.90647399,0.08582017,0.00477503,0.29514934,0.09353000,0.36545613,0.01325762,0.47338647
-5.47173587,0.87749399,0.08343596,0.00466196,0.28599831,0.08993519,0.35491932,0.01280871,0.45879303
-5.46573287,0.84632075,0.08072441,0.00452775,0.27615054,0.08626836,0.34242404,0.01236926,0.44301084
-5.45972986,0.81353595,0.07774041,0.00437620,0.26579095,0.08258042,0.32818466,0.01195228,0.42635652
-5.45372686,0.77979190,0.07454584,0.00421224,0.25513016,0.07893069,0.31245029,0.01157085,0.40918083
-5.44772386,0.74578360,0.07120721,0.00404193,0.24439566,0.07538383,0.29549569,0.01123761,0.39185393
-5.44172086,0.71222085,0.06779309,0.00387254,0.23382315,0.07200680,0.27761196,0.01096428,0.37475060
-5.43571786,0.67980161,0.06437164,0.00371257,0.22364811,0.06886605,0.25909719,0.01076119,0.35823600
-5.42971486,0.64918755,0.06100828,0.00357193,0.21409832,0.06602507,0.24024752,0.01063688,0.34265263
-5.42371186,0.62098276,0.05776357,0.00346209,0.20538727,0.06354227,0.22134905,0.01059777,0.32830869
-5.41770885,0.59571637,0.05469139,0.00339630,0.19770904,0.06146943,0.20267065,0.01064794,0.31546862
-5.41170585,0.57382961,0.05183752,0.00338985,0.19123459,0.05985064,0.18445825,0.01078892,0.30434570
-5.40570285,0.55566760,0.04923851,0.00346041,0.18610978,0.05872179,0.16693030,0.01101964,0.29509726
-5.39969985,0.54147610,0.04692111,0.00362838,0.18245490,0.05811066,0.15027487,0.01133646,0.28782240
-5.39369685,0.53140314,0.04490205,0.00391731,0.18036600,0.05803750,0.13464814,0.01173325,0.28256226
-5.38769385,0.52550519,0.04318817,0.00435425,0.17991757,0.05851612,0.12017420,0.01220163,0.27930275
-5.38169085,0.52375737,0.04177710,0.00497020,0.18116658,0.05955538,0.10694615,0.01273124,0.27797945
-5.37568784,0.52606722,0.04065807,0.00580041,0.18415754,0.06116103,0.09502818,0.01331009,0.27848457
-5.36968484,0.53229103,0.03981317,0.00688467,0.18892828,0.06333768,0.08445848,0.01392498,0.28067532
-5.36368184,0.54225189,0.03921874,0.00826741,0.19551593,0.06609095,0.07525268,0.01456202,0.28438352
-5.35767884,0.55575844,0.03884688,0.00999771,0.20396291,0.06942949,0.06740765,0.01520705,0.28942582
-5.35167584,0.57262324,0.03866710,0.01212905,0.21432230,0.07336682,0.06090537,0.01584622,0.29561405
-5.34567284,0.59267965,0.03864791,0.01471877,0.22666213,0.07792277,0.05571658,0.01646646,0.30276525
-5.33966983,0.61579622,0.03875833,0.01782731,0.24106838,0.08312449,0.05180425,0.01705595,0.31071073
-5.33366683,0.64188759,0.03896928,0.02151704,0.25764598,0.08900679,0.04912639,0.01760451,0.31930387
-5.32766383,0.67092123,0.03925473,0.02585076,0.27651782,0.09561171,0.04763834,0.01810402,0.32842620
-5.32166083,0.70291914,0.03959265,0.03088987,0.29782135,0.10298739,0.04729442,0.01854857,0.33799131
-5.31565783,0.73795448,0.03996562,0.03669209,0.32170271,0.11118597,0.04804871,0.01893472,0.34794661
-5.30965483,0.77614280,0.04036119,0.04330897,0.34830855,0.12026075,0.04985531,0.01926145,0.35827262
-5.30365183,0.81762816,0.04077189,0.05078308,0.37777555,0.13026255,0.05266783,0.01953015,0.36897995
-5.29764882,0.86256468,0.04119498,0.05914500,0.41021816,0.14123540,0.05643834,0.01974443,0.38010405
-5.29164582,0.91109441,0.04163194,0.06841028,0.44571493,0.15321180,0.06111596,0.01990981,0.39169810
-5.28564282,0.96332253,0.04208770,0.07857644,0.48429418,0.16620760,0.06664504,0.02003341,0.40382434
