energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,3.21703617,0.05886872,0.49521147,0.51573095,0.00000000,1.58579739,0.00000000,1.10649494,0.75643180
-5.99399700,3.15335154,0.05974286,0.48375849,0.51869315,0.00000000,1.56007142,0.00000000,1.09173041,0.73988834
-5.98799400,3.09318484,0.06072595,0.47343855,0.52143289,0.00000000,1.53466973,0.00000000,1.07902416,0.72569662
-5.98199100,3.03748897,0.06182469,0.46424689,0.52415587,0.00000000,1.51025477,0.00000000,1.06875244,0.71378974
-5.97598799,2.98720998,0.06304385,0.45618197,0.52707333,0.00000000,1.48749272,0.00000000,1.06127555,0.70410032
-5.96998499,2.94325911,0.06438613,0.44924524,0.53039408,0.00000000,1.46703420,0.00000000,1.05692692,0.69656104
-5.96398199,2.90648469,0.06585216,0.44344043,0.53431643,0.00000000,1.44949528,0.00000000,1.05600224,0.69110436
-5.95797899,2.87764519,0.06744050,0.43877248,0.53902044,0.00000000,1.43543927,0.00000000,1.05874891,0.68766181
-5.95197599,2.85738423,0.06914776,0.43524619,0.54466071,0.00000000,1.42536005,0.00000000,1.06535629,0.68616268
-5.94597299,2.84620853,0.07096865,0.43286473,0.55135999,0.00000000,1.41966730,0.00000000,1.07594674,0.68653258
-5.93996998,2.84446941,0.07289607,0.43162793,0.55920396,0.00000000,1.41867423,0.00000000,1.09056802,0.68869174
-5.93396698,2.85234858,0.07492124,0.43153066,0.56823724,0.00000000,1.42258805,0.00000000,1.10918717,0.69255345
-5.92796398,2.86984851,0.07703372,0.43256111,0.57846090,0.00000000,1.43150355,0.00000000,1.13168616,0.69802249
-5.92196098,2.89678790,0.07922151,0.43469925,0.58983155,0.00000000,1.44539994,0.00000000,1.15785955,0.70499394
-5.91595798,2.93280219,0.08147108,0.43791543,0.60226214,0.00000000,1.46414102,0.00000000,1.18741446,0.71335224
-5.90995498,2.97734941,0.08376740,0.44216919,0.61562427,0.00000000,1.48747887,0.00000000,1.21997287,0.72297076
-5.90395198,3.02972100,0.08609395,0.44740834,0.62975222,0.00000000,1.51506064,0.00000000,1.25507659,0.73371181
-5.89794897,3.08905751,0.08843281,0.45356832,0.64444842,0.00000000,1.54643868,0.00000000,1.29219477,0.74542719
-5.89194597,3.15436864,0.09076472,0.46057197,0.65949014,0.00000000,1.58108332,0.00000000,1.33073401,0.75795931
-5.88594297,3.22455715,0.09306919,0.46832955,0.67463737,0.00000000,1.61839823,0.00000000,1.37005091,0.77114275
-5.87993997,3.29844568,0.09532465,0.47673922,0.68964132,0.00000000,1.65773759,0.00000000,1.40946675,0.78480632
