energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,5.91405920,-10.19686705,0.03534001,-0.13624698,0.52535129,-0.99181459,1.38342099,-1.87307693,0.84086603,-0.91851323,0.12806091,-0.10209609,2.57929283,-4.71809810,0.70848485,-1.81167001,0.31412856,-0.39838112
-5.99399700,6.04543178,-9.96627701,0.03859283,-0.12960135,0.54533800,-0.96142286,1.42505114,-1.83979246,0.86499405,-0.88889564,0.12868712,-0.10174701,2.62898312,-4.62567144,0.74378008,-1.75965795,0.32792692,-0.38828188
-5.98799400,6.18840479,-9.70316181,0.04191027,-0.12268667,0.56626737,-0.92779378,1.47135476,-1.79903508,0.88988397,-0.85649581,0.12911266,-0.10132189,2.68432663,-4.51804547,0.78210682,-1.70135267,0.34224824,-0.37731044
-5.98199100,6.33988533,-9.41179105,0.04524432,-0.11557763,0.58778385,-0.89146584,1.52137168,-1.75170815,0.91510852,-0.82177583,0.12932803,-0.10083343,2.74401616,-4.39703346,0.82284982,-1.63773644,0.35687379,-0.36566703
-5.97598799,6.49630842,-9.09689260,0.04854319,-0.10835165,0.60948135,-0.85302484,1.57397457,-1.69884512,0.94018246,-0.78522987,0.12932198,-0.10029341,2.80654125,-4.26466662,0.86530589,-1.56989439,0.37155784,-0.35356228
-5.96998499,6.65371656,-8.76355111,0.05175239,-0.10108713,0.63091165,-0.81309155,1.62789499,-1.64158823,0.96457260,-0.74737275,0.12908149,-0.09971253,2.87022320,-4.12315044,0.90869941,-1.49898919,0.38603283,-0.34121322
-5.96398199,6.80785978,-8.41709940,0.05481599,-0.09386156,0.65159509,-0.77230879,1.68175613,-1.58116465,0.98771116,-0.70872839,0.12859187,-0.09910030,2.93325833,-3.97481725,0.95220153,-1.42623374,0.40001578,-0.32883934
-5.95797899,6.95431411,-8.06300602,0.05767811,-0.08674983,0.67103360,-0.73132827,1.73411115,-1.51886086,1.00901182,-0.66981837,0.12783717,-0.09846510,2.99376858,-3.82207658,0.99495261,-1.35286280,0.41321581,-0.31665877
-5.95197599,7.08861468,-7.70676245,0.06028445,-0.07982254,0.68872539,-0.69079756,1.78348608,-1.45599578,1.02788821,-0.63115103,0.12680076,-0.09781426,3.04985791,-3.66736469,1.03608724,-1.28010439,0.42534255,-0.30488466
-5.94597299,7.20639898,-7.35377292,0.06258400,-0.07314457,0.70418090,-0.65134758,1.82842587,-1.39389335,1.04377382,-0.59321153,0.12546614,-0.09715430,3.09967281,-3.51309478,1.07476109,-1.20915195,0.43611507,-0.29372186
-5.93996998,7.30355470,-7.00924957,0.06453061,-0.06677387,0.71693924,-0.61358090,1.86754183,-1.33385500,1.05614270,-0.55645306,0.12381790,-0.09649122,3.14146445,-3.36160895,1.11017852,-1.14113797,0.44527110,-0.28336382
-5.93396698,7.37636612,-6.67811511,0.06608457,-0.06076056,0.72658455,-0.57806104,1.89955862,-1.27713273,1.06452973,-0.52128942,0.12184279,-0.09583080,3.17365017,-3.21513306,1.14161988,-1.07710969,0.45257598,-0.27398983
-5.92796398,7.42165248,-6.36491482,0.06721394,-0.05514624,0.73276146,-0.54530284,1.92335892,-1.22490312,1.06854963,-0.48808901,0.11953090,-0.09517901,3.19487163,-3.07573537,1.16846744,-1.01800759,0.45783110,-0.26576258
-5.92196098,7.43689200,-6.07373885,0.06789573,-0.04996376,0.73518889,-0.51576418,1.93802389,-1.17824278,1.06791376,-0.45717040,0.11687672,-0.09454235,3.20404686,-2.94528949,1.19022864,-0.96464693,0.46088121,-0.25882584
-5.91595798,7.42032547,-5.80815563,0.06811671,-0.04523708,0.73367164,-0.48983888,1.94286753,-1.13810568,1.06244366,-0.42879924,0.11388025,-0.09392810,3.20041385,-2.82544216,1.20655583,-0.91770268,0.46162049,-0.25330248
-5.90995498,7.37103437,-5.57115682,0.06787401,-0.04098158,0.72810913,-0.46785084,1.93746364,-1.10530269,1.05208074,-0.40318656,0.11054784,-0.09334458,3.18356351,-2.71758618,1.21726123,-0.87769810,0.45999687,-0.24929262
-5.90395198,7.28898927,-5.36511363,0.06717518,-0.03720445,0.71850083,-0.45004941,1.92166389,-1.08048363,1.03689156,-0.38048822,0.10689286,-0.09280115,3.15346011,-2.62283856,1.22232668,-0.84499680,0.45601436,-0.24687189
-5.89794897,7.17506597,-5.19174463,0.06603810,-0.03390532,0.70494818,-0.43660590,1.89560641,-1.06412228,1.01706828,-0.36080539,0.10293609,-0.09230817,3.11044831,-2.54202400,1.22190736,-0.81979858,0.44973341,-0.24608985
-5.89194597,7.03102821,-5.05209468,0.06449030,-0.03107702,0.68765287,-0.42761123,1.85971438,-1.05650453,0.99292433,-0.34418582,0.09870581,-0.09187671,3.05524601,-2.47566383,1.21632945,-0.80213874,0.44126906,-0.24696862
