energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,4.15928435,0.15481181,0.25881730,0.04063826,0.00000000,1.60488504,0.00000000,1.07608012,0.83088742
-5.99399700,4.22425908,0.15658867,0.26823721,0.04109611,0.00000000,1.63525666,0.00000000,1.10155679,0.83556607
-5.98799400,4.28238123,0.15794650,0.27775545,0.04151220,0.00000000,1.66338877,0.00000000,1.12626474,0.83813393
-5.98199100,4.33321658,0.15886514,0.28730613,0.04188535,0.00000000,1.68907508,0.00000000,1.15002230,0.83856101
-5.97598799,4.37632272,0.15932900,0.29681044,0.04221353,0.00000000,1.71209785,0.00000000,1.17261739,0.83683360
-5.96998499,4.41125454,0.15932759,0.30617726,0.04249391,0.00000000,1.73223027,0.00000000,1.19381051,0.83295497
-5.96398199,4.43757280,0.15885595,0.31530440,0.04272288,0.00000000,1.74924054,0.00000000,1.21333966,0.82694606
-5.95797899,4.45485554,0.15791495,0.32408055,0.04289619,0.00000000,1.76289730,0.00000000,1.23092688,0.81884593
-5.95197599,4.46271162,0.15651140,0.33238781,0.04300908,0.00000000,1.77297644,0.00000000,1.24628629,0.80871207
-5.94597299,4.46079610,0.15465802,0.34010473,0.04305651,0.00000000,1.77926880,0.00000000,1.25913322,0.79662031
-5.93996998,4.44882660,0.15237318,0.34710975,0.04303337,0.00000000,1.78158858,0.00000000,1.26919407,0.78266448
-5.93396698,4.42659993,0.14968056,0.35328493,0.04293475,0.00000000,1.77978210,0.00000000,1.27621661,0.76695566
-5.92796398,4.39400852,0.14660854,0.35851971,0.04275619,0.00000000,1.77373639,0.00000000,1.27998005,0.74962114
-5.92196098,4.35105556,0.14318961,0.36271466,0.04249399,0.00000000,1.76338740,0.00000000,1.28030473,0.73080304
-5.91595798,4.29786853,0.13945952,0.36578506,0.04214541,0.00000000,1.74872732,0.00000000,1.27706076,0.71065671
-5.90995498,4.23471003,0.13545654,0.36766395,0.04170896,0.00000000,1.72981060,0.00000000,1.27017543,0.68934886
-5.90395198,4.16198562,0.13122055,0.36830485,0.04118454,0.00000000,1.70675845,0.00000000,1.25963890,0.66705556
-5.89794897,4.08024794,0.12679228,0.36768372,0.04057366,0.00000000,1.67976147,0.00000000,1.24550804,0.64396009
-5.89194597,3.99019673,0.12221244,0.36580026,0.03987949,0.00000000,1.64908012,0.00000000,1.22790807,0.62025075
-5.88594297,3.89267459,0.11752107,0.36267843,0.03910694,0.00000000,1.61504304,0.00000000,1.20703208,0.59611862
-5.87993997,3.78865811,0.11275686,0.35836617,0.03826264,0.00000000,1.57804309,0.00000000,1.18313827,0.57175528
-5.87393697,3.67924476,0.10795660,0.35293439,0.03735486,0.00000000,1.53853119,0.00000000,1.15654505,0.54735060
-5.86793397,3.56563550,0.10315482,0.34647516,0.03639335,0.00000000,1.49700808,0.00000000,1.12762421,0.52309061
-5.86193097,3.44911378,0.09838340,0.33909935,0.03538920,0.00000000,1.45401441,0.00000000,1.09679226,0.49915531
-5.85592796,3.33102137,0.09367142,0.33093361,0.03435455,0.00000000,1.41011920,0.00000000,1.06450051,0.47571677
-5.84992496,3.21273183,0.08904504,0.32211710,0.03330232,0.00000000,1.36590734,0.00000000,1.03122392,0.45293719
-5.84392196,3.09562244,0.08452749,0.31279776,0.03224589,0.00000000,1.32196644,0.00000000,0.99744941,0.43096716
-5.83791896,2.98104555,0.08013919,0.30312855,0.03119879,0.00000000,1.27887348,0.00000000,0.96366392,0.40994416
-5.83191596,2.87030022,0.07589783,0.29326365,0.03017436,0.00000000,1.23718174,0.00000000,0.93034256,0.38999109
-5.82591296,2.76460508,0.07181867,0.28335477,0.02918537,0.00000000,1.19740840,0.00000000,0.89793738,0.37121520
-5.81990995,2.66507331,0.06791470,0.27354771,0.02824381,0.00000000,1.16002337,0.00000000,0.86686700,0.35370712
-5.81390695,2.57269044,0.06419699,0.26397922,0.02736052,0.00000000,1.12543938,0.00000000,0.83750748,0.33754018
-5.80790395,2.48829563,0.06067498,0.25477429,0.02654502,0.00000000,1.09400394,0.00000000,0.81018458,0.32277000
-5.80190095,2.41256694,0.05735676,0.24604386,0.02580527,0.00000000,1.06599314,0.00000000,0.78516770,0.30943430
-5.79589795,2.34601100,0.05424939,0.23788308,0.02514759,0.00000000,1.04160752,0.00000000,0.76266561,0.29755299
-5.78989495,2.28895717,0.05135920,0.23037000,0.02457653,0.00000000,1.02097009,0.00000000,0.74282399,0.28712854
-5.78389195,2.24155639,0.04869206,0.22356484,0.02409489,0.00000000,1.00412645,0.00000000,0.72572478,0.27814651
-5.77788894,2.20378461,0.04625359,0.21750978,0.02370373,0.00000000,0.99104697,0.00000000,0.71138745,0.27057637
-5.77188594,2.17545065,0.04404941,0.21222911,0.02340248,0.00000000,0.98163094,0.00000000,0.69977193,0.26437253
-5.76588294,2.15620815,0.04208527,0.20772998,0.02318903,0.00000000,0.97571256,0.00000000,0.69078316,0.25947553
-5.75987994,2.14557139,0.04036720,0.20400352,0.02305996,0.00000000,0.97306854,0.00000000,0.68427713,0.25581344
-5.75387694,2.14293431,0.03890160,0.20102631,0.02301071,0.00000000,0.97342707,0.00000000,0.68006812,0.25330346
-5.74787394,2.14759245,0.03769526,0.19876225,0.02303582,0.00000000,0.97647803,0.00000000,0.67793711,0.25185357
-5.74187094,2.15876700,0.03675535,0.19716471,0.02312919,0.00000000,0.98188397,0.00000000,0.67764084,0.25136444
-5.73586793,2.17563039,0.03608938,0.19617892,0.02328431,0.00000000,0.98929178,0.00000000,0.67892148,0.25173135
-5.72986493,2.19733275,0.03570509,0.19574457,0.02349451,0.00000000,0.99834456,0.00000000,0.68151655,0.25284625
-5.72386193,2.22302840,0.03561026,0.19579846,0.02375322,0.00000000,1.00869334,0.00000000,0.68516873,0.25459982
-5.71785893,2.25190156,0.03581256,0.19627730,0.02405417,0.00000000,1.02000844,0.00000000,0.68963524,0.25688355
-5.71185593,2.28319058,0.03631925,0.19712034,0.02439155,0.00000000,1.03199002,0.00000000,0.69469664,0.25959182
-5.70585293,2.31620977,0.03713687,0.19827200,0.02476019,0.00000000,1.04437735,0.00000000,0.70016444,0.26262383
-5.69984992,2.35036811,0.03827092,0.19968412,0.02515563,0.00000000,1.05695674,0.00000000,0.70588747,0.26588540
-5.69384692,2.38518414,0.03972539,0.20131802,0.02557423,0.00000000,1.06956754,0.00000000,0.71175669,0.26929053
-5.68784392,2.42029638,0.04150233,0.20314605,0.02601313,0.00000000,1.08210615,0.00000000,0.71770814,0.27276277
-5.68184092,2.45546890,0.04360139,0.20515272,0.02647025,0.00000000,1.09452769,0.00000000,0.72372390,0.27623617
-5.67583792,2.49059156,0.04601926,0.20733518,0.02694418,0.00000000,1.10684535,0.00000000,0.72983113,0.27965594
-5.66983492,2.52567495,0.04874914,0.20970318,0.02743411,0.00000000,1.11912728,0.00000000,0.73609886,0.28297870
-5.66383192,2.56084001,0.05178026,0.21227834,0.02793960,0.00000000,1.13149102,0.00000000,0.74263299,0.28617227
-5.65782891,2.59630262,0.05509733,0.21509282,0.02846047,0.00000000,1.14409579,0.00000000,0.74956933,0.28921513
-5.65182591,2.63235375,0.05868014,0.21818740,0.02899658,0.00000000,1.15713273,0.00000000,0.75706514,0.29209545
-5.64582291,2.66933580,0.06250315,0.22160903,0.02954759,0.00000000,1.17081342,0.00000000,0.76528940,0.29480975
