energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
-6.00000000,0.91571698,0.06613850,0.04579022,0.61992315,0.17351214,0.61910343,0.00000000,0.40983654,0.00000000
-5.99399700,0.93744963,0.06824981,0.04759287,0.64381074,0.17476189,0.63423039,0.00000000,0.42470381,0.00000000
-5.98799400,0.95866243,0.07011169,0.04935206,0.66619852,0.17576515,0.64835887,0.00000000,0.43963364,0.00000000
-5.98199100,0.97912014,0.07172437,0.05103647,0.68684834,0.17645798,0.66143179,0.00000000,0.45453665,0.00000000
-5.97598799,0.99864627,0.07309553,0.05261991,0.70558158,0.17678729,0.67343052,0.00000000,0.46934537,0.00000000
-5.96998499,1.01713228,0.07423996,0.05408281,0.72228670,0.17671307,0.68437941,0.00000000,0.48401729,0.00000000
-5.96398199,1.03454378,0.07517901,0.05541350,0.73692449,0.17620995,0.69434884,0.00000000,0.49853682,0.00000000
-5.95797899,1.05092347,0.07593971,0.05660922,0.74953064,0.17526821,0.70345621,0.00000000,0.51291597,0.00000000
-5.95197599,1.06639077,0.07655379,0.05767676,0.76021559,0.17389396,0.71186501,0.00000000,0.52719384,0.00000000
-5.94597299,1.08113812,0.07705646,0.05863275,0.76916167,0.17210885,0.71978186,0.00000000,0.54143493,0.00000000
-5.93996998,1.09542425,0.07748514,0.05950356,0.77661753,0.16994909,0.72745140,0.00000000,0.55572631,0.00000000
-5.93396698,1.10956461,0.07787810,0.06032466,0.78289009,0.16746393,0.73514945,0.00000000,0.57017380,0.00000000
-5.92796398,1.12391930,0.07827320,0.06113971,0.78833422,0.16471380,0.74317431,0.00000000,0.58489727,0.00000000
-5.92196098,1.13887901,0.07870657,0.06199905,0.79334056,0.16176802,0.75183668,0.00000000,0.60002520,0.00000000
-5.91595798,1.15484936,0.07921146,0.06295797,0.79832174,0.15870240,0.76144833,0.00000000,0.61568859,0.00000000
-5.90995498,1.17223413,0.07981723,0.06407454,0.80369756,0.15559659,0.77231004,0.00000000,0.63201452,0.00000000
-5.90395198,1.19141793,0.08054843,0.06540730,0.80987953,0.15253159,0.78469901,0.00000000,0.64911928,0.00000000
