energy_ev,total_up,Au_p_up,Au_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.75088034,0.15897771,0.49615775,0.17584067,0.04639445,0.00031738,0.03626643,0.00158061,0.16689433
-5.99399700,0.73521210,0.14438617,0.50085521,0.16094624,0.04351733,0.00030362,0.03314128,0.00148472,0.15464797
-5.98799400,0.72598675,0.13076131,0.51016477,0.14721090,0.04109060,0.00029562,0.03021727,0.00140739,0.14360152
-5.98199100,0.72309195,0.11816178,0.52395982,0.13468617,0.03910172,0.00029357,0.02751090,0.00134877,0.13372543
-5.97598799,0.72630480,0.10662224,0.54203810,0.12339728,0.03753220,0.00029759,0.02503290,0.00130861,0.12497139
-5.96998499,0.73529876,0.09615477,0.56412551,0.11334472,0.03635812,0.00030772,0.02278846,0.00128633,0.11727504
-5.96398199,0.74965294,0.08675071,0.58988154,0.10450638,0.03555085,0.00032393,0.02077758,0.00128104,0.11055903
-5.95797899,0.76886322,0.07838304,0.61890595,0.09684007,0.03507779,0.00034610,0.01899558,0.00129156,0.10473630
-5.95197599,0.79235480,0.07100898,0.65074672,0.09028628,0.03490321,0.00037404,0.01743362,0.00131647,0.09971336
-5.94597299,0.81949601,0.06457282,0.68490895,0.08477115,0.03498908,0.00040747,0.01607939,0.00135415,0.09539360
-5.93996998,0.84961264,0.05900880,0.72086449,0.08020952,0.03529595,0.00044599,0.01491776,0.00140278,0.09168027
-5.93396698,0.88200286,0.05424400,0.75806210,0.07650782,0.03578384,0.00048914,0.01393146,0.00146045,0.08847941
-5.92796398,0.91595200,0.05020111,0.79593801,0.07356700,0.03641301,0.00053633,0.01310181,0.00152511,0.08570225
-5.92196098,0.95074728,0.04680106,0.83392649,0.07128518,0.03714482,0.00058690,0.01240933,0.00159467,0.08326738
-5.91595798,0.98569191,0.04396535,0.87147049,0.06956012,0.03794250,0.00064008,0.01183440,0.00166702,0.08110247
-5.90995498,1.02011853,0.04161820,0.90803193,0.06829146,0.03877180,0.00069503,0.01135780,0.00174006,0.07914555
-5.90395198,1.05340172,0.03968834,0.94310166,0.06738268,0.03960171,0.00075081,0.01096117,0.00181172,0.07734599
