energy_ev,total_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.31743552,0.00749766,0.00000000,0.36254682,0.39346305,0.00552301,0.12912294,0.00715574,0.71968286
-5.99399700,1.37175782,0.00783457,0.00000000,0.37958199,0.40985453,0.00561497,0.13482311,0.00729928,0.74965542
-5.98799400,1.42227611,0.00815175,0.00000000,0.39539839,0.42495034,0.00570565,0.14012343,0.00744260,0.77767690
-5.98199100,1.46818591,0.00844529,0.00000000,0.40981041,0.43848900,0.00579096,0.14495376,0.00757957,0.80332275
-5.97598799,1.50883067,0.00871214,0.00000000,0.42267574,0.45025230,0.00586747,0.14925913,0.00770479,0.82624889
-5.96998499,1.54372605,0.00895016,0.00000000,0.43390103,0.46007278,0.00593264,0.15300188,0.00781370,0.84620453
-5.96398199,1.57257681,0.00915827,0.00000000,0.44344562,0.46783912,0.00598499,0.15616307,0.00790276,0.86304091
-5.95797899,1.59528551,0.00933642,0.00000000,0.45132294,0.47349913,0.00602423,0.15874311,0.00796953,0.87671548
-5.95197599,1.61195247,0.00948563,0.00000000,0.45759956,0.47706021,0.00605134,0.16076156,0.00801272,0.88729131
-5.94597299,1.62286706,0.00960786,0.00000000,0.46239193,0.47858730,0.00606861,0.16225608,0.00803220,0.89493166
-5.93996998,1.62849074,0.00970594,0.00000000,0.46586085,0.47819829,0.00607963,0.16328069,0.00802891,0.89989006
-5.93396698,1.62943277,0.00978339,0.00000000,0.46820410,0.47605738,0.00608926,0.16390326,0.00800476,0.90249645
-5.92796398,1.62641998,0.00984425,0.00000000,0.46964747,0.47236660,0.00610347,0.16420259,0.00796253,0.90314003
-5.92196098,1.62026215,0.00989285,0.00000000,0.47043476,0.46735604,0.00612924,0.16426508,0.00790563,0.90224980
-5.91595798,1.61181504,0.00993363,0.00000000,0.47081734,0.46127329,0.00617433,0.16418123,0.00783798,0.90027396
-5.90995498,1.60194290,0.00997088,0.00000000,0.47104367,0.45437276,0.00624703,0.16404222,0.00776371,0.89765913
-5.90395198,1.59148267,0.01000858,0.00000000,0.47134949,0.44690541,0.00635592,0.16393662,0.00768703,0.89483063
-5.89794897,1.58121157,0.01005022,0.00000000,0.47194920,0.43910936,0.00650956,0.16394760,0.00761198,0.89217484
-5.89194597,1.57181985,0.01009862,0.00000000,0.47302879,0.43120210,0.00671619,0.16415058,0.00754227,0.89002465
-5.88594297,1.56389000,0.01015593,0.00000000,0.47474070,0.42337438,0.00698341,0.16461154,0.00748110,0.88864859
-5.87993997,1.55788332,0.01022351,0.00000000,0.47720088,0.41578626,0.00731786,0.16538607,0.00743102,0.88824430
-5.87393697,1.55413422,0.01030195,0.00000000,0.48048808,0.40856533,0.00772498,0.16651904,0.00739387,0.88893651
-5.86793397,1.55285245,0.01039119,0.00000000,0.48464534,0.40180718,0.00820868,0.16804504,0.00737069,0.89077954
-5.86193097,1.55413248,0.01049055,0.00000000,0.48968352,0.39557781,0.00877119,0.16998927,0.00736169,0.89376404
-5.85592796,1.55796941,0.01059891,0.00000000,0.49558651,0.38991787,0.00941286,0.17236909,0.00736633,0.89782743
-5.84992496,1.56427998,0.01071491,0.00000000,0.50231786,0.38484825,0.01013207,0.17519572,0.00738330,0.90286735
-5.84392196,1.57292723,0.01083708,0.00000000,0.50982813,0.38037660,0.01092516,0.17847621,0.00741064,0.90875718
-5.83791896,1.58374711,0.01096411,0.00000000,0.51806279,0.37650425,0.01178654,0.18221540,0.00744584,0.91536266
-5.83191596,1.59657522,0.01109498,0.00000000,0.52696978,0.37323310,0.01270873,0.18641770,0.00748595,0.92255859
-5.82591296,1.61127203,0.01122919,0.00000000,0.53650659,0.37057184,0.01368263,0.19108858,0.00752773,0.93024444
-5.81990995,1.62774491,0.01136684,0.00000000,0.54664616,0.36854122,0.01469774,0.19623565,0.00756780,0.93835816
-5.81390695,1.64596560,0.01150881,0.00000000,0.55738130,0.36717788,0.01574254,0.20186925,0.00760276,0.94688701
-5.80790395,1.66598205,0.01165673,0.00000000,0.56872750,0.36653651,0.01680485,0.20800243,0.00762930,0.95587494
-5.80190095,1.68792370,0.01181304,0.00000000,0.58072362,0.36669020,0.01787227,0.21465044,0.00764439,0.96542599
-5.79589795,1.71200002,0.01198092,0.00000000,0.59343074,0.36772884,0.01893264,0.22182970,0.00764534,0.97570322
