energy_ev,total_up,Ag_p_up,Ag_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,6.50651674,1.79813206,3.21232377,0.90433493,0.81330928,0.00214300,0.67128453,0.01563233,1.55495687
-5.99399700,6.54105712,1.80693149,3.22687813,0.90920429,0.82227860,0.00215075,0.67181040,0.01559974,1.56743089
-5.98799400,6.56601766,1.81645796,3.23770280,0.91263970,0.82820323,0.00216285,0.67159320,0.01555917,1.57647032
-5.98199100,6.58196125,1.82691176,3.24510051,0.91480176,0.83109138,0.00217988,0.67069482,0.01551539,1.58219899
-5.97598799,6.58955501,1.83843419,3.24940272,0.91586780,0.83101303,0.00220248,0.66917835,0.01547355,1.58479688
-5.96998499,6.58954214,1.85109856,3.25095748,0.91602346,0.82809639,0.00223133,0.66710594,0.01543896,1.58449095
-5.96398199,6.58270910,1.86490235,3.25011554,0.91545370,0.82252236,0.00226712,0.66453662,0.01541698,1.58154415
-5.95797899,6.56984959,1.87976080,3.24721545,0.91433410,0.81451703,0.00231049,0.66152390,0.01541271,1.57624280
-5.95197599,6.55172745,1.89550267,3.24256846,0.91282243,0.80434279,0.00236202,0.65811344,0.01543083,1.56888333
-5.94597299,6.52904043,1.91186855,3.23644397,0.91105142,0.79228836,0.00242218,0.65434095,0.01547529,1.55975883
-5.93996998,6.50238705,1.92851208,3.22905656,0.90912264,0.77865827,0.00249133,0.65023039,0.01554914,1.54914629
-5.93396698,6.47223842,1.94500463,3.22055523,0.90710226,0.76376227,0.00256965,0.64579257,0.01565432,1.53729515
-5.92796398,6.43891702,1.96084334,3.21101577,0.90501852,0.74790521,0.00265715,0.64102448,0.01579142,1.52441777
-5.92196098,6.40258356,1.97546280,3.20043659,0.90286130,0.73137780,0.00275365,0.63590916,0.01595964,1.51068234
-5.91595798,6.36323306,1.98824993,3.18873861,0.90058361,0.71444862,0.00285877,0.63041640,0.01615667,1.49620854
-5.90995498,6.32070052,1.99856196,3.17576920,0.89810504,0.69735782,0.00297193,0.62450422,0.01637868,1.48106625
-5.90395198,6.27467589,2.00574673,3.16131020,0.89531686,0.68031252,0.00309232,0.61812095,0.01662039,1.46527705
-5.89794897,6.22472794,2.00916466,3.14508959,0.89208839,0.66348425,0.00321897,0.61120819,0.01687516,1.44881871
-5.89194597,6.17033546,2.00821155,3.12679650,0.88827454,0.64700817,0.00335068,0.60370414,0.01713519,1.43163204
-5.88594297,6.11092457,2.00234119,3.10609868,0.88372381,0.63098421,0.00348610,0.59554748,0.01739175,1.41362976
-5.87993997,6.04590981,1.99108687,3.08266171,0.87828648,0.61547965,0.00362369,0.58668146,0.01763544,1.39470691
-5.87393697,5.97473720,1.97408079,3.05616904,0.87182258,0.60053318,0.00376177,0.57705803,0.01785650,1.37475196
-5.86793397,5.89692682,1.95107043,3.02634189,0.86420919,0.58615976,0.00389855,0.56664194,0.01804518,1.35365827
-5.86193097,5.81211283,1.92193120,2.99295811,0.85534679,0.57235618,0.00403212,0.55541439,0.01819203,1.33133488
-5.85592796,5.72007903,1.88667482,2.95586917,0.84516440,0.55910679,0.00416051,0.54337629,0.01828828,1.30771646
-5.84992496,5.62078812,1.84545291,2.91501453,0.83362333,0.54638908,0.00428170,0.53055085,0.01832613,1.28277160
-5.84392196,5.51440350,1.79855584,2.87043275,0.82071944,0.53417876,0.00439365,0.51698542,0.01829901,1.25650910
-5.83791896,5.40130254,1.74640679,2.82226904,0.80648393,0.52245409,0.00449437,0.50275242,0.01820185,1.22898218
-5.83191596,5.28208110,1.68955138,2.77077891,0.79098277,0.51119921,0.00458194,0.48794945,0.01803123,1.20029022
-5.82591296,5.15754905,1.62864343,2.71632790,0.77431476,0.50040638,0.00465454,0.47269852,0.01778551,1.17057810
