energy_ev,total_up,Cd_p_up,Cd_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,3.73038254,1.87781222,0.33693866,0.62716990,0.01059500,1.94997802,0.00000000
-5.99399700,3.78022884,1.90055901,0.34728278,0.64919167,0.01114026,1.94429863,0.00000000
-5.98799400,3.82868381,1.91921045,0.35786488,0.67255800,0.01175473,1.93416191,0.00000000
-5.98199100,3.87575589,1.93397686,0.36852248,0.69717021,0.01243149,1.92023005,0.00000000
-5.97598799,3.92153176,1.94519181,0.37908969,0.72293355,0.01316258,1.90327533,0.00000000
-5.96998499,3.96614726,1.95328802,0.38939925,0.74975236,0.01393905,1.88414576,0.00000000
-5.96398199,4.00975425,1.95876868,0.39928454,0.77752447,0.01475118,1.86372688,0.00000000
-5.95797899,4.05248537,1.96217591,0.40858183,0.80613496,0.01558859,1.84290165,0.00000000
-5.95197599,4.09441903,1.96405783,0.41713258,0.83544979,0.01644043,1.82251033,0.00000000
-5.94597299,4.13554654,1.96493579,0.42478581,0.86530969,0.01729553,1.80331234,0.00000000
-5.93996998,4.17574346,1.96527363,0.43140061,0.89552463,0.01814255,1.78595186,0.00000000
-5.93396698,4.21474680,1.96545018,0.43684853,0.92586934,0.01897019,1.77092897,0.00000000
-5.92796398,4.25213949,1.96573634,0.44101591,0.95608011,0.01976728,1.75857746,0.00000000
-5.92196098,4.28734308,1.96627790,0.44380598,0.98585325,0.02052297,1.74905054,0.00000000
-5.91595798,4.31961936,1.96708475,0.44514069,1.01484548,0.02122686,1.74231504,0.00000000
-5.90995498,4.34808111,1.96802698,0.44496219,1.04267631,0.02186907,1.73815427,0.00000000
-5.90395198,4.37171173,1.96883795,0.44323386,1.06893266,0.02244045,1.73617957,0.00000000
-5.89794897,4.38939328,1.96912438,0.43994086,1.09317557,0.02293261,1.73584981,0.00000000
-5.89194597,4.39994193,1.96838263,0.43509022,1.11494910,0.02333803,1.73649815,0.00000000
-5.88594297,4.40214950,1.96602081,0.42871046,1.13379101,0.02365019,1.73736460,0.00000000
-5.87993997,4.39482962,1.96138539,0.42085075,1.14924512,0.02386365,1.73763321,0.00000000
-5.87393697,4.37686663,1.95379131,0.41157968,1.16087479,0.02397410,1.73647194,0.00000000
-5.86793397,4.34726531,1.94255424,0.40098378,1.16827717,0.02397850,1.73307364,0.00000000
-5.86193097,4.30519929,1.92702336,0.38916566,1.17109748,0.02387510,1.72669627,0.00000000
-5.85592796,4.25005614,1.90661348,0.37624212,1.16904287,0.02366355,1.71670063,0.00000000
-5.84992496,4.18147704,1.88083484,0.36234212,1.16189510,0.02334494,1.70258394,0.00000000
-5.84392196,4.09938922,1.84931938,0.34760470,1.14952144,0.02292179,1.68400796,0.00000000
-5.83791896,4.00402966,1.81184227,0.33217691,1.13188325,0.02239816,1.66082041,0.00000000
-5.83191596,3.89595863,1.76833787,0.31621186,1.10904172,0.02177952,1.63306891,0.00000000
-5.82591296,3.77606243,1.71890932,0.29986683,1.08116031,0.02107281,1.60100707,0.00000000
-5.81990995,3.64554487,1.66383147,0.28330140,1.04850387,0.02028626,1.56509243,0.00000000
-5.81390695,3.50590770,1.60354715,0.26667575,1.01143411,0.01942937,1.52597673,0.00000000
-5.80790395,3.35892062,1.53865689,0.25014904,0.97040176,0.01851269,1.48448898,0.00000000
-5.80190095,3.20658200,1.46990285,0.23387782,0.92593556,0.01754763,1.44161232,0.00000000
-5.79589795,3.05107182,1.39814761,0.21801453,0.87862856,0.01654632,1.39845571,0.00000000
-5.78989495,2.89469878,1.32434897,0.20270609,0.82912232,0.01552130,1.35622184,0.00000000
-5.78389195,2.73984352,1.24953180,0.18809249,0.77808965,0.01448530,1.31617255,0.00000000
-5.77788894,2.58890022,1.17475835,0.17430543,0.72621664,0.01345098,1.27959324,0.00000000
-5.77188594,2.44421862,1.10109816,0.16146712,0.67418474,0.01243068,1.24775736,0.00000000
-5.76588294,2.30804859,1.02959874,0.14968901,0.62265358,0.01143619,1.22189240,0.00000000
-5.75987994,2.18248875,0.96125819,0.13907069,0.57224528,0.01047848,1.20314807,0.00000000
-5.75387694,2.06944086,0.89700061,0.12969879,0.52353065,0.00956757,1.19256756,0.00000000
-5.74787394,1.97057067,0.83765494,0.12164603,0.47701794,0.00871233,1.19106222,0.00000000
-5.74187094,1.88727611,0.78393782,0.11497034,0.43314427,0.00792035,1.19938999,0.00000000
-5.73586793,1.82066300,0.73644062,0.10971401,0.39227002,0.00719787,1.21813751,0.00000000
-5.72986493,1.77152817,0.69562074,0.10590304,0.35467608,0.00654974,1.24770587,0.00000000
-5.72386193,1.74034972,0.66179710,0.10354651,0.32056398,0.00597938,1.28829966,0.00000000
-5.71785893,1.72728384,0.63514950,0.10263613,0.29005860,0.00548884,1.33991911,0.00000000
-5.71185593,1.73216774,0.61572147,0.10314585,0.26321321,0.00507881,1.40235507,0.00000000
-5.70585293,1.75452790,0.60342637,0.10503174,0.24001640,0.00474876,1.47518662,0.00000000
-5.69984992,1.79359333,0.59805607,0.10823202,0.22040062,0.00449701,1.55778130,0.00000000
-5.69384692,1.84831325,0.59929210,0.11266733,0.20425181,0.00432085,1.64929814,0.00000000
-5.68784392,1.91737919,0.60671856,0.11824134,0.19141982,0.00421672,1.74869366,0.00000000
-5.68184092,1.99925112,0.61983687,0.12484174,0.18172912,0.00418032,1.85473129,0.00000000
-5.67583792,2.09218788,0.63808168,0.13234160,0.17498967,0.00420680,1.96599478,0.00000000
-5.66983492,2.19428177,0.66083800,0.14060122,0.17100730,0.00429091,2.08090602,0.00000000
-5.66383192,2.30349741,0.68745916,0.14947046,0.16959374,0.00442717,2.19774774,0.00000000
-5.65782891,2.41771465,0.71728536,0.15879156,0.17057566,0.00461005,2.31469145,0.00000000
-5.65182591,2.53477527,0.74966249,0.16840242,0.17380280,0.00483414,2.42983078,0.00000000
-5.64582291,2.65253275,0.78396098,0.17814026,0.17915471,0.00509428,2.54121975,0.00000000
-5.63981991,2.76890412,0.81959394,0.18784560,0.18654618,0.00538572,2.64691567,0.00000000
-5.63381691,2.88192253,0.85603442,0.19736643,0.19593096,0.00570429,2.74502559,0.00000000
-5.62781391,2.98978879,0.89283076,0.20656231,0.20730359,0.00604647,2.83375486,0.00000000
-5.62181091,3.09091984,0.92961973,0.21530837,0.22069942,0.00640947,2.91145628,0.00000000
-5.61580790,3.18399191,0.96613642,0.22349887,0.23619233,0.00679134,2.97667774,0.00000000
-5.60980490,3.26797621,1.00222049,0.23105015,0.25389040,0.00719092,3.02820625,0.00000000
-5.60380190,3.34216468,1.03781793,0.23790288,0.27392922,0.00760787,3.06510626,0.00000000
-5.59779890,3.40618426,1.07297812,0.24402325,0.29646312,0.00804256,3.08675008,0.00000000
-5.59179590,3.45999790,1.10784578,0.24940315,0.32165432,0.00849599,3.09283874,0.00000000
-5.58579290,3.50389166,1.14264791,0.25405919,0.34966035,0.00896962,3.08341181,0.00000000
-5.57978989,3.53844773,1.17767595,0.25803057,0.38062004,0.00946516,3.05884528,0.00000000
-5.57378689,3.56450403,1.21326396,0.26137584,0.41463865,0.00998434,3.01983732,0.00000000
-5.56778389,3.58310210,1.24976349,0.26416872,0.45177280,0.01052870,2.96738215,0.00000000
-5.56178089,3.59542536,1.28751661,0.26649317,0.49201576,0.01109923,2.90273319,0.00000000
-5.55577789,3.60273105,1.32682842,0.26843789,0.53528408,0.01169622,2.82735699,0.00000000
-5.54977489,3.60627935,1.36794068,0.27009066,0.58140626,0.01231892,2.74288023,0.00000000
-5.54377189,3.60726352,1.41100827,0.27153278,0.63011425,0.01296536,2.65103223,0.00000000
-5.53776888,3.60674523,1.45608006,0.27283388,0.68103867,0.01363223,2.55358591,0.00000000
-5.53176588,3.60559879,1.50308570,0.27404755,0.73370817,0.01431472,2.45229980,0.00000000
-5.52576288,3.60446767,1.55182952,0.27520794,0.78755355,0.01500651,2.34886418,0.00000000
-5.51975988,3.60373617,1.60199232,0.27632755,0.84191681,0.01569986,2.24485345,0.00000000
-5.51375688,3.60351771,1.65314147,0.27739646,0.89606508,0.01638573,2.14168708,0.00000000
-5.50775388,3.60366095,1.70474905,0.27838294,0.94920925,0.01705401,2.04060024,0.00000000
-5.50175088,3.60377294,1.75621742,0.27923548,1.00052656,0.01769381,1.94262533,0.00000000
-5.49574787,3.60325815,1.80691091,0.27988606,1.04918652,0.01829386,1.84858426,0.00000000
