energy_ev,total_up,B_p_up,B_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
4.04902451,0.99121935,0.14537621,0.00000000,0.77246280,0.00767187,0.10514916,0.00000000
4.05502751,1.00429175,0.14414805,0.00000000,0.77916106,0.00769403,0.10296457,0.00000000
4.06103052,1.01366523,0.14278452,0.00000000,0.78305457,0.00769271,0.10090200,0.00000000
4.06703352,1.01874128,0.14116151,0.00000000,0.78365736,0.00766269,0.09884053,0.00000000
4.07303652,1.01908287,0.13918008,0.00000000,0.78061894,0.00759999,0.09667933,0.00000000
4.07903952,1.01442349,0.13676841,0.00000000,0.77373104,0.00750197,0.09433896,0.00000000
4.08504252,1.00467023,0.13388262,0.00000000,0.76292944,0.00736736,0.09176170,0.00000000
4.09104552,0.98990082,0.13050645,0.00000000,0.74829071,0.00719626,0.08891119,0.00000000
4.09704852,0.97035499,0.12665006,0.00000000,0.73002429,0.00699005,0.08577135,0.00000000
4.10305153,0.94642058,0.12234780,0.00000000,0.70846025,0.00675129,0.08234469,0.00000000
4.10905453,0.91861512,0.11765535,0.00000000,0.68403329,0.00648358,0.07865013,0.00000000
4.11505753,0.88756358,0.11264617,0.00000000,0.65726376,0.00619136,0.07472046,0.00000000
4.12106053,0.85397354,0.10740755,0.00000000,0.62873652,0.00587973,0.07059952,0.00000000
4.12706353,0.81860837,0.10203639,0.00000000,0.59907846,0.00555422,0.06633928,0.00000000
4.13306653,0.78225991,0.09663490,0.00000000,0.56893557,0.00522061,0.06199695,0.00000000
4.13906953,0.74572134,0.09130640,0.00000000,0.53895047,0.00488466,0.05763212,0.00000000
4.14507254,0.70976127,0.08615130,0.00000000,0.50974109,0.00455199,0.05330421,0.00000000
4.15107554,0.67509996,0.08126349,0.00000000,0.48188135,0.00422785,0.04907011,0.00000000
4.15707854,0.64238834,0.07672716,0.00000000,0.45588424,0.00391697,0.04498225,0.00000000
4.16308154,0.61219033,0.07261420,0.00000000,0.43218795,0.00362349,0.04108697,0.00000000
4.16908454,0.58496902,0.06898217,0.00000000,0.41114524,0.00335080,0.03742340,0.00000000
4.17508754,0.56107687,0.06587300,0.00000000,0.39301634,0.00310155,0.03402269,0.00000000
4.18109055,0.54075012,0.06331217,0.00000000,0.37796539,0.00287756,0.03090761,0.00000000
4.18709355,0.52410743,0.06130875,0.00000000,0.36606044,0.00267989,0.02809259,0.00000000
4.19309655,0.51115253,0.05985586,0.00000000,0.35727681,0.00250881,0.02558404,0.00000000
4.19909955,0.50178081,0.05893183,0.00000000,0.35150358,0.00236388,0.02338095,0.00000000
4.20510255,0.49578936,0.05850178,0.00000000,0.34855300,0.00224405,0.02147575,0.00000000
4.21110555,0.49289018,0.05851968,0.00000000,0.34817225,0.00214771,0.01985529,0.00000000
4.21710855,0.49272605,0.05893078,0.00000000,0.35005730,0.00207282,0.01850205,0.00000000
4.22311156,0.49488846,0.05967428,0.00000000,0.35386838,0.00201699,0.01739528,0.00000000
4.22911456,0.49893711,0.06068626,0.00000000,0.35924639,0.00197765,0.01651228,0.00000000
4.23511756,0.50442025,0.06190262,0.00000000,0.36583000,0.00195211,0.01582964,0.00000000
