energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,7.95575851,0.02913813,0.61274237,0.96643871,0.30727971,4.29011617,2.90914721,0.05307427,2.46580963
-5.99399700,8.09457322,0.02998484,0.63714318,0.97145109,0.31700702,4.40733939,2.95546941,0.05430567,2.49372585
-5.98799400,8.20997349,0.03074771,0.66084140,0.97261477,0.32599741,4.50987451,2.99207481,0.05554221,2.51456570
-5.98199100,8.30089222,0.03142191,0.68360489,0.96999950,0.33418676,4.59638814,3.01852482,0.05679196,2.52829289
-5.97598799,8.36682764,0.03200556,0.70520825,0.96378198,0.34153085,4.66581017,3.03461695,0.05806690,2.53506602
-5.96998499,8.40786326,0.03249970,0.72543834,0.95423938,0.34800770,4.71735685,3.04039567,0.05938263,2.53523601
-5.96398199,8.42467037,0.03290828,0.74409979,0.94173958,0.35361913,4.75054602,3.03615556,0.06075795,2.52933767
-5.95797899,8.41849210,0.03323791,0.76102015,0.92672851,0.35839151,4.76520388,3.02243649,0.06221434,2.51807535
-5.95197599,8.39110909,0.03349764,0.77605447,0.90971513,0.36237553,4.76146309,3.00001053,0.06377525,2.50230306
-5.94597299,8.34478749,0.03369862,0.78908912,0.89125461,0.36564500,4.73975255,2.96986099,0.06546527,2.48299960
-5.93996998,8.28221082,0.03385358,0.80004459,0.87193047,0.36829463,4.70077931,2.93315424,0.06730921,2.46123948
-5.93396698,8.20639791,0.03397645,0.80887725,0.85233634,0.37043694,4.64550354,2.89120528,0.06933100,2.43816038
-5.92796398,8.12060980,0.03408171,0.81557987,0.83305799,0.37219830,4.57510770,2.84543822,0.07155261,2.41492849
-5.92196098,8.02824896,0.03418387,0.82018111,0.81465623,0.37371430,4.49096119,2.79734336,0.07399281,2.39270261
-5.91595798,7.93275436,0.03429686,0.82274378,0.79765131,0.37512464,4.39458180,2.74843227,0.07666604,2.37259832
-5.90995498,7.83749634,0.03443342,0.82336228,0.78250912,0.37656776,4.28759551,2.70019268,0.07958123,2.35565338
-5.90395198,7.74567498,0.03460455,0.82215912,0.76962973,0.37817539,4.17169587,2.65404489,0.08274080,2.34279554
-5.89794897,7.66022566,0.03481899,0.81928094,0.75933823,0.38006732,4.04860429,2.61130118,0.08613971,2.33481366
-5.89194597,7.58373511,0.03508277,0.81489415,0.75187826,0.38234663,3.92003243,2.57312983,0.08976478,2.33233335
-5.88594297,7.51837103,0.03539884,0.80918047,0.74740811,0.38509546,3.78764761,2.54052478,0.09359427,2.33579766
-5.87993997,7.46582734,0.03576687,0.80233257,0.74599927,0.38837171,3.65304199,2.51428210,0.09759767,2.34545362
-5.87393697,7.42728724,0.03618306,0.79455009,0.74763757,0.39220665,3.51770627,2.49498389,0.10173590,2.36134503
-5.86793397,7.40340477,0.03664025,0.78603611,0.75222638,0.39660360,3.38300817,2.48298985,0.10596185,2.38331179
-5.86193097,7.39430543,0.03712798,0.77699428,0.75959198,0.40153775,3.25017607,2.47843682,0.11022123,2.41099570
-5.85592796,7.39960538,0.03763287,0.76762658,0.76949065,0.40695709,3.12028777,2.48124580,0.11445379,2.44385272
-5.84992496,7.41844799,0.03813905,0.75813182,0.78161736,0.41278438,2.99426434,2.49113597,0.11859493,2.48117105
-5.84392196,7.44955607,0.03862867,0.74870467,0.79561563,0.41892013,2.87286879,2.50764485,0.12257744,2.52209471
-5.83791896,7.49129701,0.03908261,0.73953522,0.81108851,0.42524631,2.75670923,2.53015357,0.12633361,2.56565145
-5.83191596,7.54175807,0.03948120,0.73080885,0.82761016,0.43163080,2.64624591,2.55791589,0.12979733,2.61078429
-5.82591296,7.59882824,0.03980498,0.72270615,0.84473794,0.43793215,2.54180163,2.59008968,0.13290632,2.65638532
-5.81990995,7.66028299,0.04003547,0.71540277,0.86202454,0.44400463,2.44357484,2.62576945,0.13560427,2.70133063
-5.81390695,7.72386827,0.04015595,0.70906891,0.87902996,0.44970325,2.35165450,2.66401839,0.13784281,2.74451496
-5.80790395,7.78738002,0.04015211,0.70386829,0.89533307,0.45488847,2.26603617,2.70389870,0.13958323,2.78488487
-5.80190095,7.84873585,0.04001262,0.69995644,0.91054229,0.45943062,2.18663833,2.74449899,0.14079785,2.82146904
-5.79589795,7.90603617,0.03972961,0.69747828,0.92430531,0.46321357,2.11331828,2.78495770,0.14147098,2.85340471
-5.78989495,7.95761241,0.03929894,0.69656488,0.93631752,0.46613786,2.04588696,2.82448195,0.14159943,2.87995928
-5.78389195,8.00206093,0.03872035,0.69732960,0.94632884,0.46812284,1.98412207,2.86236126,0.14119241,2.90054638
-5.77788894,8.03826197,0.03799742,0.69986368,0.95414898,0.46910816,1.92777911,2.89797605,0.14027112,2.91473596
-5.77188594,8.06538396,0.03713740,0.70423150,0.95965085,0.46905427,1.87660014,2.93080112,0.13886764,2.92225834
-5.76588294,8.08287411,0.03615081,0.71046589,0.96277210,0.46794229,1.83031998,2.96040452,0.13702357,2.92300230
-5.75987994,8.09043707,0.03505103,0.71856373,0.96351489,0.46577303,1.78867019,2.98644248,0.13478823,2.91700777
-5.75387694,8.08800417,0.03385368,0.72848217,0.96194380,0.46256555,1.75138086,3.00865133,0.13221656,2.90445369
-5.74787394,8.07569585,0.03257598,0.74013592,0.95818208,0.45835522,1.71818065,3.02683730,0.12936696,2.88564206
-5.74187094,8.05378031,0.03123611,0.75339573,0.95240644,0.45319147,1.68879556,3.04086533,0.12629899,2.86097901
-5.73586793,8.02263143,0.02985246,0.76808850,0.94484052,0.44713540,1.66294693,3.05064770,0.12307117,2.83095420
-5.72986493,7.98268851,0.02844307,0.78399888,0.93574726,0.44025731,1.64034913,3.05613351,0.11973896,2.79611941
-5.72386193,7.93442034,0.02702499,0.80087273,0.92542041,0.43263432,1.62070747,3.05729965,0.11635298,2.75706740
-5.71785893,7.87829524,0.02561379,0.81842211,0.91417550,0.42434817,1.60371679,3.05414358,0.11295757,2.71441186
-5.71185593,7.81475813,0.02422323,0.83633173,0.90234034,0.41548322,1.58906083,3.04667846,0.10958975,2.66876915
-5.70585293,7.74421512,0.02286494,0.85426661,0.89024541,0.40612466,1.57641273,3.03493032,0.10627859,2.62074218
-5.69984992,7.66702527,0.02154826,0.87188057,0.87821425,0.39635705,1.56543660,3.01893722,0.10304503,2.57090688
-5.69384692,7.58349864,0.02028029,0.88882514,0.86655408,0.38626305,1.55579007,2.99874990,0.09990205,2.51980101
-5.68784392,7.49389931,0.01906585,0.90475842,0.85554682,0.37592232,1.54712760,2.97443339,0.09685524,2.46791550
-5.68184092,7.39845180,0.01790776,0.91935357,0.84544064,0.36541066,1.53910438,2.94606900,0.09390367,2.41568782
-5.67583792,7.29734904,0.01680699,0.93230641,0.83644226,0.35479921,1.53138027,2.91375595,0.09104097,2.36349727
-5.66983492,7.19076037,0.01576302,0.94334185,0.82871016,0.34415369,1.52362380,2.87761228,0.08825658,2.31166160
-5.66383192,7.07883812,0.01477410,0.95221893,0.82234886,0.33353377,1.51551561,2.83777444,0.08553703,2.26043489
-5.65782891,6.96172183,0.01383763,0.95873429,0.81740453,0.32299240,1.50675141,2.79439554,0.08286728,2.21000634
-5.65182591,6.83953959,0.01295048,0.96272401,0.81386207,0.31257519,1.49704419,2.74764196,0.08023185,2.16049980
-5.64582291,6.71240657,0.01210923,0.96406404,0.81164381,0.30231989,1.48612575,2.69768879,0.07761599,2.11197406
-5.63981991,6.58042127,0.01131051,0.96266915,0.81061021,0.29225590,1.47374763,2.64471424,0.07500646,2.06442412
-5.63381691,6.44366053,0.01055114,0.95849091,0.81056243,0.28240398,1.45968165,2.58889365,0.07239228,2.01778340
-5.62781391,6.30217454,0.00982833,0.95151485,0.81124711,0.27277616,1.44372033,2.53039379,0.06976517,1.97192736
-5.62181091,6.15598339,0.00913979,0.94175716,0.81236324,0.26337592,1.42567745,2.46936791,0.06711976,1.92667881
-5.61580790,6.00507669,0.00848377,0.92926137,0.81357112,0.25419865,1.40538912,2.40595243,0.06445366,1.88181497
-5.60980490,5.84941736,0.00785912,0.91409514,0.81450325,0.24523251,1.38271550,2.34026565,0.06176730,1.83707674
-5.60380190,5.68895085,0.00726524,0.89634760,0.81477694,0.23645966,1.35754350,2.27240892,0.05906372,1.79218015
-5.59779890,5.52362004,0.00670207,0.87612719,0.81400822,0.22785782,1.32979039,2.20247049,0.05634817,1.74682976
-5.59179590,5.35338604,0.00617004,0.85356033,0.81182662,0.21940220,1.29940840,2.13053190,0.05362772,1.70073410
-5.58579290,5.17825418,0.00567000,0.82879075,0.80789042,0.21106771,1.26639014,2.05667689,0.05091087,1.65362242
-5.57978989,4.99830419,0.00520321,0.80197942,0.80190159,0.20283139,1.23077447,1.98100202,0.04820709,1.60526242
-5.57378689,4.81372305,0.00477125,0.77330497,0.79362002,0.19467497,1.19265271,1.90362872,0.04552648,1.55547814
-5.56778389,4.62483855,0.00437603,0.74296434,0.78287632,0.18658741,1.15217445,1.82471567,0.04287951,1.50416735
-5.56178089,4.43215168,0.00401981,0.71117347,0.76958273,0.17856742,1.10955281,1.74447095,0.04027671,1.45131752
-5.55577789,4.23636558,0.00370514,0.67816772,0.75374163,0.17062577,1.06506850,1.66316289,0.03772855,1.39701971
-5.54977489,4.03840925,0.00343498,0.64420184,0.73545125,0.16278732,1.01907243,1.58112901,0.03524537,1.34147965
