energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.92325882,0.03620978,0.00085276,0.01389518,1.34593807,0.44173165,0.75901179
-5.99399700,1.90030574,0.03552681,0.00084443,0.01356173,1.32953474,0.43464727,0.74721567
-5.98799400,1.87205433,0.03480689,0.00083366,0.01321367,1.30942588,0.42640102,0.73356118
-5.98199100,1.83893347,0.03406197,0.00082063,0.01285594,1.28592402,0.41711981,0.71826869
-5.97598799,1.80142061,0.03330365,0.00080555,0.01249341,1.25937497,0.40693741,0.70157191
-5.96998499,1.76003233,0.03254282,0.00078859,0.01213077,1.23015071,0.39599192,0.68371282
-5.96398199,1.71531563,0.03178944,0.00076999,0.01177242,1.19864278,0.38442379,0.66493725
-5.95797899,1.66784006,0.03105227,0.00074993,0.01142241,1.16525639,0.37237402,0.64549116
-5.95197599,1.61819087,0.03033882,0.00072864,0.01108444,1.13040542,0.35998300,0.62561771
-5.94597299,1.56696312,0.02965532,0.00070631,0.01076179,1.09450818,0.34738955,0.60555516
-5.93996998,1.51475681,0.02900678,0.00068317,0.01045739,1.05798408,0.33473046,0.58553561
-5.93396698,1.46217276,0.02839714,0.00065941,0.01017381,1.02125101,0.32214020,0.56578444
-5.92796398,1.40980924,0.02782942,0.00063526,0.00991335,0.98472334,0.30975099,0.54652030
-5.92196098,1.35825906,0.02730601,0.00061092,0.00967805,0.94881035,0.29769291,0.52795568
-5.91595798,1.30810686,0.02682886,0.00058662,0.00946981,0.91391494,0.28609416,0.51029763
-5.90995498,1.25992642,0.02639974,0.00056258,0.00929041,0.88043237,0.27508122,0.49374859
-5.90395198,1.21427768,0.02602042,0.00053903,0.00914158,0.84874884,0.26477895,0.47850711
-5.89794897,1.17170337,0.02569291,0.00051618,0.00902510,0.81923970,0.25531050,0.46476822
-5.89194597,1.13272489,0.02541948,0.00049427,0.00894275,0.79226715,0.24679694,0.45272330
-5.88594297,1.09783744,0.02520279,0.00047354,0.00889638,0.76817726,0.23935664,0.44255933
-5.87993997,1.06750430,0.02504581,0.00045421,0.00888791,0.74729625,0.23310424,0.43445729
-5.87393697,1.04215009,0.02495179,0.00043650,0.00891925,0.72992594,0.22814928,0.42858983
-5.86793397,1.02215334,0.02492401,0.00042063,0.00899231,0.71633847,0.22459455,0.42511805
-5.86193097,1.00783818,0.02496567,0.00040679,0.00910887,0.70677028,0.22253400,0.42418747
-5.85592796,0.99946563,0.02507956,0.00039516,0.00927050,0.70141565,0.22205041,0.42592328
-5.84992496,0.99722460,0.02526782,0.00038590,0.00947849,0.70041975,0.22321290,0.43042510
-5.84392196,1.00122294,0.02553162,0.00037914,0.00973365,0.70387177,0.22607424,0.43776131
-5.83791896,1.01147901,0.02587090,0.00037497,0.01003627,0.71179816,0.23066818,0.44796329
-5.83191596,1.02791422,0.02628411,0.00037344,0.01038592,0.72415651,0.23700693,0.46101992
-5.82591296,1.05034679,0.02676797,0.00037457,0.01078139,0.74083037,0.24507880,0.47687241
-5.81990995,1.07848753,0.02731738,0.00037832,0.01122059,0.76162532,0.25484628,0.49541012
-5.81390695,1.11193772,0.02792525,0.00038461,0.01170043,0.78626677,0.26624460,0.51646733
