energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.08820303,0.45723348,0.00000000,0.00202062,0.17440219,0.00723235,0.59034039,0.41320573,0.18766288
-5.99399700,1.01356487,0.42608008,0.00000000,0.00183067,0.16953275,0.00679537,0.53792646,0.39503923,0.17630005
-5.98799400,0.94676173,0.39730488,0.00000000,0.00164699,0.16631823,0.00643039,0.48931792,0.38058149,0.16642040
-5.98199100,0.88821206,0.37111021,0.00000000,0.00147134,0.16477030,0.00613922,0.44483668,0.36992083,0.15809641
-5.97598799,0.83810965,0.34761289,0.00000000,0.00130519,0.16485812,0.00592220,0.40469104,0.36304909,0.15135942
-5.96998499,0.79643432,0.32684764,0.00000000,0.00114968,0.16651003,0.00577840,0.36898145,0.35986474,0.14620108
-5.96398199,0.76296822,0.30877316,0.00000000,0.00100560,0.16961632,0.00570575,0.33770906,0.36017825,0.14257570
-5.95797899,0.73731650,0.29328033,0.00000000,0.00087342,0.17403278,0.00570132,0.31078637,0.36371931,0.14040350
-5.95197599,0.71893173,0.28020217,0.00000000,0.00075335,0.17958502,0.00576150,0.28804960,0.37014572,0.13957456
-5.94597299,0.70714080,0.26932501,0.00000000,0.00064531,0.18607345,0.00588227,0.26927207,0.37905375,0.13995329
-5.93996998,0.70117355,0.26040031,0.00000000,0.00054902,0.19327887,0.00605942,0.25417798,0.38998974,0.14138344
-5.93396698,0.70019203,0.25315680,0.00000000,0.00046401,0.20096834,0.00628881,0.24245624,0.40246256,0.14369326
-5.92796398,0.70331970,0.24731222,0.00000000,0.00038966,0.20890146,0.00656652,0.23377382,0.41595689,0.14670092
-5.92196098,0.70966957,0.24258449,0.00000000,0.00032526,0.21683670,0.00688908,0.22778813,0.42994678,0.15021988
-5.91595798,0.71837062,0.23870177,0.00000000,0.00027001,0.22453772,0.00725363,0.22415829,0.44390931,0.15406417
-5.90995498,0.72859184,0.23541116,0.00000000,0.00022311,0.23177953,0.00765798,0.22255490,0.45733803,0.15805337
-5.90395198,0.73956322,0.23248591,0.00000000,0.00018371,0.23835416,0.00810070,0.22266816,0.46975572,0.16201729
-5.89794897,0.75059330,0.22973075,0.00000000,0.00015100,0.24407591,0.00858114,0.22421420,0.48072620,0.16580001
-5.89194597,0.76108277,0.22698557,0.00000000,0.00012421,0.24878578,0.00909935,0.22693953,0.48986480,0.16926342
-5.88594297,0.77053396,0.22412714,0.00000000,0.00010260,0.25235509,0.00965599,0.23062365,0.49684721,0.17229002
-5.87993997,0.77855599,0.22106923,0.00000000,0.00008550,0.25468803,0.01025219,0.23507985,0.50141633,0.17478483
-5.87393697,0.78486562,0.21776101,0.00000000,0.00007230,0.25572321,0.01088929,0.24015425,0.50338697,0.17667659
-5.86793397,0.78928401,0.21418408,0.00000000,0.00006249,0.25543399,0.01156861,0.24572336,0.50264828,0.17791800
-5.86193097,0.79172961,0.21034838,0.00000000,0.00005559,0.25382767,0.01229118,0.25169028,0.49916368,0.17848514
-5.85592796,0.79220767,0.20628712,0.00000000,0.00005123,0.25094365,0.01305736,0.25797983,0.49296854,0.17837604
-5.84992496,0.79079699,0.20205117,0.00000000,0.00004909,0.24685045,0.01386656,0.26453300,0.48416551,0.17760859
-5.84392196,0.78763465,0.19770315,0.00000000,0.00004894,0.24164197,0.01471694,0.27130089,0.47291791,0.17621777
-5.83791896,0.78289946,0.19331153,0.00000000,0.00005063,0.23543294,0.01560509,0.27823869,0.45944144,0.17425243
-5.83191596,0.77679504,0.18894509,0.00000000,0.00005407,0.22835400,0.01652583,0.28529991,0.44399448,0.17177180
-5.82591296,0.76953335,0.18466786,0.00000000,0.00005929,0.22054640,0.01747202,0.29243129,0.42686764,0.16884178
-5.81990995,0.76131961,0.18053496,0.00000000,0.00006638,0.21215677,0.01843453,0.29956869,0.40837279,0.16553140
-5.81390695,0.75233922,0.17658933,0.00000000,0.00007554,0.20333200,0.01940218,0.30663424,0.38883229,0.16190942
-5.80790395,0.74274741,0.17285960,0.00000000,0.00008711,0.19421467,0.02036196,0.31353484,0.36856864,0.15804138
-5.80190095,0.73266210,0.16935902,0.00000000,0.00010155,0.18493897,0.02129914,0.32016238,0.34789509,0.15398712
-5.79589795,0.72216016,0.16608561,0.00000000,0.00011946,0.17562741,0.02219770,0.32639543,0.32710763,0.14979895
-5.78989495,0.71127724,0.16302335,0.00000000,0.00014164,0.16638842,0.02304070,0.33210251,0.30647838,0.14552054
-5.78389195,0.70001106,0.16014428,0.00000000,0.00016907,0.15731482,0.02381081,0.33714677,0.28625078,0.14118643
-5.77788894,0.68832772,0.15741147,0.00000000,0.00020298,0.14848315,0.02449084,0.34139177,0.26663654,0.13682228
-5.77188594,0.67617063,0.15478255,0.00000000,0.00024484,0.13995399,0.02506436,0.34470808,0.24781435,0.13244573
-5.76588294,0.66347141,0.15221361,0.00000000,0.00029639,0.13177286,0.02551630,0.34698034,0.22993020,0.12806776
-5.75987994,0.65016194,0.14966327,0.00000000,0.00035966,0.12397197,0.02583350,0.34811435,0.21309920,0.12369444
