energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,4.01638229,1.05269037,2.92814173,0.00200241,0.06671317,0.01874640,0.66381450,0.38544137,0.14235183
-5.99399700,4.04956827,1.06182801,2.95068914,0.00196996,0.06940728,0.01880338,0.66529716,0.38870469,0.14569394
-5.98799400,4.07478240,1.06869186,2.96707170,0.00193275,0.07208823,0.01882788,0.66551215,0.39086818,0.14900421
-5.98199100,4.09273234,1.07341242,2.97790129,0.00189168,0.07473050,0.01882578,0.66460799,0.39196491,0.15227346
-5.97598799,4.10413963,1.07612132,2.98382380,0.00184765,0.07730396,0.01880282,0.66273057,0.39203408,0.15548341
-5.96998499,4.10970299,1.07694425,2.98548884,0.00180156,0.07977420,0.01876433,0.66001646,0.39111880,0.15860633
-5.96398199,4.11006430,1.07599480,2.98352019,0.00175424,0.08210323,0.01871502,0.65658698,0.38926409,0.16160505
-5.95797899,4.10577870,1.07336932,2.97848813,0.00170647,0.08425041,0.01865872,0.65254341,0.38651501,0.16443370
-5.95197599,4.09729008,1.06914306,2.97088495,0.00165894,0.08617357,0.01859832,0.64796329,0.38291517,0.16703886
-5.94597299,4.08491296,1.06336774,2.96110470,0.00161225,0.08783028,0.01853552,0.64289820,0.37850551,0.16936116
-5.93996998,4.06882170,1.05607067,2.94942802,0.00156690,0.08917934,0.01847087,0.63737275,0.37332365,0.17133742
-5.93396698,4.04904731,1.04725541,2.93601297,0.00152324,0.09018221,0.01840367,0.63138520,0.36740351,0.17290293
-5.92796398,4.02548218,1.03690391,2.92089208,0.00148155,0.09080447,0.01833205,0.62490918,0.36077551,0.17399408
-5.92196098,3.99789238,1.02498010,2.90397591,0.00144194,0.09101724,0.01825306,0.61789687,0.35346715,0.17455095
-5.91595798,3.96593701,1.01143472,2.88506297,0.00140444,0.09079841,0.01816281,0.61028304,0.34550388,0.17451993
-5.90995498,3.92919354,0.99621115,2.86385551,0.00136894,0.09013361,0.01805664,0.60199011,0.33691045,0.17385613
-5.90395198,3.88718810,0.97925197,2.83998039,0.00133525,0.08901704,0.01792941,0.59293365,0.32771232,0.17252550
-5.89794897,3.83942897,0.96050591,2.81301397,0.00130306,0.08745190,0.01777571,0.58302841,0.31793724,0.17050660
