energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,9.04732771,0.01809049,0.94898685,3.57264489,3.97638353,0.10438818,3.14197476,0.91895010,0.43003452
-5.99399700,9.12113936,0.01780678,0.96660560,3.63959842,4.01154523,0.10523523,3.15448708,0.92364345,0.42968046
-5.98799400,9.19672374,0.01752129,0.98396696,3.70496068,4.04973788,0.10572308,3.16771176,0.92949147,0.42931400
-5.98199100,9.27211112,0.01723270,1.00080723,3.76725435,4.09016146,0.10584954,3.18101954,0.93646359,0.42885493
-5.97598799,9.34539083,0.01694015,1.01687577,3.82507078,4.13200252,0.10561883,3.19380155,0.94451542,0.42822626
-5.96998499,9.41476928,0.01664327,1.03194093,3.87710628,4.17445920,0.10504136,3.20549000,0.95359295,0.42735635
-5.96398199,9.47862007,0.01634230,1.04579509,3.92219365,4.21676335,0.10413333,3.21557633,0.96363664,0.42618087
-5.95797899,9.53552489,0.01603809,1.05825858,3.95932835,4.25819920,0.10291625,3.22362628,0.97458562,0.42464466
-5.95197599,9.58430488,0.01573207,1.06918247,3.98768866,4.29811820,0.10141625,3.22929193,0.98638187,0.42270340
-5.94597299,9.62404235,0.01542631,1.07845018,4.00664982,4.33595009,0.09966332,3.23232047,0.99897421,0.42032516
-5.93996998,9.65409324,0.01512345,1.08597803,4.01579229,4.37121022,0.09769056,3.23256004,1.01232232,0.41749171
-5.93396698,9.67409148,0.01482666,1.09171484,4.01490474,4.40350351,0.09553334,3.22996268,1.02640049,0.41419970
-5.92796398,9.68394607,0.01453961,1.09564066,4.00398221,4.43252558,0.09322853,3.22458496,1.04120134,0.41046160
-5.92196098,9.68383242,0.01426639,1.09776496,3.98322040,4.45806139,0.09081380,3.21658642,1.05673907,0.40630641
-5.91595798,9.67417913,0.01401151,1.09812429,3.95300674,4.47998217,0.08832696,3.20622624,1.07305252,0.40178009
-5.90995498,9.65565138,0.01377974,1.09677967,3.91390922,4.49824099,0.08580549,3.19385848,1.09020754,0.39694573
-5.90395198,9.62913192,0.01357615,1.09381396,3.86666333,4.51286759,0.08328606,3.17992593,1.10829870,0.39188333
-5.89794897,9.59570045,0.01340595,1.08932913,3.81215784,4.52396273,0.08080425,3.16495286,1.12745008,0.38668928
-5.89194597,9.55661159,0.01327448,1.08344369,3.75141965,4.53169235,0.07839434,3.14953658,1.14781494,0.38147528
-5.88594297,9.51327176,0.01318710,1.07629028,3.68559783,4.53628167,0.07608918,3.13433777,1.16957399,0.37636698
-5.87993997,9.46721477,0.01314915,1.06801341,3.61594673,4.53800924,0.07392009,3.12006951,1.19293224,0.37150207
-5.87393697,9.42007570,0.01316581,1.05876731,3.54380819,4.53720080,0.07191683,3.10748493,1.21811424,0.36702789
-5.86793397,9.37356290,0.01324209,1.04871389,3.47059239,4.53422287,0.07010760,3.09736325,1.24535770,0.36309862
-5.86193097,9.32942756,0.01338269,1.03802069,3.39775723,4.52947580,0.06851889,3.09049430,1.27490556,0.35987209
-5.85592796,9.28943066,0.01359195,1.02685874,3.32678597,4.52338610,0.06717548,3.08766160,1.30699668,0.35750615
-5.84992496,9.25530725,0.01387378,1.01540028,3.25916314,4.51639782,0.06610022,3.08962404,1.34185548,0.35615493
-5.84392196,9.22872831,0.01423157,1.00381626,3.19634867,4.50896301,0.06531381,3.09709663,1.37968080,0.35596474
-5.83791896,9.21126061,0.01466817,0.99227352,3.13975062,4.50153106,0.06483453,3.11073068,1.42063460,0.35707019
-5.83191596,9.20432553,0.01518583,0.98093183,3.09069688,4.49453714,0.06467791,3.13109405,1.46483086,0.35959022
-5.82591296,9.20915786,0.01578622,0.96994052,3.05040660,4.48838983,0.06485626,3.15865210,1.51232538,0.36362456
-5.81990995,9.22676607,0.01647038,0.95943514,3.01996203,4.48345827,0.06537835,3.19375004,1.56310689,0.36925046
-5.81390695,9.25789534,0.01723881,0.94953387,3.00028184,4.48005924,0.06624892,3.23659753,1.61709016,0.37652006
-5.80790395,9.30299520,0.01809144,0.94033411,2.99209684,4.47844458,0.06746828,3.28725609,1.67411129,0.38545841
-5.80190095,9.36219314,0.01902777,0.93190927,2.99592908,4.47878957,0.06903204,3.34563004,1.73392578,0.39606214
-5.79589795,9.43527567,0.02004686,0.92430596,3.01207538,4.48118263,0.07093077,3.41146145,1.79620934,0.40829901
-5.78989495,9.52167802,0.02114744,0.91754175,3.04059609,4.48561722,0.07314991,3.48432934,1.86056160,0.42210822
-5.78389195,9.62048342,0.02232797,0.91160370,3.08130965,4.49198610,0.07566967,3.56365344,1.92651266,0.43740147
-5.77788894,9.73043257,0.02358667,0.90644781,3.13379364,4.50007876,0.07846519,3.64870239,1.99353212,0.45406471
-5.77188594,9.84994341,0.02492151,0.90199947,3.19739248,4.50958221,0.08150676,3.73860614,2.06104035,0.47196056
-5.76588294,9.97714117,0.02633025,0.89815509,3.27123171,4.52008564,0.08476022,3.83237231,2.12842146,0.49093107
-5.75987994,10.10989812,0.02781032,0.89478485,3.35423894,4.53108894,0.08818748,3.92890593,2.19503744,0.51080093
-5.75387694,10.24588218,0.02935875,0.89173662,3.44517074,4.54201534,0.09174715,4.02703201,2.26024305,0.53138080
-5.74787394,10.38261328,0.03097201,0.88884103,3.54264507,4.55222793,0.09539539,4.12552028,2.32340065,0.55247064
-5.74187094,10.51752593,0.03264580,0.88591744,3.64517821,4.56104994,0.09908666,4.22311138,2.38389472,0.57386302
-5.73586793,10.64803657,0.03437485,0.88278072,3.75122547,4.56778820,0.10277475,4.31854391,2.44114535,0.59534617
-5.72986493,10.77161364,0.03615269,0.87924866,3.85922418,4.57175925,0.10641366,4.41058155,2.49462057,0.61670678
-5.72386193,10.88584852,0.03797136,0.87514959,3.96763793,4.57231734,0.10995866,4.49803976,2.54384691,0.63773251
-5.71785893,10.98852525,0.03982123,0.87033003,4.07500062,4.56888318,0.11336720,4.57981128,2.58841829,0.65821418
-5.71185593,11.07768673,0.04169080,0.86466201,4.17995877,4.56097258,0.11659988,4.65489001,2.62800288,0.67794766
-5.70585293,11.15169537,0.04356658,0.85804969,4.28131071,4.54822352,0.11962132,4.72239269,2.66234796,0.69673561
-5.69984992,11.20928582,0.04543303,0.85043500,4.37804105,4.53042053,0.12240087,4.78157784,2.69128287,0.71438899
-5.69384692,11.24960779,0.04727265,0.84180198,4.46934913,4.50751493,0.12491332,4.83186146,2.71471997,0.73072858
-5.68784392,11.27225703,0.04906612,0.83217955,4.55467004,4.47963979,0.12713939,4.87282911,2.73265377,0.74558654
-5.68184092,11.27729259,0.05079258,0.82164253,4.63368711,4.44711848,0.12906603,4.90424386,2.74515833,0.75880794
-5.67583792,11.26523926,0.05243005,0.81031077,4.70633497,4.41046567,0.13068666,4.92604971,2.75238309,0.77025257
-5.66983492,11.23707402,0.05395594,0.79834633,4.77279268,4.37038052,0.13200107,4.93837029,2.75454712,0.77979678
