energy_ev,total_up,Bi_p_up,Bi_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,9.73130341,1.25014969,0.05948859,1.58963491,6.21095469,0.11379263,2.90379192
-5.99399700,9.89398700,1.24272217,0.06311573,1.62852348,6.31718682,0.11548830,2.93833301
-5.98799400,10.07865363,1.23931932,0.06678465,1.67372921,6.43553800,0.11766339,2.97963565
-5.98199100,10.28107013,1.23943849,0.07044567,1.72386824,6.56359109,0.12027543,3.02679346
-5.97598799,10.49636287,1.24248335,0.07404728,1.77746591,6.69852043,0.12327260,3.07868256
-5.96998499,10.71918839,1.24778990,0.07753759,1.83300162,6.83719214,0.12659590,3.13400333
-5.96398199,10.94392506,1.25465400,0.08086594,1.88895506,6.97627846,0.13018147,3.19133106
-5.95797899,11.16487777,1.26235938,0.08398448,1.94385265,7.11238137,0.13396301,3.24917328
-5.95197599,11.37648667,1.27020481,0.08684961,1.99631233,7.24215970,0.13787408,3.30603145
-5.94597299,11.57353094,1.27752926,0.08942332,2.04508507,7.36245415,0.14185043,3.36046390
-5.93996998,11.75131826,1.28373411,0.09167436,2.08909181,7.47040426,0.14583193,3.41114738
-5.93396698,11.90585152,1.28830148,0.09357903,2.12745410,7.56355183,0.14976434,3.45693396
-5.92796398,12.03396531,1.29080803,0.09512183,2.15951772,7.63992622,0.15360076,3.49690071
-5.92196098,12.13342622,1.29093386,0.09629563,2.18486808,7.69810730,0.15730268,3.53038969
-5.91595798,12.20299294,1.28846639,0.09710167,2.20333714,7.73726375,0.16084062,3.55703626
-5.90995498,12.24243396,1.28329927,0.09754915,2.21500169,7.75716506,0.16419455,3.57678439
-5.90395198,12.25250311,1.27542680,0.09765457,2.22017311,7.75816732,0.16735381,3.58988829
-5.89794897,12.23487524,1.26493433,0.09744081,2.21937938,7.74117426,0.17031680,3.59690042
-5.89194597,12.19204608,1.25198558,0.09693608,2.21334026,7.70757614,0.17309041,3.59864660
-5.88594297,12.12720249,1.23680753,0.09617266,2.20293665,7.65917028,0.17568920,3.59618954
-5.87993997,12.04407002,1.21967407,0.09518565,2.18917583,7.59806794,0.17813442,3.59078285
-5.87393697,11.94674617,1.20088920,0.09401164,2.17315389,7.52659264,0.18045294,3.58381778
-5.86793397,11.83952765,1.18077073,0.09268748,2.15601693,7.44717549,0.18267608,3.57676555
-5.86193097,11.72674004,1.15963532,0.09124919,2.13892274,7.36225284,0.18483847,3.57111786
-5.85592796,11.61257765,1.13778541,0.08973093,2.12300409,7.27417128,0.18697683,3.56832854
-5.84992496,11.50096040,1.11549861,0.08816423,2.10933514,7.18510432,0.18912886,3.56975886
-5.84392196,11.39541303,1.09301984,0.08657739,2.09890182,7.09698408,0.19133218,3.57662881
-5.83791896,11.29897068,1.07055618,0.08499510,2.09257700,7.01145055,0.19362329,3.58997620
-5.83191596,11.21411290,1.04827455,0.08343820,2.09110092,6.92981948,0.19603664,3.61062490
-5.82591296,11.14272675,1.02630183,0.08192376,2.09506718,6.85306901,0.19860381,3.63916308
-5.81990995,11.08609761,1.00472708,0.08046513,2.10491414,6.78184418,0.20135268,3.67593153
-5.81390695,11.04492550,0.98360552,0.07907230,2.12092157,6.71647709,0.20430681,3.72102198
-5.80790395,11.01936297,0.96296354,0.07775221,2.14321219,6.65702019,0.20748477,3.77428446
-5.80190095,11.00907015,0.94280446,0.07650924,2.17175731,6.60328927,0.21089968,3.83534257
-5.79589795,11.01328201,0.92311437,0.07534558,2.20638616,6.55491256,0.21455880,3.90361535
-5.78989495,11.03088263,0.90386774,0.07426174,2.24679795,6.51138227,0.21846322,3.97834393
-5.78389195,11.06048156,0.88503233,0.07325687,2.29257621,6.47210510,0.22260771,4.05862139
-5.77788894,11.10048803,0.86657331,0.07232916,2.34320436,6.43644856,0.22698067,4.14342423
-5.77188594,11.14917911,0.84845623,0.07147602,2.39808224,6.40378071,0.23156425,4.23164387
-5.76588294,11.20475920,0.83064896,0.07069433,2.45654271,6.37350136,0.23633461,4.32211696
-5.75987994,11.26540908,0.81312268,0.06998048,2.51786805,6.34506377,0.24126230,4.41365340
-5.75387694,11.32932373,0.79585181,0.06933039,2.58130568,6.31798652,0.24631288,4.50506156
-5.74787394,11.39473912,0.77881344,0.06873948,2.64608301,6.29185607,0.25144749,4.59517004
-5.74187094,11.45994903,0.76198618,0.06820256,2.71142116,6.26632105,0.25662373,4.68284601
-5.73586793,11.52331358,0.74534891,0.06771374,2.77654748,6.24107994,0.26179645,4.76701016
-5.72986493,11.58326155,0.72887955,0.06726626,2.84070691,6.21586414,0.26691864,4.84664862
-5.72386193,11.63828902,0.71255414,0.06685247,2.90317215,6.19041864,0.27194235,4.92082230
-5.71785893,11.68695651,0.69634639,0.06646369,2.96325277,6.16448235,0.27681948,4.98867409
-5.71185593,11.72788711,0.68022788,0.06609027,3.02030331,6.13777038,0.28150258,5.04943463
-5.70585293,11.75976717,0.66416882,0.06572161,3.07373055,6.10995986,0.28594547,5.10242693
-5.69984992,11.78135119,0.64813956,0.06534630,3.12299993,6.08068079,0.29010375,5.14707050
-5.69384692,11.79147162,0.63211263,0.06495236,3.16764139,6.04951290,0.29393516,5.18288510
-5.68784392,11.78905374,0.61606516,0.06452752,3.20725436,6.01598883,0.29739981,5.20949440
-5.68184092,11.77313552,0.59998168,0.06405953,3.24151218,5.97960381,0.30046026,5.22662962
-5.67583792,11.74289131,0.58385685,0.06353660,3.27016573,5.93983110,0.30308149,5.23413292
-5.66983492,11.69765839,0.56769803,0.06294780,3.29304617,5.89614253,0.30523086,5.23196053
-5.66383192,11.63696460,0.55152753,0.06228352,3.31006663,5.84803285,0.30687802,5.22018527
-5.65782891,11.56055540,0.53538407,0.06153587,3.32122282,5.79504650,0.30799480,5.19899804
-5.65182591,11.46841854,0.51932366,0.06069911,3.32659206,5.73680535,0.30855533,5.16870813
-5.64582291,11.36080472,0.50341936,0.05976996,3.32633087,5.67303595,0.30853611,5.12974180
-5.63981991,11.23824255,0.48776024,0.05874793,3.32067075,5.60359472,0.30791636,5.08263898
-5.63381691,11.10154672,0.47244925,0.05763547,3.30991205,5.52848998,0.30667852,5.02804774
-5.62781391,10.95181836,0.45760021,0.05643813,3.29441594,5.44789961,0.30480884,4.96671646
-5.62181091,10.79043711,0.44333393,0.05516456,3.27459451,5.36218353,0.30229824,4.89948348
-5.61580790,10.61904460,0.42977378,0.05382644,3.25089908,5.27189033,0.29914316,4.82726447
-5.60980490,10.43951959,0.41704073,0.05243832,3.22380699,5.17775771,0.29534659,4.75103745
-5.60380190,10.25394527,0.40524824,0.05101736,3.19380726,5.08070652,0.29091893,4.67182579
-5.59779890,10.06456937,0.39449722,0.04958298,3.16138557,4.98182840,0.28587896,4.59067955
-5.59179590,9.87375823,0.38487124,0.04815652,3.12700909,4.88236729,0.28025443,4.50865539
-5.58579290,9.68394584,0.37643241,0.04676070,3.09111178,4.78369501,0.27408256,4.42679569
-5.57978989,9.49757926,0.36921788,0.04541916,3.05408079,4.68728146,0.26741017,4.34610728
-5.57378689,9.31706159,0.36323740,0.04415591,3.01624462,4.59466002,0.26029342,4.26754035
-5.56778389,9.14469409,0.35847188,0.04299472,2.97786367,4.50738872,0.25279723,4.19196804
-5.56178089,8.98261852,0.35487310,0.04195857,2.93912345,4.42700807,0.24499423,4.12016719
-5.55577789,8.83276125,0.35236457,0.04106900,2.90013116,4.35499634,0.23696333,4.05280092
-5.54977489,8.69678036,0.35084346,0.04034555,2.86091555,4.29272332,0.22878794,3.99040322
-5.54377189,8.57601685,0.35018353,0.03980514,2.82143015,4.24140371,0.22055395,3.93336614
-5.53776888,8.47145122,0.35023890,0.03946151,2.78155989,4.20205135,0.21234737,3.88192980
-5.53176588,8.38366662,0.35084848,0.03932468,2.74113045,4.17543566,0.20425198,3.83617554
-5.52576288,8.31281937,0.35184080,0.03940051,2.69992011,4.16204170,0.19634689,3.79602226
-5.51975988,8.25861816,0.35303910,0.03969022,2.65767325,4.16203555,0.18870416,3.76122625
-5.51375688,8.22031267,0.35426636,0.04019013,2.61411493,4.17523629,0.18138670,3.73138437
-5.50775388,8.19669249,0.35535010,0.04089139,2.56896563,4.20109638,0.17444636,3.70594078
-5.50175088,8.18609713,0.35612681,0.04177990,2.52195549,4.23869161,0.16792245,3.68419696
-5.49574787,8.18643760,0.35644575,0.04283632,2.47283734,4.28672195,0.16184066,3.66532511
-5.48974487,8.19522998,0.35617211,0.04403629,2.42139786,4.34352421,0.15621250,3.64838467
-5.48374187,8.20964094,0.35518937,0.04535074,2.36746666,4.40709695,0.15103525,3.63234182
-5.47773887,8.22654503,0.35340095,0.04674641,2.31092264,4.47513791,0.14629238,3.61609176
-5.47173587,8.24259298,0.35073107,0.04818653,2.25169801,4.54509341,0.14195453,3.59848331
-5.46573287,8.25428990,0.34712494,0.04963160,2.18977966,4.61421892,0.13798090,3.57834563
-5.45972986,8.25808171,0.34254837,0.05104039,2.12520839,4.67964906,0.13432108,3.55451648
-5.45372686,8.25044781,0.33698685,0.05237098,2.05807620,4.73847528,0.13091719,3.52587135
-5.44772386,8.22799719,0.33044429,0.05358189,1.98852225,4.78782851,0.12770622,3.49135301
-5.44172086,8.18756524,0.32294151,0.05463324,1.91672772,4.82496384,0.12462259,3.45000050
-5.43571786,8.12630785,0.31451456,0.05548793,1.84291033,4.84734427,0.12160069,3.40097679
-5.42971486,8.04178935,0.30521304,0.05611272,1.76731870,4.85271997,0.11857734,3.34359418
-5.42371186,7.93206094,0.29509835,0.05647926,1.69022693,4.83920007,0.11549413,3.27733652
-5.41770885,7.79572616,0.28424212,0.05656495,1.61192976,4.80531367,0.11229950,3.20187741
-5.41170585,7.63199065,0.27272459,0.05635361,1.53273826,4.75005774,0.10895048,3.11709339
-5.40570285,7.44069370,0.26063326,0.05583598,1.45297614,4.67292953,0.10541400,3.02307169
-5.39969985,7.22232002,0.24806139,0.05500994,1.37297660,4.57394227,0.10166786,2.92011179
-5.39369685,6.97799069,0.23510678,0.05388051,1.29307962,4.45362325,0.09770115,2.80872072
-5.38769385,6.70943361,0.22187040,0.05245966,1.21362931,4.31299471,0.09351429,2.68960192
-5.38169085,6.41893426,0.20845513,0.05076575,1.13497141,4.15353811,0.08911858,2.56363809
-5.37568784,6.10926868,0.19496440,0.04882294,1.05745054,3.97714371,0.08453539,2.43186845
-5.36968484,5.78362157,0.18150085,0.04666030,0.98140710,3.78604762,0.07979502,2.29546128
-5.36368184,5.44549270,0.16816496,0.04431081,0.90717389,3.58275930,0.07493526,2.15568281
-5.35767884,5.09859572,0.15505364,0.04181031,0.83507223,3.36998261,0.06999981,2.01386357
-5.35167584,4.74675341,0.14225892,0.03919634,0.76540786,3.15053383,0.06503657,1.87136366
-5.34567284,4.39379379,0.12986662,0.03650703,0.69846662,2.92726012,0.06009589,1.72953818
-5.33966983,4.04345097,0.11795518,0.03378004,0.63451015,2.70296157,0.05522898,1.58970424
-5.33366683,3.69927457,0.10659468,0.03105153,0.57377184,2.48031975,0.05048628,1.45311070
-5.32766383,3.36455070,0.09584605,0.02835530,0.51645323,2.26183513,0.04591623,1.32091174
-5.32166083,3.04223704,0.08576048,0.02572209,0.46272109,2.04977523,0.04156409,1.19414508
-5.31565783,2.73491347,0.07637915,0.02317896,0.41270534,1.84613480,0.03747109,1.07371538
-5.30965483,2.44474904,0.06773326,0.02074894,0.36649804,1.65260839,0.03367390,0.96038312
-5.30365183,2.17348534,0.05984428,0.01845080,0.32415333,1.47057546,0.03020422,0.85475904
-5.29764882,1.92243515,0.05272449,0.01629896,0.28568853,1.30109724,0.02708875,0.75730378
-5.29164582,1.69249525,0.04637772,0.01430360,0.25108620,1.14492432,0.02434928,0.66833227
-5.28564282,1.48417102,0.04080031,0.01247089,0.22029709,1.00251346,0.02200293,0.58802224
-5.27963982,1.29761071,0.03598212,0.01080328,0.19324384,0.87405176,0.02006254,0.51642603
