energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.58465971,0.00682089,0.06137927,0.51665599,0.26090966,0.96088277,0.00000000,0.49624113,0.19347841
-5.99399700,1.56174703,0.00727850,0.05954821,0.50535299,0.26125035,0.94813106,0.00000000,0.49151620,0.18878022
-5.98799400,1.53495409,0.00774682,0.05764092,0.49293444,0.26077619,0.93296139,0.00000000,0.48602389,0.18369465
-5.98199100,1.50490543,0.00821924,0.05568565,0.47964615,0.25955473,0.91574383,0.00000000,0.47988020,0.17831900
-5.97598799,1.47229082,0.00868917,0.05371169,0.46574657,0.25767692,0.89688883,0.00000000,0.47321561,0.17275314
-5.96998499,1.43785227,0.00915009,0.05174840,0.45150323,0.25525522,0.87684044,0.00000000,0.46617364,0.16709775
-5.96398199,1.40237177,0.00959577,0.04982448,0.43718987,0.25242135,0.85606981,0.00000000,0.45890986,0.16145284
-5.95797899,1.36665970,0.01002038,0.04796723,0.42308411,0.24932376,0.83506905,0.00000000,0.45159136,0.15591659
-5.95197599,1.33154393,0.01041868,0.04620204,0.40946559,0.24612497,0.81434539,0.00000000,0.44439628,0.15058438
-5.94597299,1.29785949,0.01078619,0.04455189,0.39661446,0.24299860,0.79441537,0.00000000,0.43751340,0.14554802
-5.93996998,1.26643854,0.01111936,0.04303705,0.38480999,0.24012629,0.77579921,0.00000000,0.43114149,0.14089524
-5.93396698,1.23810050,0.01141570,0.04167475,0.37432910,0.23769454,0.75901488,0.00000000,0.42548827,0.13670912
-5.92796398,1.21364218,0.01167386,0.04047906,0.36544467,0.23589134,0.74457208,0.00000000,0.42076867,0.13306773
-5.92196098,1.19382755,0.01189373,0.03946073,0.35842341,0.23490280,0.73296564,0.00000000,0.41720259,0.13004366
-5.91595798,1.17937728,0.01207642,0.03862716,0.35352320,0.23490955,0.72466865,0.00000000,0.41501169,0.12770361
-5.90995498,1.17095778,0.01222424,0.03798241,0.35098978,0.23608322,0.72012494,0.00000000,0.41441553,0.12610786
-5.90395198,1.16916972,0.01234055,0.03752723,0.35105272,0.23858271,0.71974117,0.00000000,0.41562688,0.12530975
-5.89794897,1.17453621,0.01242969,0.03725921,0.35392073,0.24255049,0.72387837,0.00000000,0.41884635,0.12535501
-5.89194597,1.18749071,0.01249671,0.03717290,0.35977624,0.24810880,0.73284328,0.00000000,0.42425653,0.12628106
-5.88594297,1.20836484,0.01254713,0.03726002,0.36876953,0.25535593,0.74687936,0.00000000,0.43201557,0.12811630
-5.87993997,1.23737634,0.01258672,0.03750967,0.38101245,0.26436254,0.76615801,0.00000000,0.44225074,0.13087928
-5.87393697,1.27461762,0.01262115,0.03790866,0.39657193,0.27516813,0.79076989,0.00000000,0.45505179,0.13457791
-5.86793397,1.32004518,0.01265569,0.03844176,0.41546363,0.28777775,0.82071696,0.00000000,0.47046466,0.13920870
-5.86193097,1.37347048,0.01269498,0.03909203,0.43764587,0.30215912,0.85590535,0.00000000,0.48848565,0.14475604
-5.85592796,1.43455246,0.01274272,0.03984115,0.46301439,0.31824026,0.89613951,0.00000000,0.50905618,0.15119149
-5.84992496,1.50279264,0.01280143,0.04066977,0.49139794,0.33590771,0.94111802,0.00000000,0.53205872,0.15847335
-5.84392196,1.57753287,0.01287236,0.04155784,0.52255535,0.35500567,0.99043127,0.00000000,0.55731371,0.16654621
-5.83791896,1.65795655,0.01295530,0.04248485,0.55617416,0.37533601,1.04356166,0.00000000,0.58457813,0.17534080
-5.83191596,1.74309353,0.01304858,0.04343023,0.59187128,0.39665948,1.09988625,0.00000000,0.61354558,0.18477404
-5.82591296,1.83182918,0.01314909,0.04437352,0.62919570,0.41869806,1.15868252,0.00000000,0.64384827,0.19474932
-5.81990995,1.92291785,0.01325243,0.04529462,0.66763358,0.44113863,1.21913701,0.00000000,0.67506098,0.20515716
-5.81390695,2.01500073,0.01335300,0.04617403,0.70661569,0.46363802,1.28035720,0.00000000,0.70670702,0.21587609
-5.80790395,2.10662819,0.01344433,0.04699299,0.74552726,0.48582921,1.34138646,0.00000000,0.73826628,0.22677395
-5.80190095,2.19628612,0.01351928,0.04773367,0.78371992,0.50732891,1.40122184,0.00000000,0.76918519,0.23770944
-5.79589795,2.28242598,0.01357041,0.04837931,0.82052566,0.52774599,1.45883439,0.00000000,0.79888855,0.24853415
-5.78989495,2.36349773,0.01359028,0.04891434,0.85527236,0.54669090,1.51319155,0.00000000,0.82679272,0.25909477
-5.78389195,2.43798478,0.01357181,0.04932456,0.88730030,0.56378546,1.56328088,0.00000000,0.85232012,0.26923565
-5.77788894,2.50443990,0.01350861,0.04959729,0.91597929,0.57867292,1.60813454,0.00000000,0.87491431,0.27880157
-5.77188594,2.56152085,0.01339524,0.04972147,0.94072564,0.59102786,1.64685348,0.00000000,0.89405526,0.28764069
-5.76588294,2.60802447,0.01322748,0.04968788,0.96101832,0.60056548,1.67863072,0.00000000,0.90927426,0.29560759
-5.75987994,2.64291800,0.01300252,0.04948929,0.97641378,0.60704995,1.70277253,0.00000000,0.92016780,0.30256626
-5.75387694,2.66536624,0.01271908,0.04912057,0.98655857,0.61030150,1.71871699,0.00000000,0.92640987,0.30839303
-5.74787394,2.67475364,0.01237750,0.04857889,0.99119952,0.61020184,1.72604885,0.00000000,0.92776215,0.31297933
-5.74187094,2.67070020,0.01197968,0.04786379,0.99019076,0.60669775,1.72451044,0.00000000,0.92408164,0.31623411
-5.73586793,2.65307073,0.01152906,0.04697728,0.98349745,0.59980264,1.71400777,0.00000000,0.91532531,0.31808592
-5.72986493,2.62197686,0.01103045,0.04592390,0.97119597,0.58959599,1.69461194,0.00000000,0.90155160,0.31848458
-5.72386193,2.57777190,0.01048982,0.04471063,0.95347064,0.57622073,1.66655557,0.00000000,0.88291863,0.31740229
-5.71785893,2.52103871,0.00991416,0.04334690,0.93060707,0.55987858,1.63022457,0.00000000,0.85967922,0.31483428
-5.71185593,2.45257112,0.00931111,0.04184436,0.90298248,0.54082371,1.58614555,0.00000000,0.83217291,0.31079883
-5.70585293,2.37334977,0.00868877,0.04021674,0.87105346,0.51935485,1.53496947,0.00000000,0.80081531,0.30533685
